e844089cd9906b9b501b24d8ec1a2e41b51d381c1796b6a9aa73f10ce6788051,7c8fb9c5ce7b20076951423188b40532681b73b65e2ab0aacc466fc93265b610,4ccffeff217cb6059cef25d6cd0d60e7fe5fd3eb9c355454029aed2ffd548eca,eaa9e898794e30698a0dbb12f0b87c978f95901d0e2f4b7105f36b4110573379,40b0cca799eec3936aea0caa8221211298507a014eb3c28767fbd494f8a9835d,11e8a4200b8601279c4bb155de9bcc401593759f912c3a209a984fab502faee4
"バトル開始後90秒間味方全体の物理\n防御力特大アップ","3002","10201501","123001","2025/01/31 12:00:00","10201001"
"バトル開始後90秒間味方全体の魔法\n防御力特大アップ","3004","10201501","123001","2025/01/31 12:00:00","10201002"
"バトル開始後90秒間敵全体の物理防\n御力特大ダウン","3011","10201501","106901","2025/01/31 12:00:00","10201003"
"バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","3011","10201501","106901","2025/01/31 12:00:00","10201004"
"バトル開始後90秒間物理攻撃力極大\nアップ","3001","10201501","107101","2025/01/31 12:00:00","10201005"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","3010","10201501","107101","2025/01/31 12:00:00","10201006"
"バトル開始後90秒間魔法攻撃力極大\nアップ","3003","10201501","107001","2025/01/31 12:00:00","10201007"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","3010","10201501","107001","2025/01/31 12:00:00","10201008"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","3001","10201501","106801","2025/01/31 12:00:00","10201009"
"バトル開始後味方全体のＴＰ大回復","3014","10201501","106801","2025/01/31 12:00:00","10201010"
"バトル開始後90秒間物理攻撃力極大\nアップ","3001","10201501","111501","2025/01/31 12:00:00","10201011"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","3010","10201501","111501","2025/01/31 12:00:00","10201012"
"バトル開始後90秒間物理攻撃力極大\nアップ","3001","10201501","123801","2025/01/31 12:00:00","10201013"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","3010","10201501","123801","2025/01/31 12:00:00","10201014"
"バトル開始後90秒間物理攻撃力極大\nアップ","3001","10201501","133901","2025/02/10 12:00:00","10201015"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","3010","10201501","133901","2025/02/10 12:00:00","10201016"
"バトル開始後90秒間味方全体に継続\nＨＰ回復状態付与","3005","10201501","115001","2025/01/31 12:00:00","10201017"
"バトル開始後味方全体の行動不能\n2回無効","3013","10201501","115001","2025/01/31 12:00:00","10201018"
"バトル開始後90秒間味方全体の魔法\n攻撃力特大アップ","3003","10201501","126601","2025/01/31 12:00:00","10201019"
"バトル開始後味方全体のＴＰ大回復","3014","10201501","126601","2025/01/31 12:00:00","10201020"
"バトル開始後90秒間味方全体のＴＰ\n上昇中アップ","3010","10201501","133801","2025/02/20 12:00:00","10201021"
"バトル開始後90秒間味方全体の行動\n速度大アップ（重複可能）","3010","10201501","133801","2025/02/20 12:00:00","10201022"
"バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","3001","10201501","121201","2025/01/31 12:00:00","10201023"
"バトル開始後味方全体のＴＰ大回復","3014","10201501","121201","2025/01/31 12:00:00","10201024"
"バトル開始後90秒間魔法攻撃力極大\nアップ","3003","10201501","133701","2025/01/31 12:00:00","10201025"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","3010","10201501","133701","2025/01/31 12:00:00","10201026"
"バトル開始後90秒間味方全体の物理\n防御力特大アップ","3002","10201551","123001","2025/01/31 12:00:00","10201027"
"バトル開始後90秒間味方全体の魔法\n防御力特大アップ","3004","10201551","123001","2025/01/31 12:00:00","10201028"
"バトル開始後90秒間敵全体の物理防\n御力特大ダウン","3011","10201551","106901","2025/01/31 12:00:00","10201029"
"バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","3011","10201551","106901","2025/01/31 12:00:00","10201030"
"バトル開始後90秒間物理攻撃力極大\nアップ","3001","10201551","107101","2025/01/31 12:00:00","10201031"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","3010","10201551","107101","2025/01/31 12:00:00","10201032"
"バトル開始後90秒間魔法攻撃力極大\nアップ","3003","10201551","107001","2025/01/31 12:00:00","10201033"
