d1d9d0a1edffec3f2c5cdcabdd47f85f5cdd5e7bcb7a57b13ec164680dc2304d,9927bcec84413d192b6978297e8a74ea18c5096de1e379c33c333b70b9ea4b10,b9dc7938027e3a954f385f880fcae023a92699fbb020aa757cab9ff145d1311f,e99c906abfdcaa79ec96d7a1475c3408aaeacef0aef8556d36ca076c4d9acc36,3103e91c35e5334110a0c8145acf3aef2994a7b042aa7d5a17d58d98a9c588c0,3d380ae6f897d5edaad711cc272ab3cab44352ef4d79589a04c9c890e6440035,209f216876c0664dafbc77fd634594d429822e94c0e2644c86e0197c6a1fa605,182318e4f8d595462efa4c3958e5a7e5a7386706b7fd1b034110466ecb0e73b6,c59ccb3aa51f5633767e424e5ab3975b976712b742f898c820a43543708f65ea
"2","","1","","1","23001","1","21600","2"
"2","","2","","1","23001","1","19800","3"
"2","","3","","1","23001","1","18000","3"
"2","","4","","1","23001","1","16200","3"
"2","","5","","1","23001","1","14400","4"
"2","","6","","1","23001","1","12960","4"
"2","","7","","1","23001","1","11520","5"
"2","","8","","1","23001","1","10080","6"
"2","","9","","1","23001","1","8640","7"
"2","","10","","1","23001","1","7200","8"
"2","","11","","1","23001","1","5760","10"
"2","","12","","1","23001","1","5040","12"
"2","","13","","1","23001","1","4320","14"
"2","","14","","2","23001","1","7200","16"
"2","","15","","2","23001","1","5400","18"
"2","","16","","2","23001","1","5040","18"
"2","","17","","2","23001","1","4800","18"
"2","","18","","2","23001","1","4500","20"
"2","","19","","2","23001","1","4320","20"
"2","","20","","3","23001","1","6000","24"
"2","","21","","3","23001","1","5700","48"
"2","","22","","3","23001","1","5400","48"
"2","","23","","3","23001","1","5220","51"
"2","","24","","3","23001","1","4980","54"
"2","","25","","3","23001","1","4800","54"
"2","","26","","3","23001","1","4500","60"
"2","","27","","3","23001","1","4320","60"
"2","","28","","3","23001","1","4200","63"
"2","","29","","4","23001","1","5400","64"
"2","","30","","4","23001","1","5220","68"
"2","","31","","4","23001","1","5040","72"
"2","","32","","4","23001","1","4920","72"
"2","","33","","4","23001","1","4800","72"
"2","","34","","4","23001","1","4680","76"
"6","","1","","20","93001","2","21600","80"
"6","","2","","24","93001","2","21600","96"
"6","","3","","28","93001","2","21600","112"
"6","","4","","30","93001","2","21600","120"
"6","","5","","32","93001","2","21600","128"
"6","","6","","34","93001","2","21600","136"
"6","","7","","36","93001","2","21600","144"
"6","","8","","38","93001","2","21600","152"
"6","","9","","40","93001","2","21600","160"
"6","","10","","42","93001","2","21600","168"
"6","","11","","44","93001","2","21600","176"
"6","","12","","46","93001","2","21600","184"
"6","","13","","48","93001","2","21600","192"
"6","","14","","50","93001","2","21600","200"
"6","","15","","52","93001","2","21600","208"
"6","","16","","54","93001","2","21600","216"
"6","","17","","56","93001","2","21600","224"
"6","","18","","58","93001","2","21600","232"
"6","","19","","60","93001","2","21600","240"
"6","","20","","62","93001","2","21600","248"
"6","","21","","64","93001","2","21600","256"
"6","","22","","66","93001","2","21600","264"
"6","","23","","68","93001","2","21600","272"
"6","","24","","70","93001","2","21600","280"
"6","","25","","72","93001","2","21600","288"
"6","","26","","74","93001","2","21600","296"
"6","","27","","76","93001","2","21600","304"
"6","","28","","78","93001","2","21600","312"
"6","","29","","80","93001","2","21600","320"
"6","","30","","82","93001","2","21600","328"
"6","","31","","84","93001","2","21600","336"
"6","","32","","85","93001","2","21600","340"
"6","","33","","86","93001","2","21600","344"
"6","","34","","87","93001","2","21600","348"
"2","","1","","1","20001","3","14400","3"
"2","","2","","1","20001","3","9600","5"
"2","","3","","1","20001","3","7200","7"
"2","","4","","1","20001","3","5400","10"
"2","","5","","1","20001","3","3600","15"
"2","","6","","1","20002","3","9600","6"
"2","","7","","1","20002","3","7200","8"
"2","","8","","1","20002","3","4800","12"
"2","","9","","1","20002","3","3600","16"
"2","","10","","1","20002","3","2700","20"
"2","","11","","1","20003","3","10800","6"
"2","","12","","1","20003","3","9000","8"
"2","","13","","1","20003","3","7200","12"
"2","","14","","1","20003","3","5400","16"
"2","","15","","1","20003","3","3600","20"
"2","","16","","1","20003","3","2880","30"
"2","","17","","1","20004","3","12600","7"
"2","","18","","1","20004","3","11400","8"
"2","","19","","1","20004","3","10200","9"
"2","","20","","1","20004","3","9300","10"
"2","","21","","1","20004","3","8700","10"
"2","","22","","1","20004","3","6600","13"
"2","","23","","1","20004","3","6300","14"
"2","","24","","1","20004","3","6000","15"
"2","","25","","1","20004","3","5700","15"
"2","","26","","1","20004","3","5400","16"
"2","","27","","1","20004","3","5100","17"
"2","","28","","1","20004","3","4860","18"
