fa8b8dd03eea55f582ec26a5fe6e3995fa807660b280afd5d5cda95fad33a0ba,d4c4454de46546adbfb72fb4cf1febb113b69a0efdc466a476ce182e01a6f284,a429a4f2fb4ca7de7a605e4dd6848e4aaf2caa83f668473ea8f1e2cf689e9dd0,f6511b64957561cc87b56c9f55f73a578c1e89c00cd50154093b027260412303,def9cc6aca63dd895270ed915c4a2330c1115ed6b6cf65fc8a2cc7ca131a56ec,08992ed126db6d78f1fc98f001d3c08a9dfe079fbafb132d25e2f26379e36599,5a4061c83b787b1421d23af63b06fba844a49cb59f8c22fa2a46cd7be8c71867,fecc14c1dde05abefba44dc50066df87c61604829b9a6c0eb41c6d1db5cda8a8,56a04f6c036fa150a55d6d4e959186c77a561226111e5a44d93cf1e707709be1,d93c5bee1b12a6bac90b5b99ccf23459dd8e2dac4723d14f754b3125ed0c840a
"0","0","0","10062103","ウヅキとリンのメモリー","10062","0","1","7001","0"
"0","0","0","10062107","ニュージェネレーションズのメモリー","10062","0","2","7002","0"
"0","0","0","10062107","ウヅキとミオのメモリー","10062","0","4","7003","0"
"0","0","0","10062111","美食殿のメモリー","10062","0","6","7004","0"
"0","0","0","10062111","リンとミオのメモリー","10062","0","7","7005","0"
"0","0","0","10062111","ニュージェネレーションズのメモリー","10062","0","8","7006","0"
"0","0","0","10062115","ニュージェネレーションズと美食殿のメモリー","10062","0","9","7007","0"
"0","0","0","10062115","美食殿のメモリー","10062","0","10","7008","0"
"0","0","0","10063111","ニュージェネレーションズと美食殿のメモリー","10063","0","14","7009","0"
"0","0","0","10062107","ニュージェネレーションズのメモリー","10062","0","3","7102","0"
"0","0","0","10062107","美食殿のメモリー","10062","0","5","7103","0"
"0","0","0","10062115","ニュージェネレーションズと美食殿のメモリー","10062","0","11","7104","0"
"0","0","0","10063111","ニュージェネレーションズと美食殿のメモリー","10063","0","12","7105","0"
"0","0","0","10063111","ニュージェネレーションズと美食殿のメモリー","10063","0","13","7106","0"
"1","0","7","10062103","","10062","2405","15","7201","1"
