e992fad141c883a1b7046ff4571c2aa0ef689941f9fcc95e30714b80201e3d2b,beee8508236359446a06561dfb2d0571e782f2ea40b13f61d11d4c0ce16cbbdf,b54fafae7a1f8be00854bdcc833939b50ac6225f418f7471677ba3ae69533ed0,8a367485f58a1f56042d884392d5118608c13d96c3afdfa580c739ddd1096be7,39f2aa31cf3e69f219aabcae1bac955ab07598cc7863699d6f7ca678cd18af8c,d8a17d3e12c93dbb3b94ee7322a73a40c2ed1227f36472181d4a35fb0effa42b,903b6f0ae6bb53528366f86c21fc1cb7c2e816e803b55992133c9a35ea077896,036c23f9403b0e0dd6c16a847bc9d7c74dfdd1ba842dfd0093250a3186a2225c,01d620509a78ab27791309c81752f7d8ce275547be95f1743fd0f6fc369fd63a,f7338fc15c6fc551b9fd1298154ae55062e8de7995f4622aa0877af60264f5c9,49c3e3ac71993a96865c1b5dfc2a7dbcf0065a010aaf560e2b12e527e3925e30,3ae664020516c71e443253b885773f7a277b4d5af998638b462e09e098a4183c,d6735a804ef2a9f78077b0aefebf74b1de15965816b0a5e8f822fd3cea468718,e15d218b1222ce40200bd85609b0b262c097dbba2a65623a50e5a82fb1339f21
"bgm_M32","bgm_M32","0","1","0","0","20001","0","1","タルグム地方","201","0","0","20001101"
"bgm_M32","bgm_M32","0","0","0","0","20001","0","1","タルグム地方","201","0","0","20001201"
"bgm_M98_2","bgm_M98","0","0","0","0","20002","0","1","マシーナ地方","201","0","0","20002101"
"bgm_M98_2","bgm_M98","0","0","0","0","20002","0","1","マシーナ地方","201","0","0","20002201"
"bgm_M106","bgm_M106","0","0","0","0","20003","0","1","ランドソル郊外","201","0","0","20003101"
"bgm_M106","bgm_M106","0","0","0","0","20003","0","1","ランドソル郊外","201","0","0","20003201"
"bgm_M112","bgm_M112","0","0","0","0","20004","0","1","タパスビーチ周辺","201","0","0","20004101"
"bgm_M112","bgm_M112","0","0","0","0","20004","0","1","タパスビーチ周辺","201","0","0","20004201"
"bgm_M121","bgm_M121","0","0","0","0","20005","0","1","イルシオンの孤島","201","0","0","20005101"
"bgm_M121","bgm_M121","0","0","0","0","20005","0","1","イルシオンの孤島","201","0","0","20005201"
"bgm_M128","bgm_M128","0","0","0","0","20006","85","1","王都ランドソル","201","0","0","20006101"
