4a516a9f7cc9836b0fde6f3aa8ac1ea985ef35694a2879efc18478d09c0e0530,2520239afd7eb87814cf71c23aafe1b83170f0c099a3ac7b864bd9e279f27f69,cff96c413aef23490d1e4cd3170476e2dbfcc72b42627367c097ec8e6b1433bf,cbf1bd95b5e7b2a12fad027f402305e844f28e93e41b77151e68525bff6911d9,b74caf08dd77506c1300cd7e53d938cdd496e83f547b692603a3498da2b390ed
"1","101","1","25","13000001"
"1","102","1","26","40001"
"1000","103","1","28","99012"
"1","201","2","25","13000002"
"1","202","2","26","40002"
"1000","203","2","28","99012"
"1","301","3","25","13000004"
"1","302","3","26","40006"
"1000","303","3","28","99012"
"1","401","4","25","13000011"
"1","402","4","26","40008"
"1000","403","4","28","99012"
"1","501","5","25","13000007"
"1","502","5","26","40007"
"1000","503","5","28","99012"
"1","701","7","25","13000009"
"1","702","7","26","40003"
"1000","703","7","28","99012"
"1","901","9","25","13000013"
"1","902","9","26","40010"
"1000","903","9","28","99012"
"1","1101","11","25","13000008"
"1","1102","11","26","40004"
"1000","1103","11","28","99012"
"1","1301","13","25","13000012"
"1","1302","13","26","40009"
"1000","1303","13","28","99012"
"1","1501","15","25","13000003"
"1","1502","15","26","40005"
"1000","1503","15","28","99012"
