1831677c943f544c0c4c840a87048dadc0e269520b1e7713df16b0b1fe578759,f77f88f794f023a37620885ba73370d1bc26124f38317e4fc58b9b107d1fcbfb,c1143841b0cd2c064165b683432641751e15517e91e264207b9f6fd42eb2f768,7870564be0717e0a9bec46fc4a0c39f2963d06221d53a726eb35d84f26b5f4e1,f8328d2767ebc2fca95db1a290b2d553a98ecab96bfc112647a2f6052ea9c703,f366a5e9a7afeb240b805e008e91e0ff664e0cb79aaeb564823313f8e5f14329,b5332048af3e003eb202b7fed51a3c10d46109f7b41529511ef977ca17fc908d,b8089be892a10e56b251044d60196f16d832afe57fd811c55ad0c340bf3df096
"平凡な\n未鑑定トレジャー","200","1","53001","1","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","100","平凡な未鑑定トレジャー"
"貴重な\n未鑑定トレジャー","400","2","53002","1","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","200","貴重な未鑑定トレジャー"
"至高の\n未鑑定トレジャー","800","3","53003","1","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。","400","至高の未鑑定トレジャー"
"平凡なジェムストーン","200","1","53004","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","100","平凡なジェムストーン"
"貴重なジェムストーン","400","2","53005","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","200","貴重なジェムストーン"
"至高のジェムストーン","800","3","53006","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","400","至高のジェムストーン"
"平凡なインゴット","200","1","53007","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","100","平凡なインゴット"
"貴重なインゴット","400","2","53008","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","200","貴重なインゴット"
"至高のインゴット","800","3","53009","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","400","至高のインゴット"
"平凡なスクロール","200","1","53010","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","100","平凡なスクロール"
"貴重なスクロール","400","2","53011","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","200","貴重なスクロール"
"至高のスクロール","800","3","53012","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","400","至高のスクロール"
"平凡なティアラ","200","1","53013","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","100","平凡なティアラ"
"貴重なティアラ","400","2","53014","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","200","貴重なティアラ"
"至高のティアラ","800","3","53015","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","400","至高のティアラ"
"平凡なルーン","200","1","53016","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","100","平凡なルーン"
"貴重なルーン","400","2","53017","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","200","貴重なルーン"
"至高のルーン","800","3","53018","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","400","至高のルーン"
"平凡なクラウン","200","1","53019","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","100","平凡なクラウン"
"貴重なクラウン","400","2","53020","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","200","貴重なクラウン"
"至高のクラウン","800","3","53021","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","400","至高のクラウン"
"平凡なアーティファクト","200","1","53022","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","100","平凡なアーティファクト"
"貴重なアーティファクト","400","2","53023","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","200","貴重なアーティファクト"
"至高のアーティファクト","800","3","53024","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","400","至高のアーティファクト"
