1ff712671fee562fd0aeaebbfdf09325d3fc92a81143ea50311401d9e968503c,033dd903fe416b3d2cebffb80965b9321d014a045c6af072b7dd5b8669b2ea87,5116f68816b683aca2257e62d899605c71579a7c9641d496e25df2856a9d8979
"118401","180701","2"
"118301","180701","3"
"118401","180701","4"
"118401","180701","5"
"118301","180701","6"
"118401","180701","7"
"118301","180701","8"
"170101","105701","9"
"170101","105701","10"
"170101","105701","11"
"170101","105701","12"
"120401","180801","2"
"120501","180801","3"
"120601","180801","4"
"120501","180801","5"
"120601","180801","6"
"120501","180801","7"
"120401","180801","8"
"121701","180901","2"
"121801","180901","3"
"121701","180901","4"
"121801","180901","5"
"121701","180901","6"
"121801","180901","7"
"121801","180901","8"
"124401","181001","2"
"124301","181001","3"
"124401","181001","4"
"124401","181001","5"
"124301","181001","6"
"124401","181001","7"
"124301","181001","8"
"128201","181101","2"
"128101","181101","3"
"128201","181101","4"
"128201","181101","5"
"128101","181101","6"
"128201","181101","7"
"128101","181101","8"
