ce44615f70e71135730386b86ef09b195037e3b9cbca9ffb0ec4a27859988226,5ec262cc0e43b406ded444c456e236c8401fef8e90c92696178b1b623fda5d85,c54ea4fb690b22e98d3b03ae1a0cdeb58e7bd5d601077274ad9892f1bfe6049f,a35c9478d176cd7f0a7e9ee183adc919704bda84e18632401dc4921e00900692,4d380fe5080c1f369ee3dd9202665fc266dc14c4e64c3ffc37136b1efcf80893,7862902d57a327261f5fb399a4172ea19a4ef16bcc83ef37bc9faac042e388eb,c40c692c5aacdf73b4272af8acd12aa7a06bb6a1d09e743f67fad991438617cd,1c3f329c1591afac0e29bc4e579dc5ae87f59f70439644eee7090b2d881554bc,1af256e600379b46a94f0256b0fddb79f209a5095d9d8640b1f8a31e45be7abe,6dcd4917fd096f4e1fbeb0839fafcb9ab5d3707715c9576772c091d1f75edd21,f1c6ce6dc617ae03e4aa4a7bcf03e63def153ba1b3490e19ec1f87d7205ce1b1
"pkb_idle_normal","1","100","1.65","1","1","-175","64","1010001","1","113511"
"","","1","0.2","113511","1","","","1010002","3","pkb_talk_wish"
"","","0","","vo_minigame_1006","1","","0","1010003","21","vo_minigame_1006_top_101"
"0","0","8","0","113511","1","0","0","1010004","11","今日も先生と一緒に\n頑張りましょうね～"
"","","","","0","1","","","1010005","91",""
"","","1","0.2","113511","1","","","1010006","3","pkb_idle_normal"
"pkb_idle_normal","1","100","1.65","1","2","-175","64","1020001","1","113511"
"","","1","0.2","113511","2","","","1020002","3","pkb_talk_wish"
"","","0","","vo_minigame_1006","2","","0","1020003","21","vo_minigame_1006_top_102"
"0.5","0","6","0","113511","2","0","0","1020004","11","みんなの力、先生は\n信じてますからね～！\nファイトですよ～♪"
"","","","","6","2","","","1020005","93",""
"","","0","0.2","113511","2","1","pkb_idle_normal","1020006","3","pkb_talk_fun"
"","","","","1020004","2","","","1020007","91",""
"","","1","0.2","113511","2","","","1020008","3","pkb_idle_normal"
"pkb_idle_normal","1","100","1.65","1","3","-175","64","1030001","1","113511"
"","0.2","0","0.2","113511","3","1","pkb_idle_normal","1030002","3","pkb_smile"
"","","0","","vo_minigame_1006","3","","0","1030003","21","vo_minigame_1006_top_103"
"0","0","6","0","113511","3","0","0","1030004","11","ケガには気を付けてね\n無理は禁物ですよ～♪"
"","","","","2","3","","","1030005","93",""
"","","1","0.2","113511","3","","","1030006","3","pkb_talk_wish"
"","","","","1030004","3","","","1030007","91",""
"","","1","0.2","113511","3","","","1030008","3","pkb_idle_normal"
"pkb_idle_normal_l","1","100","57","3","4","-155","64","1040001","5","3"
"","0.2","0","0.2","3","4","1","pkb_idle_arm_crossed_l","1040002","3","pkb_talk_arm_crossed_l"
"","","0","","vo_minigame_1006","4","","0","1040003","21","vo_minigame_1006_top_601"
"0","","8","0","3","4","0","0","1040004","11","今日の練習も\n手加減しねえ！\nしっかりついてこい！"
"","","","","0","4","","","1040005","91",""
"","","1","0.2","3","4","","","1040006","3","pkb_idle_normal_l"
"pkb_idle_normal_l","1","100","57","3","5","-155","64","1050001","5","3"
"","0.2","0","0.2","3","5","1","pkb_idle_arm_crossed_l","1050002","3","pkb_talk_arm_crossed_l"
"","","0","","vo_minigame_1006","5","","0","1050003","21","vo_minigame_1006_top_602"
"0","","8","0","3","5","0","0","1050004","11","おーし！\n気合いいれて\n練習すんぞー！"
"","","","","2","5","","","1050005","93",""
"","0.2","0","0.2","3","5","1","pkb_idle_normal_l","1050006","3","pkb_talk_handsup_l"
"","","","","1050004","5","","","1050007","91",""
"","","1","0.2","3","5","","","1050008","3","pkb_idle_normal_l"
"pkb_idle_normal_l","1","100","57","3","6","-155","64","1060001","5","3"
"","0.2","0","0.2","3","6","1","pkb_idle_arm_crossed_l","1060002","3","pkb_talk_arm_crossed_l"
"","","0","","vo_minigame_1006","6","","0","1060003","21","vo_minigame_1006_top_603"
"0","","8","0","3","6","0","0","1060004","11","練習だからって\nだらしねえとこ\n見せるんじゃねえぞ？"
"","","","","3","6","","","1060005","93",""
"","","0","0.2","3","6","1","pkb_idle_guts_l","1060006","3","pkb_talk_guts_l"
"","","","","1060004","6","","","1060007","91",""
"","","1","0.2","3","6","","","1060008","3","pkb_idle_normal_l"
"pkb_idle_normal","1","100","1.65","1","7","-175","64","1070001","1","113411"
"","0.2","0","0.2","113411","7","1","pkb_talk_joy1","1070002","3","pkb_talk_fun"
"","","0","","vo_minigame_1006","7","","0","1070003","21","vo_minigame_1006_top_201"
"0","0","8","0","113411","7","0","0","1070004","11","フレーフレー！\n今日もファイトだよ！\n張り切っていこー！"
"","","","","3.4","7","","","1070005","93",""
"","0.2","0","0.2","113411","7","1","pkb_idle_normal","1070006","3","pkb_talk_handsup"
"","","","","1070004","7","","","1070007","91",""
"","","1","0.2","113411","7","","","1070008","3","pkb_idle_normal"
"pkb_idle_normal","1","100","1.65","1","8","-175","64","1080001","1","113411"
"","","1","0.2","113411","8","","","1080002","3","pkb_talk_joy2"
"","","0","","vo_minigame_1006","8","","0","1080003","21","vo_minigame_1006_top_202"
