ac4d4140a3096d25f4f5e497d41676ea62a7115f3e46f57f689bf3712ba386d3,bda4623067f63f571e538de551611425b92f7ed9b0214f4eab7eca9df307eeb8,9e360947c71b807df5f0f34f62c279db775589ffbd62af57f20226cd8625517d,24deba139c4ec6862ff7eb127b5cc2c423bc98263c8dddaa510d80699fcfd36c,4f09dfbd44bf58944440ad3aab9cd9aaacf3c191bd163c4025908dea1e03e430,63cbb01112fd1e0bccff71542dbbe9f3f125dafb98aa5409a372a6382911fe2b
"1","1","10101001","15","58002001","1001"
"2","1","10101002","15","58002002","1002"
"3","1","10101003","15","58002003","1003"
"4","1","10201001","15","56011001","1001"
"5","1","10201002","15","56011002","1002"
"6","1","10201003","15","56011003","1003"
"7","50","91002","8","56011003","0"
"8","1","10201004","15","56011004","1001"
"9","1","10201005","15","56011005","1002"
"10","1","10201006","15","56011006","1003"
"11","50","91002","8","56011006","0"
"12","1","10201007","15","56011007","1001"
"13","1","10201008","15","56011008","1002"
"14","1","10201009","15","56011009","1003"
"15","50","91002","8","56011009","0"
"16","1","10201010","15","56011010","1001"
"17","1","10201011","15","56011011","1002"
"18","1","10201012","15","56011012","1003"
"19","50","91002","8","56011012","0"
"20","1","10201013","15","56011013","1001"
"21","1","10201014","15","56011014","1002"
"22","1","10201015","15","56011015","1003"
"23","50","91002","8","56011015","0"
"24","1","10201016","15","56011016","1001"
"25","1","10201017","15","56011017","1002"
"26","1","10201018","15","56011018","1003"
"27","50","91002","8","56011018","0"
"28","1","10201019","15","56011019","1001"
"29","1","10201020","15","56011020","1002"
"30","1","10201021","15","56011021","1003"
"31","50","91002","8","56011021","0"
"32","1","10201022","15","56011022","1001"
"33","1","10201023","15","56011023","1002"
"34","1","10201024","15","56011024","1003"
"35","50","91002","8","56011024","0"
"36","1","10201025","15","56011025","1001"
"37","1","10201026","15","56011026","1002"
"38","1","10201027","15","56011027","1003"
"39","50","91002","8","56011027","0"
"40","1","10201028","15","56011028","1001"
"41","1","10201029","15","56011029","1002"
"42","1","10201030","15","56011030","1003"
"43","50","91002","8","56011030","0"
"44","1","10201031","15","56011031","1001"
"45","1","10201032","15","56011032","1002"
"46","1","10201033","15","56011033","1003"
"47","50","91002","8","56011033","0"
"48","1","10201034","15","56011034","1001"
"49","1","10201035","15","56011035","1002"
"50","1","10201036","15","56011036","1003"
"51","50","91002","8","56011036","0"
"52","1","10201037","15","56011037","1001"
"53","1","10201038","15","56011038","1002"
"54","1","10201039","15","56011039","1003"
"55","50","91002","8","56011039","0"
"56","1","10201040","15","56011040","1001"
"57","1","10201041","15","56011041","1002"
"58","1","10201042","15","56011042","1003"
"59","50","91002","8","56011042","0"
"60","1","10201043","15","56011043","1001"
"61","1","10201044","15","56011044","1002"
"62","1","10201045","15","56011045","1003"
"63","50","91002","8","56011045","0"
"64","1","10201046","15","56011046","1001"
"65","1","10201047","15","56011047","1002"
"66","1","10201048","15","56011048","1003"
"67","50","91002","8","56011048","0"
"68","1","10201049","15","56011049","1001"
"69","1","10201050","15","56011050","1002"
"70","1","10201051","15","56011051","1003"
"71","50","91002","8","56011051","0"
"72","1","10201052","15","56011052","1001"
"73","1","10201053","15","56011053","1002"
"74","1","10201054","15","56011054","1003"
"75","50","91002","8","56011054","0"
"76","1","10201055","15","56011055","1001"
"77","1","10201056","15","56011056","1002"
"78","1","10201057","15","56011057","1003"
"79","50","91002","8","56011057","0"
"80","1","10201058","15","56011058","1001"
"81","1","10201059","15","56011059","1002"
"82","1","10201060","15","56011060","1003"
"83","50","91002","8","56011060","0"
"84","1","10201061","15","56011061","1001"
"85","1","10201062","15","56011062","1002"
"86","1","10201063","15","56011063","1003"
"87","50","91002","8","56011063","0"
"88","1","10201064","15","56011064","1001"
"89","1","10201065","15","56011065","1002"
"90","1","10201066","15","56011066","1003"
"91","50","91002","8","56011066","0"
"92","1","10201067","15","56011067","1001"
"93","1","10201068","15","56011068","1002"
"94","1","10201069","15","56011069","1003"
"95","50","91002","8","56011069","0"
"96","1","10201070","15","56011070","1001"
"97","1","10201071","15","56011071","1002"
"98","1","10201072","15","56011072","1003"
"99","50","91002","8","56011072","0"
"100","1","10201073","15","56011073","1001"
"101","1","10201074","15","56011074","1002"
"102","1","10201075","15","56011075","1003"
"103","50","91002","8","56011075","0"
"104","1","10201076","15","56011076","1001"
"105","1","10201077","15","56011077","1002"
"106","1","10201078","15","56011078","1003"
"107","50","91002","8","56011078","0"
"108","1","10201079","15","56011079","1001"
"109","1","10201080","15","56011080","1002"
"110","1","10201081","15","56011081","1003"
"111","50","91002","8","56011081","0"
"112","1","10201082","15","56011082","1001"
"113","1","10201083","15","56011083","1002"
"114","1","10201084","15","56011084","1003"
"115","50","91002","8","56011084","0"
"116","1","10201085","15","56011085","1001"
"117","1","10201086","15","56011086","1002"
"118","1","10201087","15","56011087","1003"
"119","50","91002","8","56011087","0"
"120","1","10201088","15","56011088","1001"
"121","1","10201089","15","56011089","1002"
"122","1","10201090","15","56011090","1003"
"123","50","91002","8","56011090","0"
"124","1","10201091","15","56011091","1001"
"125","1","10201092","15","56011092","1002"
"126","1","10201093","15","56011093","1003"
"127","50","91002","8","56011093","0"
"128","1","10201094","15","56011094","1001"
"129","1","10201095","15","56011095","1002"
"130","1","10201096","15","56011096","1003"
"131","50","91002","8","56011096","0"
"132","1","10201097","15","56011097","1001"
"133","1","10201098","15","56011098","1002"
"134","1","10201099","15","56011099","1003"
"135","50","91002","8","56011099","0"
"136","1","10201100","15","56011100","1001"
"137","1","10201101","15","56011101","1002"
"138","1","10201102","15","56011102","1003"
"139","50","91002","8","56011102","0"
"140","1","10201103","15","56011103","1001"
"141","1","10201104","15","56011104","1002"
"142","1","10201105","15","56011105","1003"
"143","50","91002","8","56011105","0"
"144","1","10201106","15","56011106","1001"
"145","1","10201107","15","56011107","1002"
"146","1","10201108","15","56011108","1003"
"147","50","91002","8","56011108","0"
"148","1","10201109","15","56011109","1001"
"149","1","10201110","15","56011110","1002"
"150","1","10201111","15","56011111","1003"
"151","50","91002","8","56011111","0"
"152","1","10201112","15","56011112","1001"
"153","1","10201113","15","56011113","1002"
"154","1","10201114","15","56011114","1003"
"155","50","91002","8","56011114","0"
"156","1","10201115","15","56011115","1001"
"157","1","10201116","15","56011116","1002"
"158","1","10201117","15","56011117","1003"
"159","50","91002","8","56011117","0"
"160","1","10201118","15","56011118","1001"
"161","1","10201119","15","56011119","1002"
"162","1","10201120","15","56011120","1003"
"163","50","91002","8","56011120","0"
"164","1","10201121","15","56011121","1001"
"165","1","10201122","15","56011122","1002"
"166","1","10201123","15","56011123","1003"
"167","50","91002","8","56011123","0"
"168","1","10201124","15","56011124","1001"
"169","1","10201125","15","56011125","1002"
"170","1","10201126","15","56011126","1003"
"171","50","91002","8","56011126","0"
"172","1","10201127","15","56011127","1001"
"173","1","10201128","15","56011128","1002"
"174","1","10201129","15","56011129","1003"
"175","50","91002","8","56011129","0"
"176","1","10201130","15","56011130","1001"
"177","1","10201131","15","56011131","1002"
"178","1","10201132","15","56011132","1003"
"179","50","91002","8","56011132","0"
"180","1","10201133","15","56011133","1001"
"181","1","10201134","15","56011134","1002"
"182","1","10201135","15","56011135","1003"
"183","50","91002","8","56011135","0"
"184","1","10201136","15","56011136","1001"
"185","1","10201137","15","56011137","1002"
"186","1","10201138","15","56011138","1003"
"187","50","91002","8","56011138","0"
"188","1","10201139","15","56011139","1001"
