aa1e5f589b6b4b914a247266719b419833d433256b6b06fda972f40fd2754da6,da5ec5fd195ea201b090cd5a6f77d016de25ac5c2825567d3481f2968fc6035c,4e59eb529770e3a7ac5243b6ced995d5d0ea88fefc07f9a1eed6ee5736356faf,3876f1ada60322b5a0f6e5df71e1f2178606431ed0b133910025562d35bb86f7,c4e31e65b9d329a3ba49b903992cf41ce0c32801b7bd85e227b02133bb15b580,c1f35e154b5136efc2aae43916092f57a9b75167b29d4942ab57d7e1bd641099,7b944ce62e93c4a7e99cf1763368e5e06b6d3e73283f8632e0326eaccc19e25e,f80f9b813df1fff3922bfe36d17978047f7e68c7056a34c76bbc0dc7189d14b4,db9653dadec0e770046585d597f7daf0dae33837f80dca0a39bcc80ac0f5e6d2,861eb3465328683b666c058c8bc4d52e420cceddb010bd5c91d34517c87d1a6a
"1001","3","260311020","5","100","26031","5","究極錬成を5回行おう","22","0"
"1002","3","260311021","10","200","26031","5","究極錬成を10回行おう","22","0"
"1003","3","260311022","30","300","26031","5","究極錬成を30回行おう","22","0"
"1004","3","260311023","50","400","26031","5","究極錬成を50回行おう","22","0"
"1005","3","260311024","70","500","26031","5","究極錬成を70回行おう","22","0"
"1006","3","260311025","100","1000","26031","5","究極錬成を100回行おう","22","0"
"1007","3","260311026","10","1000","26031","5","コネクトRANKを合計10上げよう","42","0"
"1008","3","260311027","100","1000","26031","5","キャラのレベルを合計で100上げよう","56","0"
"1009","3","260311028","200","2000","26031","5","キャラのレベルを合計で200上げよう","56","0"
"1010","3","260311029","5","1000","26031","5","黎明界ラビリンスをスキップせずに5回クリアしよう","55","0"
"1011","3","260311030","10","2000","26031","5","黎明界ラビリンスをスキップせずに10回クリアしよう","55","0"
"1","1","260411001","1","200","26041","3","ゲームに1回ログインしよう","43","0"
"2","1","260411002","500","200","26041","3","スタミナを500消費しよう","45","0"
"3","1","260411003","4","200","26041","3","経験値クエストかマナクエストを合計4回クリアしよう","47","0"
"4","1","260411004","10","200","26041","3","メイン・イベント・サイドいずれかのクエストを10回クリアしよう","48","0"
"5","1","260411005","10","200","26041","3","深域クエストを10回クリアしよう","49","0"
"1001","3","260411006","5","100","26041","5","究極錬成を5回行おう","22","0"
"1002","3","260411007","10","200","26041","5","究極錬成を10回行おう","22","0"
"1003","3","260411008","30","300","26041","5","究極錬成を30回行おう","22","0"
"1004","3","260411009","50","400","26041","5","究極錬成を50回行おう","22","0"
"1005","3","260411010","70","500","26041","5","究極錬成を70回行おう","22","0"
"1006","3","260411011","100","1000","26041","5","究極錬成を100回行おう","22","0"
"1007","3","260411012","10","1000","26041","5","コネクトRANKを合計10上げよう","42","0"
"1008","3","260411013","100","1000","26041","5","キャラのレベルを合計で100上げよう","56","0"
"1009","3","260411014","200","2000","26041","5","キャラのレベルを合計で200上げよう","56","0"
"1010","3","260411015","5","1000","26041","5","黎明界ラビリンスをスキップせずに5回クリアしよう","55","0"
"1011","3","260411016","10","2000","26041","5","黎明界ラビリンスをスキップせずに10回クリアしよう","55","0"
"1","1","260511001","1","200","26051","3","ゲームに1回ログインしよう","43","0"
"2","1","260511002","500","200","26051","3","スタミナを500消費しよう","45","0"
"3","1","260511003","4","200","26051","3","経験値クエストかマナクエストを合計4回クリアしよう","47","0"
"4","1","260511004","10","200","26051","3","メイン・イベント・サイドいずれかのクエストを10回クリアしよう","48","0"
"5","1","260511005","10","200","26051","3","深域クエストを10回クリアしよう","49","0"
"1001","3","260511006","5","100","26051","5","究極錬成を5回行おう","22","0"
"1002","3","260511007","10","200","26051","5","究極錬成を10回行おう","22","0"
"1003","3","260511008","30","300","26051","5","究極錬成を30回行おう","22","0"
"1004","3","260511009","50","400","26051","5","究極錬成を50回行おう","22","0"
"1005","3","260511010","70","500","26051","5","究極錬成を70回行おう","22","0"
"1006","3","260511011","100","1000","26051","5","究極錬成を100回行おう","22","0"
"1007","3","260511012","10","1000","26051","5","コネクトRANKを合計10上げよう","42","0"
"1008","3","260511013","100","1000","26051","5","キャラのレベルを合計で100上げよう","56","0"
"1009","3","260511014","200","2000","26051","5","キャラのレベルを合計で200上げよう","56","0"
"1010","3","260511015","5","1000","26051","5","黎明界ラビリンスをスキップせずに5回クリアしよう","55","0"
"1011","3","260511016","10","2000","26051","5","黎明界ラビリンスをスキップせずに10回クリアしよう","55","0"
"1","1","260611001","1","200","26061","3","ゲームに1回ログインしよう","43","0"
"2","1","260611002","500","200","26061","3","スタミナを500消費しよう","45","0"
"3","1","260611003","4","200","26061","3","経験値クエストかマナクエストを合計4回クリアしよう","47","0"
"4","1","260611004","10","200","26061","3","メイン・イベント・サイドいずれかのクエストを10回クリアしよう","48","0"
"5","1","260611005","10","200","26061","3","深域クエストを10回クリアしよう","49","0"
"1001","3","260611006","5","100","26061","5","究極錬成を5回行おう","22","0"
"1002","3","260611007","10","200","26061","5","究極錬成を10回行おう","22","0"
"1003","3","260611008","30","300","26061","5","究極錬成を30回行おう","22","0"
"1004","3","260611009","50","400","26061","5","究極錬成を50回行おう","22","0"
"1005","3","260611010","70","500","26061","5","究極錬成を70回行おう","22","0"
"1006","3","260611011","100","1000","26061","5","究極錬成を100回行おう","22","0"
"1007","3","260611012","10","1000","26061","5","コネクトRANKを合計10上げよう","42","0"
"1008","3","260611013","100","1000","26061","5","キャラのレベルを合計で100上げよう","56","0"
"1009","3","260611014","200","2000","26061","5","キャラのレベルを合計で200上げよう","56","0"
"1010","3","260611015","5","1000","26061","5","黎明界ラビリンスをスキップせずに5回クリアしよう","55","0"
"1011","3","260611016","10","2000","26061","5","黎明界ラビリンスをスキップせずに10回クリアしよう","55","0"
"1","1","260711001","1","200","26071","3","ゲームに1回ログインしよう","43","0"
"2","1","260711002","500","200","26071","3","スタミナを500消費しよう","45","0"
"3","1","260711003","4","200","26071","3","経験値クエストかマナクエストを合計4回クリアしよう","47","0"
"4","1","260711004","10","200","26071","3","メイン・イベント・サイドいずれかのクエストを10回クリアしよう","48","0"
"5","1","260711005","10","200","26071","3","深域クエストを10回クリアしよう","49","0"
"1001","3","260711006","5","100","26071","5","究極錬成を5回行おう","22","0"
"1002","3","260711007","10","200","26071","5","究極錬成を10回行おう","22","0"
"1003","3","260711008","30","300","26071","5","究極錬成を30回行おう","22","0"
"1004","3","260711009","50","400","26071","5","究極錬成を50回行おう","22","0"
"1005","3","260711010","70","500","26071","5","究極錬成を70回行おう","22","0"
"1006","3","260711011","100","1000","26071","5","究極錬成を100回行おう","22","0"
"1007","3","260711012","10","1000","26071","5","コネクトRANKを合計10上げよう","42","0"
"1008","3","260711013","100","1000","26071","5","キャラのレベルを合計で100上げよう","56","0"
"1009","3","260711014","200","2000","26071","5","キャラのレベルを合計で200上げよう","56","0"
"1010","3","260711015","5","1000","26071","5","黎明界ラビリンスをスキップせずに5回クリアしよう","55","0"
"1011","3","260711016","10","2000","26071","5","黎明界ラビリンスをスキップせずに10回クリアしよう","55","0"
"1","1","260811001","1","200","26081","3","ゲームに1回ログインしよう","43","0"
"2","1","260811002","500","200","26081","3","スタミナを500消費しよう","45","0"
"3","1","260811003","4","200","26081","3","経験値クエストかマナクエストを合計4回クリアしよう","47","0"
"4","1","260811004","10","200","26081","3","メイン・イベント・サイドいずれかのクエストを10回クリアしよう","48","0"
"5","1","260811005","10","200","26081","3","深域クエストを10回クリアしよう","49","0"
"1001","3","260811006","5","100","26081","5","究極錬成を5回行おう","22","0"
"1002","3","260811007","10","200","26081","5","究極錬成を10回行おう","22","0"
"1003","3","260811008","30","300","26081","5","究極錬成を30回行おう","22","0"
"1004","3","260811009","50","400","26081","5","究極錬成を50回行おう","22","0"
"1005","3","260811010","70","500","26081","5","究極錬成を70回行おう","22","0"
"1006","3","260811011","100","1000","26081","5","究極錬成を100回行おう","22","0"
"1007","3","260811012","10","1000","26081","5","コネクトRANKを合計10上げよう","42","0"
"1008","3","260811013","100","1000","26081","5","キャラのレベルを合計で100上げよう","56","0"
"1009","3","260811014","200","2000","26081","5","キャラのレベルを合計で200上げよう","56","0"
"1010","3","260811015","5","1000","26081","5","黎明界ラビリンスをスキップせずに5回クリアしよう","55","0"
"1011","3","260811016","10","2000","26081","5","黎明界ラビリンスをスキップせずに10回クリアしよう","55","0"
"1","1","260911001","1","200","26091","3","ゲームに1回ログインしよう","43","0"
"2","1","260911002","500","200","26091","3","スタミナを500消費しよう","45","0"
"3","1","260911003","4","200","26091","3","経験値クエストかマナクエストを合計4回クリアしよう","47","0"
"4","1","260911004","10","200","26091","3","メイン・イベント・サイドいずれかのクエストを10回クリアしよう","48","0"
"5","1","260911005","10","200","26091","3","深域クエストを10回クリアしよう","49","0"
"1001","3","260911006","5","100","26091","5","究極錬成を5回行おう","22","0"
"1002","3","260911007","10","200","26091","5","究極錬成を10回行おう","22","0"
"1003","3","260911008","30","300","26091","5","究極錬成を30回行おう","22","0"
"1004","3","260911009","50","400","26091","5","究極錬成を50回行おう","22","0"
"1005","3","260911010","70","500","26091","5","究極錬成を70回行おう","22","0"
"1006","3","260911011","100","1000","26091","5","究極錬成を100回行おう","22","0"
"1007","3","260911012","10","1000","26091","5","コネクトRANKを合計10上げよう","42","0"
"1008","3","260911013","100","1000","26091","5","キャラのレベルを合計で100上げよう","56","0"
"1009","3","260911014","200","2000","26091","5","キャラのレベルを合計で200上げよう","56","0"
"1010","3","260911015","5","1000","26091","5","黎明界ラビリンスをスキップせずに5回クリアしよう","55","0"
"1011","3","260911016","10","2000","26091","5","黎明界ラビリンスをスキップせずに10回クリアしよう","55","0"
