cb1f3e0f00cd81af01a345ec8974cc383c475f0db0e2a4ba9db0a8a53b8953c4,b213739314a0155073f4ad81106d2a9da5ccfd8a73a2fd147ff2d63aa82b9283,9444c4ad3885db9d5e244502dad6ac671194eb467d30d88587797b0c1c37796a,53aa6a52e86ba972f819ebfd178e3319086944bb1560795a590683ff7ea85102,ea011939238884cf13c6e0ad39ced18e2ce86016c6558c7e9a3a1e2671490087,b9627fbbfeab8120313bf681bc5bac94987e32840202233027c0dea62d5ff525,d770dfb122443268c8dbf505f3fa5ead22681ad54f3f3fe60c047272849e5103
"1","81001105","1","0","306700","0","1001101"
"1","81001106","1","0","306700","0","1001102"
"1","81001205","1","0","306800","0","1001201"
"1","81001206","1","0","306800","0","1001202"
"1","81001305","1","0","307000","0","1001301"
"1","81001306","1","0","307000","0","1001302"
"1","81001405","1","0","307500","0","1001401"
"1","81001406","1","0","307500","0","1001402"
"1","81001505","1","0","307300","0","1001501"
"1","81001506","1","0","307300","0","1001502"
"1","81001605","1","0","307700","0","1001601"
"1","81001606","1","0","307700","0","1001602"
"1","81001705","1","0","307400","0","1001701"
"1","81001706","1","0","307400","0","1001702"
"1","81001805","1","0","307900","0","1001801"
"1","81001806","1","0","307900","0","1001802"
"1","81001905","1","0","307800","0","1001901"
"1","81001906","1","0","307800","0","1001902"
"1","81002005","1","0","308100","0","1002001"
"1","81002006","1","0","308100","0","1002002"
"1","81002101","1","0","308000","0","1002101"
"1","81002102","1","0","308000","0","1002102"
"1","81002205","1","0","308300","0","1002201"
"1","81002206","1","0","308300","0","1002202"
"1","81002301","1","0","308200","0","1002301"
"1","81002302","1","0","308200","0","1002302"
"1","81002405","1","0","304705","0","1002401"
"1","81002406","1","0","304705","0","1002402"
"1","81002501","1","0","308400","0","1002501"
"1","81002502","1","0","308400","0","1002502"
"1","81002605","1","0","305004","0","1002601"
"1","81002606","1","0","305004","0","1002602"
"1","81002701","1","0","308600","0","1002701"
"1","81002702","1","0","308600","0","1002702"
"1","81002805","1","0","305205","0","1002801"
"1","81002806","1","0","305205","0","1002802"
"1","81002901","1","0","309300","0","1002901"
"1","81002902","1","0","309300","0","1002902"
"1","81003005","1","0","305500","0","1003001"
"1","81003006","1","0","305500","0","1003002"
"1","81003101","1","0","310000","0","1003101"
"1","81003102","1","0","310000","0","1003102"
"1","81003205","1","0","306000","0","1003201"
"1","81003206","1","0","306000","0","1003202"
"1","81000605","1","0","310300","0","1003301"
"1","81003301","1","0","310300","0","1003302"
"1","81001105","1","0","306700","0","1003401"
"1","81001106","1","0","306700","0","1003402"
"2.5","100021","2.5","0","310500","0","1003501"
"2.5","100531","2.5","0","310500","0","1003502"
"0.4","81003601","0.4","0","310600","0","1003601"
"0.4","81003602","0.4","0","310600","0","1003602"
"1","81001205","1","0","306800","0","1003701"
"1","81001206","1","0","306800","0","1003702"
"1.2","81003801","1.2","0","310700","0","1003801"
"1.2","81003802","1.2","0","310700","0","1003802"
"1","81001305","1","0","307000","0","1003901"
"1","81001306","1","0","307000","0","1003902"
"1","81004001","1","0","310800","0","1004001"
"1","81004002","1","0","310800","0","1004002"
"1","81001505","1","0","307300","0","1004101"
"1","81001506","1","0","307300","0","1004102"
"1","81004201","1","0","311100","0","1004201"
"1","81004202","1","0","311100","0","1004202"
"1","81001905","1","0","307800","0","1004301"
"1","81001906","1","0","307800","0","1004302"
"1","81004401","1","0","311300","0","1004401"
"1","81004402","1","0","311300","0","1004402"
"1","81002101","1","0","308000","0","1004501"
"1","81002102","1","0","308000","0","1004502"
"1","81004601","1","0","311400","0","1004601"
"1","81004602","1","0","311400","0","1004602"
"1","81002301","1","0","308200","0","1004701"
"1","81002302","1","0","308200","0","1004702"
"1","81002405","1","0","311500","0","1004801"
"1","81002406","1","0","311500","0","1004802"
"1","81002501","1","0","308400","0","1004901"
"1","81002502","1","0","308400","0","1004902"
"1.4","81005001","1.4","0","311600","-28","1005001"
"1.4","81005002","1.4","0","311600","-28","1005002"
"1","81002701","1","0","308600","0","1005101"
"1","81002702","1","0","308600","0","1005102"
"1","81000605","1","0","312100","0","1005201"
"1","81003301","1","0","312100","0","1005202"
"1","81001705","1","0","307400","0","1005301"
"1","81001706","1","0","307400","0","1005302"
"1","81003005","1","0","312200","0","1005401"
"1","81003006","1","0","312200","0","1005402"
"1","81002901","1","0","309300","0","1005501"
"1","81002902","1","0","309300","0","1005502"
"1","81005601","1","0","312300","0","1005601"
"1","81005602","1","0","312302","0","1005602"
"1","81003101","1","0","310000","0","1005701"
"1","81003102","1","0","310000","0","1005702"
"1.75","100021","1.75","0","312600","0","1005801"
"1.75","100531","1.75","0","312600","0","1005802"
"1","101821","1","0","312700","0","1005901"
"1","101841","1","0","312700","0","1005902"
"1","81000605","1","0","310300","0","1006001"
"1","81003301","1","0","310300","0","1006002"
"0.65","81006101","0.65","0","312800","-27","1006101"
"0.65","81006102","0.65","0","312800","-27","1006102"
"2.5","100021","2.5","0","310500","0","1006201"
"2.5","100531","2.5","0","310500","0","1006202"
"0.4","81003601","0.4","0","310600","0","1006301"
"0.4","81003602","0.4","0","310600","0","1006302"
"1","81006401","1","0","313200","-30","1006401"
"1","81006402","1","0","313200","-30","1006402"
"1.2","81003801","1.2","0","310700","0","1006501"
"1.2","81003802","1.2","0","310700","0","1006502"
"0.7","81006601","0.7","0","313100","-25","1006601"
"0.7","81006602","0.7","0","313100","-25","1006602"
"1","81004001","1","0","310800","0","1006701"
"1","81004002","1","0","310800","0","1006702"
"1.25","81006801","1.25","0","313300","-26","1006801"
"1.25","81006802","1.25","0","313300","-26","1006802"
"1","81004201","1","0","311100","0","1006901"
"1","81004202","1","0","311100","0","1006902"
"1.25","81007001","1.25","0","314001","-30","1007001"
"1.25","81007002","1.25","0","314002","-30","1007002"
"1","81004401","1","0","311300","0","1007101"
"1","81004402","1","0","311300","0","1007102"
"0.77","81007201","0.77","0","314100","-27","1007201"
"0.77","81007202","0.77","0","314100","-27","1007202"
"1","81004601","1","0","311400","0","1007301"
"1","81004602","1","0","311400","0","1007302"
"1.33","81007401","1.33","0","314200","-33","1007401"
"1.33","81007402","1.33","0","314200","-33","1007402"
"1","81002405","1","0","311500","0","1007501"
"1","81002406","1","0","311500","0","1007502"
"1.7","81007601","1.7","0","314300","-20","1007601"
"1.7","81007602","1.7","0","314300","-20","1007602"
