c64c83c879f02a89726ce8f872f5ac2ae9f1fc19f16406fd07119b7a53241985,5b6582299b9d8ab2cfe32cdd375643c81596d7cb54e58563e9f37c9df9b0c6ea,fb2a017737e388058ae0dcf9dd6993c308f0acb19e4774f023f9916d9073b89c,c3f1f75301f8c299bce9358e34c138c95b5433962c9418efa18353cd3bff81e2
"2019/03/01 4:59:59","1st Anniversary スペシャルログインボーナス","10000","2019/02/15 5:00:00"
"2019/05/07 4:59:59","GW スペシャルログインボーナス","10001","2019/04/27 5:00:00"
"2019/09/01 4:59:59","1.5Year Anniversary スペシャルログインボーナス","10002","2019/08/15 5:00:00"
"2020/03/01 4:59:59","2nd Anniversary スペシャルログインボーナス","10003","2020/02/15 5:00:00"
"2020/09/01 4:59:59","2.5 Year Anniversary スペシャルログインボーナス","10004","2020/08/15 5:00:00"
"2021/03/01 4:59:59","3rd Anniversary スペシャルログインボーナス","10005","2021/02/15 5:00:00"
"2021/09/01 4:59:59","3.5 Year Anniversary スペシャルログインボーナス","10006","2021/08/15 5:00:00"
"2022/03/01 4:59:59","4th Anniversary スペシャルログインボーナス","10007","2022/02/15 5:00:00"
"2022/09/01 4:59:59","4.5 Year Anniversary スペシャルログインボーナス","10008","2022/08/15 5:00:00"
"2023/03/01 4:59:59","5th Anniversary スペシャルログインボーナス","10009","2023/02/15 5:00:00"
"2023/09/01 4:59:59","5.5 Year Anniversary スペシャルログインボーナス","10010","2023/08/15 5:00:00"
"2024/03/01 4:59:59","6th Anniversary スペシャルログインボーナス","10011","2024/02/15 5:00:00"
"2024/09/01 4:59:59","6.5 Year Anniversary スペシャルログインボーナス","10012","2024/08/15 5:00:00"
"2025/03/01 4:59:59","7th Year Anniversary スペシャルログインボーナス","10013","2025/02/15 5:00:00"
"2025/09/01 4:59:59","7.5 Year Anniversary スペシャルログインボーナス","10014","2025/08/15 5:00:00"
"2026/03/01 4:59:59","8th Anniversary スペシャルログインボーナス","10015","2026/02/15 5:00:00"
