ac8a5dee4e0908dce11abbe839caee430cf8b6f31f888a588adc1fe68c6d8027,d3673685547f0806d773f601cdfcead7b2b9c5250f35fb2e64e8436b7217e9da,57be433c60a4a18eb2b142d166413dce87ac84b242096b46942fc8a909646c9a,2de289930ca967a1c111027916f323c8057eb33e6c166955067834bb5e8d08c0,3c412d49d68b5aac1703ebf3a2cb2559129760099b180248d5ee021e0c7e4b2e,4c7ecfb52eca6e773beb113bfb373a2f7db0e8fb5a9bbb8f6a099182429a770e,9137af6f5df1077d577a324c91416e4a78201964a17083bcee541bf967e4e685
"1","10008111","0","1","0","10008101",""
"1","10008115","0","2","0","10008112",""
"3","10008103","0","3","0","10008101",""
"3","10008115","0","4","0","10008105",""
"4","150","0","5","0","10008112",""
"1","10028111","0","6","0","10028101",""
"1","10028115","0","7","0","10028112",""
"3","10028103","0","8","0","10028101",""
"3","10028115","0","9","0","10028105",""
"4","150","0","10","0","10028112",""
"11","20012104","20012107","11","0","20012104",""
"11","20012108","20012109","12","0","20012108",""
"11","20012110","20012114","13","0","20012110",""
"11","20012115","20012115","14","0","20012115",""
"4","120","0","15","0","20012110",""
"1","20008111","0","16","0","20008101",""
"1","20008115","0","17","0","20008112",""
"3","20008103","0","18","0","20008101",""
"3","20008115","0","19","0","20008105",""
"4","150","0","20","0","20008112",""
