fb206226e76e1356ca68c69cda060a4d50c50a7db535d79373e179ab13f9723b,3c132e35963a2c0b8bb2b6beb3d38e846f480feadda7da32cc40e92c3907d854,ea77d98cd34057eda1d08ca172f04d00542d243998ba628da408923bdab25fe5,3ac6a78cd5e318719b25ee8befbf9ec2a287f6081e9a4f16f924ed23bdc7abc2,01dca84983f8d0b4d1a847db74794a5451a76549f963f97088a3014d9d4adbd6,508d69a0ce7a4e9b8ed90da10864b1732d6b19f2102292573542537a49f8a595,cf53155738a1e4745e56a006f51aa59760e154290420736132680e565818d384,d2bc4ed993c6f8b8b3eabf989e5870656774114899bc9102d3f82dff0ddff6d6,63a58250645e022dc0d6705c67fc9587457e1fb4f3e485df8031796375e87d6b,10846feeddd2763d122f1e56ae4f6d46f5f8f71666fc6bf0e6e4b950f9d561a1,7cc37f3d2e708e1c5a11ba74e3324f8e15159929993a4fc1a25b5bd43e8b518d
"1","283001001","8","91002","10","2","25021","8","2","25013","31"
"2","283001002","8","91002","10","2","25021","8","2","25013","31"
"3","283001003","8","91002","10","2","25021","8","2","25013","32"
"4","283001004","8","91002","10","2","25021","8","2","25013","32"
"5","283001005","8","91002","10","2","25021","8","2","25013","33"
"6","283001006","8","91002","10","2","25021","9","2","25013","33"
"7","283001007","8","91002","10","2","25021","9","2","25013","34"
"8","283001008","8","91002","10","2","25021","9","2","25013","35"
"9","283001009","8","91002","10","2","25021","9","2","25013","35"
"10","283001010","8","91002","30","2","25021","10","2","25013","37"
"11","283001011","8","91002","10","2","25021","10","2","25013","41"
"12","283001012","8","91002","10","2","25021","11","2","25013","43"
"13","283001013","8","91002","10","2","25021","11","2","25013","46"
"14","283001014","8","91002","10","2","25021","12","2","25013","48"
"15","283001015","8","91002","10","2","25021","12","2","25013","50"
"16","283001016","8","91002","10","2","25021","13","2","25013","53"
"17","283001017","8","91002","10","2","25021","14","2","25013","55"
"18","283001018","8","91002","10","2","25021","14","2","25013","58"
"19","283001019","8","91002","10","2","25021","15","2","25013","60"
"20","283001020","8","91002","30","2","25021","15","2","25013","62"
"21","283001021","8","91002","10","2","25021","16","2","25013","68"
"22","283001022","8","91002","10","2","25021","16","2","25013","70"
"23","283001023","8","91002","10","2","25021","16","2","25013","72"
"24","283001024","8","91002","10","2","25021","17","2","25013","75"
"25","283001025","8","91002","10","2","25021","18","2","25013","77"
"26","283001026","8","91002","10","2","25021","18","2","25013","79"
"27","283001027","8","91002","10","2","25021","19","2","25013","82"
"28","283001028","8","91002","10","2","25021","19","2","25013","84"
"29","283001029","8","91002","10","2","25021","19","2","25013","86"
"30","283001030","8","91002","30","2","25021","20","2","25013","89"
