9ecd376445305791e3024b14921c4bd32fc8f443264177986370c2a374422e98,c9d67418493c478d07a8fae1ef3ebcda40ca09c21d0793eaac381a0095b2246d,11992eea048f82aa4f273f01667dfd049c5b3c4d1a95042f51416f00c96d40bf,d2007a24207b05365484dc4d3257f9ba02bbab0a19ab2c8d6794ab9a5d4101c0,c4cedfb9b221f64405be610ecb1d8fd0a65b3d62f42e652a3b139465efdad7d1,4a2988f68f45901adad5e2ff53c63e2d3af861aaed8bee2869d6d87b6ea6b4f6,9d78f63822ea23cadd6d05776428111e96f8c991aa99df82de990c8b4643af75,76cd05e6a38f9a31c055e4b7429e3ff3f85ded2cc1c6e9d2c4092570b107605d,2fe1587ba75b2a9754002f4d9d68f180b14c66a75a3f553eb4ae691e5072e960,47561e7e914284ff7a2a2fed2c2df42b2d75bff69be55a9c8514a9e0646d89f4,83739ebabc5ebf30cdb55e3766b1b9b4d76254d1a395e610ae83e6208f56fbca
"idle_normal","61001","0","-225","1.8","1","1","5146061","100","105811","-278"
"idle_normal","61002","0","-225","1.8","6","5","5146061","101","1058","-278"
"kokkoro_idle_normal","61003","0","-385","1.8","1","1","5146061","103","105911","-288"
"kokkoro_idle_normal","61004","0","-385","1.8","3","5","5146061","104","1059","-288"
"idle_normal","61005","1","290","1.8","1","1","5146061","106","106011","-278"
"idle_normal","61006","1","290","1.8","4","5","5146061","107","1060","-278"
"","61007","","","","105811","13","5146061","","200",""
"","61008","","","","105911","13","5146061","","203",""
"","61009","","","","106011","13","5146061","","206",""
"idle","61010","0","0","0.85","7","5","5146061","15","7","-174"
"empty","61011","0","290","1","20","5","5146061","210","201","8"
"empty","61012","0","0","1","20","5","5146061","211","202","-78"
"empty","61013","0","-315","1","20","5","5146061","210","203","16"
"empty","61014","0","0","1","21","5","5146061","60","21","153"
"","61015","","0","1","1","31","5146061","0","1","1"
"","61016","","-57.7","0","2","31","5146061","0","2","1"
"","61017","","0","0","10","31","5146061","0","10","1"
"","61018","","0","0","11","31","5146061","0","11","1"
"","61019","","","","0","91","5146061","","0",""
"","61020","","","","0","102","5146061","0","0",""
"","61021","","","","1","93","5146061","","0",""
"","61022","0","doya_talk_shy","0.2","106011","3","5146061","0","doya_in_shy","1"
"","61023","0","doya_talk_shy","0.2","1060","3","5146061","0","doya_in_shy","1"
"","61024","","0","","vo_apg","21","5146061","0","vo_apg_0101",""
"0","61025","0","1","0","106011","11","5146061","10","ジェットコースター乗車中の\n魔法の写真撮影サービス？\nフン、人の無防備な写真勝手に撮って、\n後で売り付けよーとかくだらないわ！","1"
"","61026","","","","0","91","5146061","","",""
"","61027","","","","2","32","5146061","","1",""
"","61028","","","","2","37","5146061","","fade105_in",""
"","61029","","","","106011","4","5146061","","0",""
"","61030","","","","1060","4","5146061","","0",""
"","61031","","","0.5","106011","3","5146061","1","sad_idle_dere_shy",""
"","61032","","","0.5","1060","3","5146061","1","sad_idle_dere_shy",""
"","61033","","0","","vo_apg","21","5146061","0","vo_apg_0102",""
"","61034","","","0","201","3","5146061","0","0102_in",""
"","61035","","","","4.6","93","5146061","","1",""
"","61036","","","0","201","3","5146061","0","0102_mid",""
"","61037","","","","","92","5146061","","",""
"","61038","","","0","201","3","5146061","0","0102_out",""
"","61039","","","","0.2","93","5146061","","0",""
"","61040","0","kyaru_smile_idle","0.2","106011","3","5146061","0","kyaru_smile_in","1"
"","61041","0","kyaru_smile_idle","0.2","1060","3","5146061","0","kyaru_smile_in","1"
"","61042","","0","","vo_apg","21","5146061","0","vo_apg_0103",""
"","61043","","","0","201","3","5146061","0","0103_in",""
"","61044","","","","5.4","93","5146061","","1",""
"","61045","","","0","201","3","5146061","0","0103_mid",""
"","61046","","","","","92","5146061","","",""
"","61047","","","0","201","3","5146061","0","0103_out",""
"","61048","","","","0.2","93","5146061","","0",""
"","61049","","","","2","37","5146061","","fade105_out",""
"","61050","","","","105811","4","5146061","","1",""
"","61051","","","","1058","4","5146061","","1",""
"","61052","","","0.2","105811","3","5146061","1","surprise_talk",""
"","61053","","","0.2","1058","3","5146061","1","surprise_talk",""
"","61054","","0","","vo_apg","21","5146061","0","vo_apg_0104",""
"0","61055","0","1","0","105811","11","5146061","10","……キャルちゃん、\n写真写りたくないんですかね…？","1"
"","61056","","","","0","91","5146061","","",""
"","61057","","","0.2","105811","3","5146061","1","surprise_idle_talk1R",""
"","61058","","","0.2","1058","3","5146061","1","surprise_idle_talk1R",""
"","61059","","","0.2","105911","3","5146061","1","kokkoro_surprise_talk",""
"","61060","","","0.2","1059","3","5146061","1","kokkoro_surprise_talk",""
"","61061","","0","","vo_apg","21","5146061","0","vo_apg_0105",""
"0","61062","0","1","0","105911","11","5146061","10","はい。\nどうやらそのようでございます","1"
"","61063","","","","0","91","5146061","","",""
"","61064","","","0.2","105911","3","5146061","1","kokkoro_idle_normal",""
"","61065","","","0.2","1059","3","5146061","1","kokkoro_idle_normal",""
"","61066","","","0.2","105811","3","5146061","1","idle_normal_talk1R",""
"","61067","","","0.2","1058","3","5146061","1","idle_normal_talk1R",""
"","61068","","","","105811","4","5146061","","0",""
"","61069","","","","1058","4","5146061","","0",""
"","61070","","","","106011","4","5146061","","1",""
"","61071","","","","1060","4","5146061","","1",""
"","61072","0","cool_talk_sing_shy","0.2","106011","3","5146061","0","cool_in_sing_shy","1"
"","61073","0","cool_talk_sing_shy","0.2","1060","3","5146061","0","cool_in_sing_shy","1"
"","61074","","0","","vo_apg","21","5146061","0","vo_apg_0106",""
"0","61075","0","1","0","106011","11","5146061","10","ほら、さっさと乗るわよー\nはーやだやだ…ふふふ","1"
"","61076","","","","0","91","5146061","","",""
"","61077","","","","0","22","5146061","","0",""
"","61078","","","0.2","106011","3","5146061","1","walk_kyapi_shy",""
"","61079","","","0.2","1060","3","5146061","1","walk_kyapi_shy",""
"","61080","","","0.2","105811","3","5146061","1","walk_furimuki",""
"","61081","","","0.2","1058","3","5146061","1","walk_furimuki",""
"","61082","","","0.2","105911","3","5146061","1","kokkoro_walk_surprise",""
"","61083","","","0.2","1059","3","5146061","1","kokkoro_walk_surprise",""
"","61084","","2","","106011","2","5146061","-278","149","0"
"","61085","","2","","1060","2","5146061","-278","149","0"
"","61086","","2","","105811","2","5146061","-278","-54","0"
"","61087","","2","","1058","2","5146061","-278","-54","0"
"","61088","","2","","105911","2","5146061","-288","-214","0"
"","61089","","2","","1059","2","5146061","-288","-214","0"
"","61090","","","","1","93","5146061","","0",""
"","61091","","","","2","37","5146061","","iris_in",""
"","61092","","","","2","93","5146061","","0",""
"","61093","","","","se_10055900","23","5146061","1","se_10055900_coaster_02",""
"","61094","","","","10","32","5146061","","1",""
"","61095","","","","30","122","5146061","0.5","30",""
"","61096","","0","","vo_apg","21","5146061","0","vo_apg_0107",""
"","61097","","","0","202","3","5146061","0","0107_in",""
"","61098","","","","0.7","93","5146061","","1",""
"","61099","","","0","202","3","5146061","0","0107_mid",""
"","61100","","","","","92","5146061","","",""
"","61101","","","0","202","3","5146061","0","0107_out",""
"","61102","","","","0.2","93","5146061","","0",""
"","61103","","0","","202","2","5146061","-211","0","0"
"","61104","","","","30","122","5146061","0.5","30",""
"","61105","","0","","vo_apg","21","5146061","0","vo_apg_0108",""
"","61106","","","0","203","3","5146061","0","0108_in",""
"","61107","","","","0.8","93","5146061","","1",""
"","61108","","","0","203","3","5146061","0","0108_mid",""
"","61109","","","","","92","5146061","","",""
"","61110","","","0","203","3","5146061","0","0108_out",""
"","61111","","","","0.2","93","5146061","","0",""
"","61112","","0","","201","2","5146061","16","315","0"
"","61113","","","","30","122","5146061","0.5","30",""
"","61114","","0","","vo_apg","21","5146061","0","vo_apg_0109",""
"","61115","","","0","201","3","5146061","0","0109_in",""
"","61116","","","","1.1","93","5146061","","1",""
"","61117","","","0","201","3","5146061","0","0109_mid",""
"","61118","","","","","92","5146061","","",""
"","61119","","","0","201","3","5146061","0","0109_out",""
"","61120","","","","0.2","93","5146061","","0",""
"","61121","","","","30","122","5146061","0.5","30",""
"","61122","","0","","vo_apg","21","5146061","0","vo_apg_0110",""
"","61123","","","0","202","3","5146061","0","0107_in",""
"","61124","","","0","203","3","5146061","0","0108_in",""
"","61125","","","0","201","3","5146061","0","0109_in",""
"","61126","","","","1.1","93","5146061","","1",""
"","61127","","","0","202","3","5146061","0","0107_mid",""
"","61128","","","0","203","3","5146061","0","0108_mid",""
"","61129","","","0","201","3","5146061","0","0109_mid",""
"","61130","","","","","92","5146061","","",""
"","61131","","","0","202","3","5146061","0","0107_out",""
"","61132","","","0","203","3","5146061","0","0108_out",""
"","61133","","","0","201","3","5146061","0","0109_out",""
"","61134","","","","0.2","93","5146061","","0",""
"","61135","","0","","201","2","5146061","0","216","0"
"","61136","","0","","vo_apg","21","5146061","0","vo_apg_0111",""
"","61137","","","0","201","3","5146061","0","0111_in",""
"","61138","","","","1.8","93","5146061","","1",""
"","61139","","","0","201","3","5146061","0","0111_mid",""
"","61140","","","","","92","5146061","","",""
"","61141","","","0","201","3","5146061","0","0111_out",""
"","61142","","","","0.2","93","5146061","","0",""
"","61143","","","","0","22","5146061","","0",""
"","61144","","","","0.5","93","5146061","","",""
"","61145","","","","11","32","5146061","","1",""
"","61146","","","","se_10055900","23","5146061","0","se_10055900_camera",""
"","61147","","","","0.2","93","5146061","","0",""
"","61148","","","","10","32","5146061","","0",""
"","61149","","","","1.8","93","5146061","","0",""
"","61150","","","","se_10055900_coaster_02","24","5146061","","0.5",""
"","61151","","","","2","37","5146061","","iris_out",""
"","61152","","0","","106011","2","5146061","-278","129","0"
"","61153","","0","","1060","2","5146061","-278","129","0"
"","61154","","0","","105811","2","5146061","-278","-34","0"
"","61155","","0","","1058","2","5146061","-278","-34","0"
"","61156","","0","","105911","2","5146061","-288","-194","0"
"","61157","","0","","1059","2","5146061","-288","-194","0"
"","61158","","","0.2","106011","3","5146061","1","walk_normal_dere2",""
"","61159","","","0.2","1060","3","5146061","1","walk_normal_dere2",""
"","61160","","","0.2","105811","3","5146061","1","walk_normal_joy",""
"","61161","","","0.2","1058","3","5146061","1","walk_normal_joy",""
"","61162","","","0.2","105911","3","5146061","1","kokkoro_walk_normal_dere",""
"","61163","","","0.2","1059","3","5146061","1","kokkoro_walk_normal_dere",""
"","61164","","2","","106011","2","5146061","-278","290","0"
"","61165","","2","","1060","2","5146061","-278","290","0"
"","61166","","2","","105811","2","5146061","-278","-225","0"
