73c15349ca46f965500d79cb6637a24278116dde1a63291d3fd7157715362d1e,13f945b983c2245d212c404b64422492f3d8ae2cec275bf2e0980244fae15865,983515c377feca7a1e87b7c122bc320c1916ae09372d9f97f3b4da120ec3b72a,cca7fff9e605a68fcb2c01e93e82992938f3707e63516f2a45339ab67eb367f9,fef2a83cf59940d4ee9fa4c24f09b873b24c3ea153c112705641f49bffd7218a,573f2156eeeacafb3a673b6290ecb3fcb670ab3bb320217dca4573a4b4d3573b
"6","1","60000001","10011001","4","101011"
"6","1","60000002","10011001","4","101071"
"6","1","60000003","10011001","4","101101"
"7","1","60000004","10011001","4","101131"
"6","1","60000005","10011001","4","101161"
"6","1","60000006","10011001","4","101191"
"7","1","60000007","10011001","4","101251"
"7","1","60000008","10011001","4","101281"
"7","1","60000009","10011001","4","101371"
"7","1","60000010","10011001","4","101401"
"7","1","60000011","10011001","4","101431"
"7","1","60000012","10011001","4","101521"
"7","1","60000013","10011001","4","101551"
"7","1","60000014","10011001","4","101581"
"7","1","60000015","10011001","4","101611"
"2","1","60000016","10011002","4","102011"
"2","1","60000017","10011002","4","102013"
"2","1","60000018","10011002","4","102014"
"2","1","60000019","10011002","4","102041"
"2","1","60000020","10011002","4","102071"
"2","1","60000021","10011002","4","102101"
"2","1","60000022","10011002","4","102131"
"2","1","60000023","10011002","4","102162"
"2","1","60000024","10011002","4","102163"
"2","1","60000025","10011002","4","102191"
"2","1","60000026","10011002","4","102192"
"2","1","60000027","10011002","4","102221"
"2","1","60000028","10011002","4","102222"
"2","1","60000029","10011002","4","102251"
"3","1","60000030","10011002","4","102252"
"3","1","60000031","10011002","4","102281"
"3","1","60000032","10011002","4","102461"
"3","1","60000033","10011002","4","102551"
"3","1","60000034","10011002","4","102552"
"3","1","60000035","10011002","4","102581"
"3","1","60000036","10011002","4","102582"
"3","1","60000037","10011002","4","102611"
"3","1","60000038","10011002","4","102612"
"3","1","60000039","10011002","4","122282"
"3","1","60000040","10011002","4","122311"
"3","1","60000041","10011002","4","122312"
"3","1","60000042","10011002","4","122341"
"3","1","60000043","10011002","4","122342"
"3","1","60000044","10011002","4","122371"
"3","1","60000045","10011002","4","122372"
"3","1","60000046","10011002","4","122401"
"3","1","60000047","10011002","4","122431"
"3","1","60000048","10011002","4","122432"
"3","1","60000049","10011002","4","122491"
"3","1","60000050","10011002","4","122493"
"3","1","60000051","10011002","4","122521"
"3","1","60000052","10011002","4","122613"
"3","1","60000053","10011002","4","122614"
"2","1","60000054","10011003","4","113011"
"2","1","60000055","10011003","4","113012"
"2","1","60000056","10011003","4","113013"
"2","1","60000057","10011003","4","113071"
"2","1","60000058","10011003","4","113101"
"2","1","60000059","10011003","4","113131"
"2","1","60000060","10011003","4","113162"
"2","1","60000061","10011003","4","113191"
"2","1","60000062","10011003","4","113221"
"2","1","60000063","10011003","4","113222"
"2","1","60000064","10011003","4","113252"
"3","1","60000065","10011003","4","113283"
"3","1","60000066","10011003","4","113342"
"3","1","60000067","10011003","4","113372"
"3","1","60000068","10011003","4","113401"
"3","1","60000069","10011003","4","113431"
"3","1","60000070","10011003","4","113521"
"3","1","60000071","10011003","4","113522"
"3","1","60000072","10011003","4","113551"
"3","1","60000073","10011003","4","113552"
"3","1","60000074","10011003","4","113553"
"3","1","60000075","10011003","4","113581"
"3","1","60000076","10011003","4","113611"
"3","1","60000077","10011003","4","113614"
"2","1","60000078","10011003","4","123041"
"2","1","60000079","10011003","4","123042"
"2","1","60000080","10011003","4","123072"
"2","1","60000081","10011003","4","123132"
"2","1","60000082","10011003","4","123161"
"2","1","60000083","10011003","4","123192"
"2","1","60000084","10011003","4","123193"
"2","1","60000085","10011003","4","123251"
"3","1","60000086","10011003","4","123281"
"3","1","60000087","10011003","4","123282"
"3","1","60000088","10011003","4","123311"
"3","1","60000089","10011003","4","123341"
"3","1","60000090","10011003","4","123343"
"3","1","60000091","10011003","4","123371"
"3","1","60000092","10011003","4","123432"
"3","1","60000093","10011003","4","123461"
"3","1","60000094","10011003","4","123491"
"3","1","60000095","10011003","4","123582"
"3","1","60000096","10011003","4","123583"
"3","1","60000097","10011003","4","123612"
"2","1","60000098","10011004","4","114011"
"2","1","60000099","10011004","4","114012"
"2","1","60000100","10011004","4","114041"
