d90cf83900eca9d76111d01cc104b61b652cd42ffc2c75ec571e8f17be0d2529,dedd588ae683fd908a5712fcde650f1e9c1b8bf0ea8ea6250ccabaafa2cc6a35,62d23c5725cd52e02124256cc10810160058ad1bfdfe0c3894f5de5846f8df3d,6fc5e4b81582f772d90cc7a441b7a8eb5df619444de070abfdfa50f97ced804e,9220b12b179e70cd88b38dab653235aee166fbe0ccf9d78470e8bb954e07acff,ab4b37225fab066163b2bef1eb4b2d6e93a661e2dbeb7e3fbaac066a88aaa1c6,7cb6677e1c351a721f993ba55affcdafd17f4fd8e4ee76ed0d376e5fac536424,84fbb14e0d39fdde958d977aefdc9b50bcb8c8d2851da655d01fa6a7a9cb0bdf
"0","101","0","2001","短時間、障害物バリアを展開する　（ＴＰ上昇率：大）","0","3","短時間、障害物バリアを展開！"
"5","102","0","3","中時間、スピードとジャンプを　　小アップ（ＴＰ上昇率：小）","5","5","中時間、スピードとジャンプ小アップ！"
"6","103","0","1","短時間、スピードを中アップ　　　（ＴＰ上昇率：中）","0","4","短時間、スピード中アップ！"
"0","104","0","2001","中時間、障害物バリアを展開する　（ＴＰ上昇率：小）","0","5","中時間、障害物バリアを展開！"
"3","105","0","1","中時間、スピードを小アップ　　　（ＴＰ上昇率：小）","0","6","中時間、スピード小アップ！"
"4","106","0","1001","中時間、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：大）","0","6","中時間、対戦相手のスピード小ダウン！"
"17","107","0","3","中時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：小）","16","5","中時間、スピードとジャンプ特大アップ！"
"8","108","0","1","ラウンド中、スピードを中アップ　（ＴＰ上昇率：小）","0","40","ラウンド中、スピード中アップ！"
"30","109","0","1","短時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","0","4","短時間、スピード特大アップ！"
"10","110","0","1001","ラウンド中、対戦相手のスピードを中ダウン（ＴＰ上昇率：小）","0","40","ラウンド中、対戦相手が大きく減速！"
"0","111","0","2001","ごく短時間、障害物バリアを　　　展開する（ＴＰ上昇率：大）","0","1","ごく短時間、障害物バリアを展開！"
"15","112","0","1004","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：小）","0","4","短時間、先頭の対戦相手が大きく減速！"
"5","113","0","1","中時間、スピードを小アップ　　　（ＴＰ上昇率：大）","0","6","中時間、スピード小アップ！"
"5","114","0","2","中時間、ジャンプを小アップ　　　（ＴＰ上昇率：大）","0","5","中時間、ジャンプ小アップ！"
"0","115","0","2002","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：特大）","0","7","長時間、バリアで能力ダウンを防ぐ！"
"3","116","0","1","累積で、スピードを小アップ　　　（ＴＰ上昇率：特大）","0","25","累積で、スピード小アップ！"
"3","117","0","1001","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","0","25","累積で、対戦相手が小さく減速！"
"30","118","0","3","長時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：中）","20","7","長時間、スピードとジャンプ特大アップ！"
"15","119","0","1004","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","0","4","短時間、先頭の対戦相手が大きく減速！"
"0","120","0","2002","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：大）","0","7","長時間、バリアで能力ダウンを防ぐ！"
"30","121","0","2","長時間、ジャンプを特大アップ　　（ＴＰ上昇率：中）","0","12","長時間、ジャンプ特大アップ！"
"15","122","0","1004","累積で、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","0","30","累積で、先頭の対戦相手が大きく減速！"
"11","123","8","4","短時間スピード大アップ後、　　　スピードダウン（ＴＰ上昇率：大）","2","4","短時間大きく加速した後、ごく短時間減速！"
"9","124","0","1","長時間、スピードを中アップ　　　（ＴＰ上昇率：大）","0","8","長時間、スピード中アップ！"
"0","125","0","2001","短時間、障害物バリアを展開する　（ＴＰ上昇率：中）","0","4","短時間、障害物バリアを展開！"
"3","126","0","1001","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","0","30","累積で、対戦相手が小さく減速！"
"22","127","0","1","長時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","0","10","長時間、スピード特大アップ！"
"30","128","0","2","短時間、ジャンプを特大アップ　　（ＴＰ上昇率：大）","0","4","短時間、ジャンプ特大アップ！"
"20","129","0","1001","短時間、対戦相手のスピードを　　特大ダウン（ＴＰ上昇率：大）","0","3","短時間、対戦相手のスピード特大ダウン！"
"30","130","0","1","短時間、スピードを特大アップ　　（ＴＰ上昇率：大）","0","4","短時間、スピード特大アップ！"
