d82cdd5ce1d65f72d1d5ca9b62062334d6b94cc2d89fcad7efd13005ce2bed38,40ea3095e5c3d42322310b34730e817d0c77b110e6e9aeed6ee8ec19eb029cd6,cc8ba7b1b5cd558ea39e3aa370cd318136933cfeca95830c307bf680296746b5,de88723baaebb584740580547a79168d9d5f5bab7b055bf5d50486a68ba739f1,ec250a013cbcdf46a92ae6361f70f47c1261f5b5cf23fe5590718bb5c98925c0,9d8e1f8774849fb135db72c6f2c15be1f40b46cf245f5ae64092fa1630a5e30f,e8bdd9fc42b8170e2a02f4606d6e7502bbac4554db1282c29fb4854c69bec4be,cf4c69269189671f2a0f4c3ef333dab51a7eda8c1c80b45780064a86108e74bb,eb8cb98ea93c0746a912af3a6debc0744337cc8604afa878b6e30f3f704dd4df,d5e261483fc154abd01866cbdc64acf70fab66088c3837f822b703a7c8ad5a70,b3c9cd15b404c3f42c56977a82d4b7efabbbb149ca3356dca360011fb3c711ec,1390beb26cb22f14c7bb1d301536a4a921b363d7cd9c34fd6f661df8915b5085,a3c5e94f37caa924496f7c832b295509718f6db6086546bfae7d058a6afb516e,cad22f538897f0020c4dca1a648155d2073473660a0200c4a3c4795cbb6c980e,ee431d020d3afe07afb90cb3424484d46cfe35b6791611fe44b5ef016418bda8,6ffc3bb9daac061c438323810517a4702f8b1e769cda7b78f045a6e258332a9a
"1001001","8","2","12","91002","200","90008","50","25011","2","2","25021","10","94002","400","500000"
"1001002","8","2","12","91002","200","90008","50","25012","2","2","25021","10","94002","400","500000"
"1001003","8","2","12","91002","200","90008","50","25013","2","2","25021","10","94002","400","500000"
"1001004","8","2","12","91002","200","90008","50","25014","2","2","25021","10","94002","400","500000"
"1001005","8","2","12","91002","200","90008","50","25015","2","2","25021","10","94002","400","500000"
"1001006","8","2","12","91002","200","90008","50","25011","2","2","25021","10","94002","400","500000"
"1001007","8","2","12","91002","200","90008","50","25012","2","2","25021","10","94002","400","500000"
"1001008","8","2","12","91002","200","90008","50","25013","2","2","25021","10","94002","400","500000"
"1001009","8","2","12","91002","200","90008","50","25014","2","2","25021","10","94002","400","500000"
"1001010","8","2","12","91002","200","90008","10","25015","2","2","25001","10","94002","400","500000"
"1001011","8","2","12","91002","200","90008","50","25011","2","2","25021","10","94002","400","500000"
"1001012","8","2","12","91002","200","90008","50","25012","2","2","25021","10","94002","400","500000"
"1001013","8","2","12","91002","200","90008","50","25013","2","2","25021","10","94002","400","500000"
"1001014","8","2","12","91002","200","90008","50","25014","2","2","25021","10","94002","400","500000"
"1001015","8","2","12","91002","200","90008","50","25015","2","2","25021","10","94002","400","500000"
"1001016","8","0","12","91002","200","90008","50","0","2","2","25021","10","94002","0","500000"
"1001017","8","0","12","91002","200","90008","50","0","2","2","25021","10","94002","0","500000"
"1001018","8","0","12","91002","200","90008","50","0","2","2","25021","10","94002","0","500000"
"1002001","8","2","12","91002","200","90008","50","25011","2","2","25021","10","94002","400","500000"
"1002002","8","2","12","91002","200","90008","50","25012","2","2","25021","10","94002","400","500000"
"1002003","8","2","12","91002","200","90008","50","25013","2","2","25021","10","94002","400","500000"
"1002004","8","2","12","91002","200","90008","50","25014","2","2","25021","10","94002","400","500000"
"1002005","8","2","12","91002","200","90008","50","25015","2","2","25021","10","94002","400","500000"
"1002006","8","2","12","91002","200","90008","50","25011","2","2","25021","10","94002","400","500000"
"1002007","8","2","12","91002","200","90008","50","25012","2","2","25021","10","94002","400","500000"
"1002008","8","2","12","91002","200","90008","50","25013","2","2","25021","10","94002","400","500000"
"1002009","8","2","12","91002","200","90008","50","25014","2","2","25021","10","94002","400","500000"
