2544eea1d851b1d13c0ab65f8b76f3ccac19febb23296345bef9a012871d8408,afe8c723aac88eed9218f0db422e585341c2de5a1ec3e3654227c48bb39a4852,85e59e7fe1c09e5430eafd289edfffed797e12a218621fec1f3e3201173e5b56
"6101321","1","61013201"
"6101322","2","61013201"
"6101323","3","61013201"
"6101324","4","61013201"
"6101325","5","61013201"
"6101326","6","61013201"
"6101327","7","61013201"
"6101341","8","61013401"
"6101342","9","61013401"
"6101343","10","61013401"
"6101344","11","61013401"
"6101345","12","61013401"
"6101361","13","61013601"
"6101362","14","61013601"
"6101363","15","61013601"
"6101364","16","61013601"
"6101365","17","61013601"
"6101366","18","61013601"
"6101367","19","61013601"
"6101368","20","61013601"
"6101401","21","61014001"
"6101402","22","61014001"
"6101403","23","61014001"
"6101404","24","61014001"
"6101405","25","61014001"
"6101421","26","61014201"
"6101422","27","61014201"
"6101423","28","61014201"
"6101424","29","61014201"
"6101441","30","61014401"
"6101442","31","61014401"
"6101443","32","61014401"
"6101444","33","61014401"
"6101461","34","61014601"
"6101462","35","61014601"
"6101463","36","61014601"
"6101464","37","61014601"
"6101465","38","61014601"
"6101466","39","61014601"
"6101467","40","61014601"
"6101468","41","61014601"
"6101469","42","61014601"
"6101481","43","61014801"
"6101482","44","61014801"
"6101483","45","61014801"
"6101484","46","61014801"
"6101485","47","61014801"
"6101501","48","61015001"
"6101502","49","61015001"
"6101503","50","61015001"
"6101504","51","61015001"
"6101505","52","61015001"
"6101520","53","61015201"
"6101521","54","61015201"
"6101522","55","61015201"
"6101523","56","61015201"
"6101524","57","61015201"
"6101525","58","61015201"
"6101526","59","61015201"
"6101527","60","61015201"
"6101528","61","61015201"
"6101529","62","61015201"
"6101540","63","61015401"
"6101541","64","61015401"
"6101542","65","61015401"
"6101550","66","61015501"
"6101551","67","61015501"
"6101580","68","61015801"
"6101581","69","61015801"
"6101600","70","61016001"
"6101601","71","61016001"
"6101620","72","61016201"
"6101621","73","61016201"
"6101622","74","61016201"
"6101640","75","61016401"
"6101641","76","61016401"
"6101642","77","61016401"
"6101660","78","61016601"
"6101661","79","61016601"
"6101662","80","61016601"
"6101681","81","61016801"
"6101682","82","61016801"
"6101683","83","61016801"
"6101700","84","61017001"
"6101701","85","61017001"
"6101720","86","61017201"
"6101721","87","61017201"
"6101740","88","61017401"
"6101741","89","61017401"
"6101742","90","61017401"
"6101760","91","61017601"
"6101761","92","61017601"
"6101780","93","61017801"
"6101781","94","61017801"
"6101800","95","61018001"
"6101801","96","61018001"
"6101820","97","61018201"
"6101821","98","61018201"
"6101822","99","61018201"
"6101840","100","61018401"
"6101841","101","61018401"
"6101860","102","61018601"
"6101861","103","61018601"
"6101862","104","61018601"
"6101863","105","61018601"
"6101880","106","61018801"
"6101881","107","61018801"
"6101900","108","61019001"
"6101901","109","61019001"
"6101902","110","61019001"
"6101920","111","61019201"
"6101921","112","61019201"
"6101940","113","61019401"
"6101941","114","61019401"
"6101942","115","61019401"
