bbb36e463b5385728af5dd7b77861948fa10b18607081cb511fd8ddd31280347,5fc77c077fd88ec29db8a6beaddb7ccad903f49ec34d52b693998633db92e184,dabd80437f5c304581f5ea1be9f3924b2be435e6fd76276e2f48685bc0cd24c9,74fc2e1872edb5fbbdfcd815cbeb27a04a2344005b659d6dadf8ab2c5dbae75c
"1","22","53001","1"
"2","21","99007","500"
"3","21","99008","1"
"4","21","99007","800"
"5","21","99007","2000"
"6","21","99007","1000"
"7","22","53001","2"
"8","21","99008","2"
"9","21","99008","3"
"10","22","53002","1"
"11","22","53001","3"
"12","22","53002","3"
