ce8e79e85d6f59c5d2702d8330898c7d941d5671e94e42dba670fb23ce329115,0e6c2df34f4552aec7fbe9ceb9b7ef2b8cd5219ed994993871309a57c690fa7e,8013ecc20ef9854d0f6da042bd37c136de9eb9cc9564be3a354c2c9e2c2155b7,2be5e1fe274a0520153d1d5cf555a4e1baedb3ecb2ce7f140e479c3ccb9cc850,42e14b63c93e7322defc64bc6f19bbfec5db4aa28487e95e11777bf2e35f6889,4d29b4dee4f35e7e4a774a42f030eae9f50c5a52d167dd36a4f3939fe6558467,ab39eb38a099098e1d8da6133fc8431a47af604192448a1e2fec8da73c27077c,ac73f1c398b85ec1a1813639bb1e1d691ea812a70ba54df5250fb4bdfd18daac
"1","376010001","90","1","76010001","2024/10/15 15:00:00","760100011","276010001"
"2","376010002","90","1","76010002","2024/10/15 15:00:00","760100021","276010002"
"3","376010003","90","1","76010003","2024/10/15 15:00:00","760100031","276010003"
"4","376010004","90","1","76010004","2024/10/15 15:00:00","760100041","276010004"
"5","376010005","90","1","76010005","2024/10/15 15:00:00","760100051","276010005"
"6","376010006","90","1","76010006","2025/10/20 12:00:00","760100061","276010006"
"7","376010007","90","1","76010007","2025/10/20 12:00:00","760100071","276010007"
"8","376010008","90","1","76010008","2025/10/20 12:00:00","760100081","276010008"
"9","376010009","90","1","76010009","2025/10/20 12:00:00","760100091","276010009"
"10","376010010","90","1","76010010","2025/10/20 12:00:00","760100101","276010010"
"1","376020001","90","2","76020001","2024/10/15 15:00:00","760200011","276020001"
"2","376020002","90","2","76020002","2024/10/15 15:00:00","760200021","276020002"
"3","376020003","90","2","76020003","2024/10/15 15:00:00","760200031","276020003"
"4","376020004","90","2","76020004","2024/10/15 15:00:00","760200041","276020004"
"5","376020005","90","2","76020005","2024/10/15 15:00:00","760200051","276020005"
"6","376020006","90","2","76020006","2025/10/20 12:00:00","760200061","276020006"
"7","376020007","90","2","76020007","2025/10/20 12:00:00","760200071","276020007"
"8","376020008","90","2","76020008","2025/10/20 12:00:00","760200081","276020008"
"9","376020009","90","2","76020009","2025/10/20 12:00:00","760200091","276020009"
"10","376020010","90","2","76020010","2025/10/20 12:00:00","760200101","276020010"
"1","376030001","90","3","76030001","2025/08/15 15:00:00","760300011","276030001"
"2","376030002","90","3","76030002","2025/08/15 15:00:00","760300021","276030002"
"3","376030003","90","3","76030003","2025/08/15 15:00:00","760300031","276030003"
"4","376030004","90","3","76030004","2025/08/15 15:00:00","760300041","276030004"
"5","376030005","90","3","76030005","2025/08/15 15:00:00","760300051","276030005"
"1","376040001","90","4","76040001","2026/02/16 12:00:00","760400011","276040001"
"2","376040002","90","4","76040002","2026/02/16 12:00:00","760400021","276040002"
"3","376040003","90","4","76040003","2026/02/16 12:00:00","760400031","276040003"
"4","376040004","90","4","76040004","2026/02/16 12:00:00","760400041","276040004"
"5","376040005","90","4","76040005","2026/02/16 12:00:00","760400051","276040005"
