b797cc44940533481512fb44247a38ba44d6593c03dbbd88dca343547d51879b,af7956aa47efd2df7740ece210fb5479072de98e98feb8bcb987c702a03af604,edfaf401c13e3683948e363f3b08047ac3fccb23be9a9942e5be52fdc6a48e89,c3b1a8e964d9508a7b83c97ac934cedc4a441c33964a40282d9a32cc5b9762b6,4af03201e488f886b048ba07c16261766f2b7cf678197e3f8c122f5862950d13,6583e8873fa46486a15dd94a2faeb1eecfd1825d1789743478387edbc2235f98,8deb70d37438cc142c6abe7ce9f42523ab00a66468131b374e9cdfcc80749d08,b602802c7dcd5c94f4d612c3c5a33df3e03070da6ff83c3c792fa5b01ccc863d,aa1e29c5836bf94a9afe0309b06ddb86b0c99fc0e04126e43e550e84b57318b1
"90043","0","1","10","90001","12000","30000","10000","1"
"90047","0","2","20","90002","24000","30000","10000","2"
"90047","0","3","20","90002","24000","30000","10000","3"
"90047","0","4","20","90002","24000","30000","10000","4"
"90047","0","5","20","90002","24000","30000","10000","5"
"90047","0","6","20","90002","24000","30000","10000","6"
"90047","0","7","20","90002","24000","30000","10000","7"
"90047","0","8","20","90002","24000","30000","10000","8"
"90047","0","9","20","90002","24000","30000","10000","9"
"90047","0","10","20","90002","24000","30000","10000","10"
"90051","90011","11","40","90003","48000","30000","10000","11"
"90051","90011","12","40","90003","48000","30000","10000","12"
"90051","90011","13","40","90003","48000","30000","10000","13"
"90051","90011","14","40","90003","48000","30000","10000","14"
"90051","90011","15","40","90003","48000","30000","10000","15"
"90051","90011","16","40","90003","48000","30000","10000","16"
"90051","90011","17","40","90003","48000","30000","10000","17"
"90051","90011","18","40","90003","48000","30000","10000","18"
"90051","90011","19","40","90003","48000","30000","10000","19"
"90051","90011","20","40","90003","48000","30000","10000","20"
"90055","90015","21","60","90004","72000","30000","10000","21"
"90055","90015","22","60","90004","72000","30000","10000","22"
"90055","90015","23","60","90004","72000","30000","10000","23"
"90055","90015","24","60","90004","72000","30000","10000","24"
"90055","90015","25","60","90004","72000","30000","10000","25"
"90055","90015","26","60","90004","72000","30000","10000","26"
"90055","90015","27","60","90004","72000","30000","10000","27"
"90055","90015","28","60","90004","72000","30000","10000","28"
"90055","90015","29","60","90004","72000","30000","10000","29"
"90055","90015","30","60","90004","72000","30000","10000","30"
"90059","90015","31","80","90005","96000","30000","10000","31"
"90059","90015","32","80","90005","96000","30000","10000","32"
"90059","90015","33","80","90005","96000","30000","10000","33"
"90059","90015","34","80","90005","96000","30000","10000","34"
"90059","90015","35","80","90005","96000","30000","10000","35"
"90059","90015","36","80","90005","96000","30000","10000","36"
"90059","90015","37","80","90005","96000","30000","10000","37"
"90059","90015","38","80","90005","96000","30000","10000","38"
"90059","90015","39","80","90005","96000","30000","10000","39"
"90059","90015","40","80","90005","96000","30000","10000","40"
"90063","90017","41","120","90005","144000","30000","10000","41"
"90063","90017","42","120","90005","144000","30000","10000","42"
"90063","90017","43","120","90005","144000","30000","10000","43"
"90063","90017","44","120","90005","144000","30000","10000","44"
"90063","90017","45","120","90005","144000","30000","10000","45"
"90063","90017","46","120","90005","144000","30000","10000","46"
"90063","90017","47","120","90005","144000","30000","10000","47"
"90063","90017","48","120","90005","144000","30000","10000","48"
"90063","90017","49","120","90005","144000","30000","10000","49"
"90063","90017","50","120","90005","144000","30000","10000","50"
"90067","90019","51","150","90006","180000","30000","10000","51"
"90067","90019","52","150","90006","180000","30000","10000","52"
"90067","90019","53","150","90006","180000","30000","10000","53"
"90067","90019","54","150","90006","180000","30000","10000","54"
"90067","90019","55","150","90006","180000","30000","10000","55"
"90067","90019","56","150","90006","180000","30000","10000","56"
"90067","90019","57","150","90006","180000","30000","10000","57"
"90067","90019","58","150","90006","180000","30000","10000","58"
"90067","90019","59","150","90006","180000","30000","10000","59"
"90067","90019","60","150","90006","180000","30000","10000","60"
"90071","90021","61","180","90007","216000","30000","10000","61"
"90071","90021","62","180","90007","216000","30000","10000","62"
"90071","90021","63","180","90007","216000","30000","10000","63"
"90071","90021","64","180","90007","216000","30000","10000","64"
"90071","90021","65","180","90007","216000","30000","10000","65"
"90071","90021","66","180","90007","216000","30000","10000","66"
"90071","90021","67","180","90007","216000","30000","10000","67"
"90071","90021","68","180","90007","216000","30000","10000","68"
"90071","90021","69","180","90007","216000","30000","10000","69"
"90071","90021","70","180","90007","216000","30000","10000","70"
