8613ca3e3c91891995a2814f8fdf30e96de6446de7b29a35d1e54d4efff9f63a,f99603c50f949e408c2a9e6647f8816228d7f1d88ce01e043323c8d7a34d34e9,a57037024f6f61b295c27cd4372f63985cf014dcc8f388a04f4a6f9988f91df4,c2912093e17e76555a6813edd248d80ada36e290bbaaf17833f23d708463405c,0938ad7442e2b42e10be8319cd8f6aab2c05ab6c89250aed8977fa4e07ebd5ee,552abcca59a306d7925c43c8d96893a2ce587f96551aa2a4343d011c3517f940,6e2fbf888f0f493ac941a20ec30c42002f4605c68e3f676cd2409cc1477ba8ae,9ea4e57c4482ba4e104b442bfee639a94feddea48af84e527772a76b8ed3940b
"bgm_M61","bgm_M61","101","1.ジュノー平野","1.ジュノー平野","2015/12/17 15:00:00","2030/12/17 14:59:59","11001"
"bgm_M61","bgm_M61_02","101","2.パラス高原","2.パラス高原","2015/12/17 15:00:00","2030/12/17 14:59:59","11002"
"bgm_M61","bgm_M61_03","101","3.ヘーベ丘陵","3.ヘーベ丘陵","2015/12/17 15:00:00","2030/12/17 14:59:59","11003"
"bgm_M61","bgm_M61_04","101","4.ベスタ渓谷","4.ベスタ渓谷","2015/12/17 15:00:00","2030/12/17 14:59:59","11004"
"bgm_M62","bgm_M62_01","101","5.ケレス森林","5.ケレス森林","2015/12/17 15:00:00","2030/12/17 14:59:59","11005"
"bgm_M62","bgm_M62_02","101","6.フローラ湖畔","6.フローラ湖畔","2015/12/17 15:00:00","2030/12/17 14:59:59","11006"
"bgm_M62","bgm_M62_03","101","7.メティス大瀑布","7.メティス大瀑布","2015/12/17 15:00:00","2030/12/17 14:59:59","11007"
"bgm_M42","bgm_M42_02","101","8.イリス樹海","8.イリス樹海","2015/12/17 15:00:00","2030/12/17 14:59:59","11008"
"bgm_M58","bgm_M58","101","9.フリガ雪原","9.フリガ雪原","2015/12/17 15:00:00","2030/12/17 14:59:59","11009"
"bgm_M101","bgm_M101","101","10.ロレッタ海岸","10.ロレッタ海岸","2015/12/17 15:00:00","2030/12/17 14:59:59","11010"
"bgm_M93","bgm_M93","101","11.ゲヌア砂漠","11.ゲヌア砂漠","2015/12/17 15:00:00","2030/12/17 14:59:59","11011"
"bgm_M94","bgm_M94","101","12.ボノニア砂丘","12.ボノニア砂丘","2015/12/17 15:00:00","2030/12/17 14:59:59","11012"
"bgm_M118","bgm_M118","101","13.ドロテア湿地","13.ドロテア湿地","2015/12/17 15:00:00","2030/12/17 14:59:59","11013"
"bgm_M95","bgm_M95","101","14.ウジェニア熱地","14.ウジェニア熱地","2015/12/17 15:00:00","2030/12/17 14:59:59","11014"
"bgm_M96","bgm_M96","101","15.タリア火山","15.タリア火山","2015/12/17 15:00:00","2030/12/17 14:59:59","11015"
"bgm_M140","bgm_M140","101","16.テミス銀嶺","16.テミス銀嶺","2015/12/17 15:00:00","2030/12/17 14:59:59","11016"
"bgm_M141","bgm_M141","101","17.フィデス氷原","17.フィデス氷原","2015/12/17 15:00:00","2030/12/17 14:59:59","11017"
"bgm_M179","bgm_M179","102","18.ファエトン原野・北部","18.ファエトン\n　　　　　原野・北部","2015/12/17 15:00:00","2030/12/17 14:59:59","11018"
"bgm_M179","bgm_M179","102","19.ファエトン原野・南部","19.ファエトン\n　　　　　原野・南部","2015/12/17 15:00:00","2030/12/17 14:59:59","11019"
"bgm_M180","bgm_M180","102","20.カスタリア樹林・西部","20.カスタリア\n　　　　　樹林・西部","2015/12/17 15:00:00","2030/12/17 14:59:59","11020"
"bgm_M180","bgm_M180","102","21.カスタリア樹林・東部","21.カスタリア\n　　　　　樹林・東部","2015/12/17 15:00:00","2030/12/17 14:59:59","11021"
"bgm_M232","bgm_M232","102","22.マティルド岩峯・南部","22.マティルド\n　　　　　岩峯・南部","2015/12/17 15:00:00","2030/12/17 14:59:59","11022"
"bgm_M232","bgm_M232","102","23.マティルド岩峯・北部","23.マティルド\n　　　　　岩峯・北部","2015/12/17 15:00:00","2030/12/17 14:59:59","11023"
"bgm_M233","bgm_M233","102","24.レディウス群峰・西麓","24.レディウス\n　　　　　群峰・西麓","2015/12/17 15:00:00","2030/12/17 14:59:59","11024"
"bgm_M233","bgm_M233","102","25.レディウス群峰・東麓","25.レディウス\n　　　　　群峰・東麓","2015/12/17 15:00:00","2030/12/17 14:59:59","11025"
"bgm_M260","bgm_M260","102","26.ペテロ大森林・西部","26.ペテロ大森林・西部","2015/12/17 15:00:00","2030/12/17 14:59:59","11026"
"bgm_M260","bgm_M260","102","27.ペテロ大森林・東部","27.ペテロ大森林・東部","2015/12/17 15:00:00","2030/12/17 14:59:59","11027"
"bgm_M278","bgm_M278_E28","102","28.ディズタル河食岸・北部","28.ディズタル\n　　　　　河食岸・北部","2015/12/17 15:00:00","2030/12/17 14:59:59","11028"
"bgm_M278","bgm_M278_E29","102","29.ディズタル河食岸・南部","29.ディズタル\n　　　　　河食岸・南部","2015/12/17 15:00:00","2030/12/17 14:59:59","11029"
"bgm_M293","bgm_M293","102","30.フテラ断崖・北部","30.フテラ断崖・北部","2015/12/17 15:00:00","2030/12/17 14:59:59","11030"
"bgm_M293","bgm_M293","102","31.フテラ断崖・南部","31.フテラ断崖・南部","2015/12/17 15:00:00","2030/12/17 14:59:59","11031"
"bgm_M339","bgm_M339","102","32.ファスキア森林・南部","32.ファスキア\n　　　　　　森林・南部","2015/12/17 15:00:00","2030/12/17 14:59:59","11032"
"bgm_M339","bgm_M339","102","33.ファスキア森林・東部","33.ファスキア\n　　　　　　森林・東部","2015/12/17 15:00:00","2030/12/17 14:59:59","11033"
"bgm_M374","bgm_M374","102","34.デクスティア岩崖・西壁","34.デクスティア\n　　　　　岩崖・西壁","2015/12/17 15:00:00","2030/12/17 14:59:59","11034"
"bgm_M374","bgm_M374","102","35.デクスティア岩崖・東壁","35.デクスティア\n　　　　　岩崖・東壁","2015/12/17 15:00:00","2030/12/17 14:59:59","11035"
"bgm_M392","bgm_M392","102","36.ヴェーナ湖畔道・南部","36.ヴェーナ\n　　　　　湖畔道・南部","2015/12/17 15:00:00","2030/12/17 14:59:59","11036"
"bgm_M392","bgm_M392","102","37.ヴェーナ湖畔道・北部","37.ヴェーナ\n　　　　　湖畔道・北部","2015/12/17 15:00:00","2030/12/17 14:59:59","11037"
"bgm_M411","bgm_M411","102","38.ラトゥス断崖・南部","38.ラトゥス\n　　　　　断崖・南部","2015/12/17 15:00:00","2030/12/17 14:59:59","11038"
"bgm_M411","bgm_M411","102","39.ラトゥス断崖・北部","39.ラトゥス\n　　　　　断崖・北部","2015/12/17 15:00:00","2030/12/17 14:59:59","11039"
"bgm_M411","bgm_M411_E40","102","40.スカプ山系・西麓","40.スカプ\n　　　　　山系・西麓","2015/12/17 15:00:00","2030/12/17 14:59:59","11040"
"bgm_M411","bgm_M411_E40","102","41.スカプ山系・東麓","41.スカプ\n　　　　　山系・東麓","2015/12/17 15:00:00","2030/12/17 14:59:59","11041"
"bgm_M411","bgm_M411_E40","102","42.ペクトス氷峰・西壁","42.ペクトス\n　　　　　氷峰・西壁","2015/12/17 15:00:00","2030/12/17 14:59:59","11042"
"bgm_M411","bgm_M411_E40","102","43.ペクトス氷峰・東壁","43.ペクトス\n　　　　　氷峰・東壁","2015/12/17 15:00:00","2030/12/17 14:59:59","11043"
"bgm_M411","bgm_M411_E40","102","44.スクァーマ氷脈・西壁","44.スクァーマ\n　　　　　氷脈・西壁","2015/12/17 15:00:00","2030/12/17 14:59:59","11044"
"bgm_M411","bgm_M411_E40","102","45.スクァーマ氷脈・東壁","45.スクァーマ\n　　　　　氷脈・東壁","2015/12/17 15:00:00","2030/12/17 14:59:59","11045"
"bgm_M483","bgm_M483_E46","102","46.ラテリ連山・崖上","46.ラテリ\n　　　　　連山・崖上","2015/12/17 15:00:00","2030/12/17 14:59:59","11046"
"bgm_M483","bgm_M483_E46","102","47.ラテリ連山・崖下","47.ラテリ\n　　　　　連山・崖下","2015/12/17 15:00:00","2030/12/17 14:59:59","11047"
"bgm_M483","bgm_M483_E46","102","48.エスタ荒野・南部","48.エスタ\n　　　　　荒野・南部","2015/12/17 15:00:00","2030/12/17 14:59:59","11048"
"bgm_M483","bgm_M483_E46","102","49.エスタ荒野・北部","49.エスタ\n　　　　　荒野・北部","2015/12/17 15:00:00","2030/12/17 14:59:59","11049"
"bgm_M483","bgm_M483_E50","102","50.ネロ岩礁・西部","50.ネロ\n　　　　　岩礁・西部","2015/12/17 15:00:00","2030/12/17 14:59:59","11050"
"bgm_M483","bgm_M483_E50","102","51.ネロ岩礁・東部","51.ネロ\n　　　　　岩礁・東部","2015/12/17 15:00:00","2030/12/17 14:59:59","11051"
"bgm_M483","bgm_M483_E50","102","52.ピニオン浜堤・西岸","52.ピニオン\n　　　　　浜堤・西岸","2015/12/17 15:00:00","2030/12/17 14:59:59","11052"
"bgm_M483","bgm_M483_E50","102","53.ピニオン浜堤・東岸","53.ピニオン\n　　　　　浜堤・東岸","2015/12/17 15:00:00","2030/12/17 14:59:59","11053"
