4864919b06cff8eedb830919004fce80bbd5ad85a4edafed815434eaa9edeef7,8556de58692da8f68e0aea8e63d7feeda626f0e2d6442b94578e80be5d6b0f3f,bc064b3491fca790c727101854a78db56d5adb334f20d419367d2a78c315a208,f2b13313eeb0cf6ad2aed2d7a954206ba4aa185b84e3e74cb0965598b3b9d372,218492506b709bb2bb8d783cdf9f70b234ac8c504fa1da56e1589a81ca1b38eb
"3030100","1","0","0","1"
"3050100","1","0","0","2"
"3040100","1","0","0","3"
"3020100","1","0","0","4"
"2040100","1","0","0","5"
"2040100","2","0","0","5"
"2020100","1","0","0","6"
"2020100","2","0","0","6"
"1030100","1","0","314","7"
"4030100","1","0","0","8"
"1050100","1","0","502","9"
"4020100","1","0","0","10"
"2030100","1","0","0","11"
"2030100","2","0","0","11"
"3040100","1","10301010","0","12"
"1020100","1","0","202","13"
"1040102","1","20201010","406","14"
"1010200","1","0","105","15"
"2010200","2","0","0","15"
"2010200","3","0","0","15"
"3050200","1","0","0","16"
"3040200","1","0","0","17"
"3020200","1","0","0","18"
"2040200","1","0","0","19"
"2040200","2","0","0","19"
"2020200","1","0","0","20"
"2020200","2","0","0","20"
"1030200","1","0","315","21"
"1020200","1","0","205","22"
"1050200","1","0","509","23"
"4020200","1","0","0","24"
"2030200","1","0","0","25"
"2030200","2","0","0","25"
"4030200","1","0","0","26"
"3020200","1","10101020","0","27"
"1040200","1","20201020","408","28"
"3040200","1","10101020","0","29"
"3010200","1","10101020","0","30"
"1010300","1","0","102","31"
"2010300","2","0","0","31"
"2010300","3","0","0","31"
"3050300","1","0","0","32"
"3040300","1","0","0","33"
"3020300","1","0","0","34"
"2040300","1","0","0","35"
"2040300","2","0","0","35"
"2020300","1","0","0","36"
"2020300","2","0","0","36"
"1030300","1","0","306","37"
"1020300","1","0","206","38"
"1050300","1","0","502","39"
"4020300","1","0","0","40"
"2030300","1","0","0","41"
"2030300","2","0","0","41"
"4030300","1","0","0","42"
"3020300","1","10101030","0","43"
"1040300","1","20201030","406","44"
"3010300","1","10101050","0","45"
"3040300","1","10101050","0","46"
"3030300","1","10101050","0","47"
"3010300","1","10101050","0","48"
"3020300","1","10101050","0","49"
"1010300","1","30102050","112","50"
