ec9c6c67fd360c2f285cfb586e4e6bb56b7648f0c0bf4af476c24a7a8ba1ce4b,b8dcb76dd485f16a3a14642ae1487a8b9b86cafbb22b392877fd23387b88c641,61732cbde3162489404f20cb5759c12860cad89e6a6b9f0f906e78bdb52e78ab,b378c2efc5c474e70d9fc3d0fd0605e8cf44fa598ee9a97203ec6f8fcccd97f9,67e8fe6f309d89f55e613b10a10fc8b234589fc3ab3b5a9efd73ef7cbfa7e5d2,e3e7eda0c062b1a7c5f2cac5d2c5ec2cdaa264595bfb4b76ae7925d289e0e728,2d983ce2bfeadd5df0df12baf1180896edc8aa8432f11f5b48196a96381df46a
"vo_minigame_1004_top_1_000","1","2","1000101","ふっふっふ、これでカヤぴぃとボスを見返してやるです！","vo_minigame_1004","10001"
"vo_minigame_1004_top_1_003","1","2","1000201","しりとりでの戦い、お兄さんにも手伝ってもらうです","vo_minigame_1004","10002"
"vo_minigame_1004_top_1_004","2","1","1000301","どんなケンカも売られた以上は買うのが喧嘩屋だ！やってやるぜ！","vo_minigame_1004","10003"
"vo_minigame_1004_top_1_005","2","1","1000401","石板でしりとりか……イノリのヤツおもしろいこと考えるな","vo_minigame_1004","10004"
"vo_minigame_1004_top_1_006","2","1","1000501","しりとりだろうがなんだろうが返り討ちにしてやるぜ","vo_minigame_1004","10005"
"vo_minigame_1004_top_1_007","3","2","1000601","ぐもも……（オデ、ハラヘッタ）","vo_minigame_1004","10006"
"vo_minigame_1004_top_1_008","3","2","1000701","ぐもももも（シリトリ タノシイ）","vo_minigame_1004","10007"
"vo_minigame_1004_top_1_009","3","2","1000801","ぐもももも！（イノリ イイヤツ）","vo_minigame_1004","10008"
"vo_minigame_1004_top_2_010","1","2","1000901","カヤぴぃ相手でも手加減しないです","vo_minigame_1004","10009"
"vo_minigame_1004_top_2_011","2","1","1000902","上等だ！やるからには本気で来いよな","vo_minigame_1004","10009"
"vo_minigame_1004_top_2_012","1","2","1001001","カヤぴぃ、謝るなら今のうちです","vo_minigame_1004","10010"
"vo_minigame_1004_top_2_013","2","1","1001002","イノリこそ泣きを入れるなら今のうちだぜ？","vo_minigame_1004","10010"
"vo_minigame_1004_top_2_014","1","2","1001101","カヤぴぃ、これからは知性の時代ですよ？","vo_minigame_1004","10011"
"vo_minigame_1004_top_2_015","2","1","1001102","待て！オレがバカみたいにいうな！！","vo_minigame_1004","10011"
"vo_minigame_1004_top_2_016","1","1","1001201","さあ、あたしたちの力を見せてやるです","vo_minigame_1004","10012"
"vo_minigame_1004_top_2_017","3","2","1001202","ぐも！（マカセロ！）","vo_minigame_1004","10012"
"vo_minigame_1004_top_2_018","1","1","1001301","よしよし、いいですようまくできたらチョコをあげるです！","vo_minigame_1004","10013"
"vo_minigame_1004_top_2_019","3","2","1001302","ぐも！（オデ チョコスキ）","vo_minigame_1004","10013"
"vo_minigame_1004_top_2_023","2","1","1001401","なあイノリ……もしかして当初の目的見失ってないよな？","vo_minigame_1004","10014"
"vo_minigame_1004_top_2_024","1","2","1001402","もちろん覚えてるですカヤぴぃを倒し我々の知能を証明するです","vo_minigame_1004","10014"
"vo_minigame_1004_top_2_025","2","1","1001501","いくらイノリ相手でも勝ちを譲る気はないからな！","vo_minigame_1004","10015"
"vo_minigame_1004_top_2_026","1","2","1001502","望むところです手加減はなしですよ","vo_minigame_1004","10015"
"vo_minigame_1004_top_2_027","2","1","1001601","へっ、なかなかやるじゃねえか","vo_minigame_1004","10016"
"vo_minigame_1004_top_2_028","1","2","1001602","カヤぴぃも思ったよりやるですね！","vo_minigame_1004","10016"
"vo_minigame_1004_top_2_029","2","1","1001701","お～い、ドラゴンもどき？","vo_minigame_1004","10017"
"vo_minigame_1004_top_2_030","3","2","1001702","ぐもっ！？（ヒッ！）","vo_minigame_1004","10017"
"vo_minigame_1004_top_2_031","2","1","1001801","いやあ、あんときは悪かったなはっはっは","vo_minigame_1004","10018"
"vo_minigame_1004_top_2_032","3","2","1001802","ぐももも……（かやピィ コワカッタ）","vo_minigame_1004","10018"
"vo_minigame_1004_top_2_033","2","1","1001901","お前ってさ……ほんとマヌケな顔してるよな","vo_minigame_1004","10019"
"vo_minigame_1004_top_2_034","3","2","1001902","ぐも……（オマエガ イウカ）","vo_minigame_1004","10019"
"vo_minigame_1004_top_2_044","3","2","1002001","ぐも……（ハラヘッタ チョコホシイ）","vo_minigame_1004","10020"
"vo_minigame_1004_top_2_045","2","1","1002002","なんだ？眠いのか？","vo_minigame_1004","10020"
"vo_minigame_1004_top_2_046","3","2","1002101","ぐもも（コイツ……キケン）","vo_minigame_1004","10021"
"vo_minigame_1004_top_2_047","2","1","1002102","うん？　なんだ？オレの舎弟にでもなりたいのか？","vo_minigame_1004","10021"
"vo_minigame_1004_top_2_048","3","2","1002201","ぐも…（かやピィノウキン）","vo_minigame_1004","10022"
"vo_minigame_1004_top_2_049","2","1","1002202","おい、今失礼なこと考えてるだろ？","vo_minigame_1004","10022"
"vo_minigame_1004_top_3_058","2","1","1002301","なあ、これいつまで続けるんだ？","vo_minigame_1004","10023"
"vo_minigame_1004_top_3_059","1","2","1002302","カヤぴぃが降参するまでです！","vo_minigame_1004","10023"
"vo_minigame_1004_top_3_060","3","2","1002303","ぐもも！（コウサンシロ！）","vo_minigame_1004","10023"
"vo_minigame_1004_top_3_065","3","2","1002401","ぐも！（イノリ チョコホシイ）","vo_minigame_1004","10024"
"vo_minigame_1004_top_3_066","1","1","1002402","しょうがないですね、食べ過ぎはダメですよ","vo_minigame_1004","10024"
"vo_minigame_1004_top_3_067","2","1","1002403","土産のチョコ、そうとう気に入ったみたいだな","vo_minigame_1004","10024"
"vo_minigame_1004_top_3_068","3","2","1002501","ぐも！（かやピィニハ マケナイ！）","vo_minigame_1004","10025"
"vo_minigame_1004_top_3_069","2","1","1002502","お？なんだ？腹でも減ってるのか？","vo_minigame_1004","10025"
"vo_minigame_1004_top_3_070","1","2","1002503","……全然話が通じてないです","vo_minigame_1004","10025"
