d1fa69029c6d7c758ff5975b10008438f42654d6303ff019eac6f013314d14aa,29e3ca3a69bdcb818f3cc4b1a06216be689ba3454ec927f78e96af8cd0193c25,2b6da7edc3a3d6a63891ef2a681c8435b85dff0942e2360a11b3dbb4ca709b58,ffb0124eb395d8c917e255ce5e5d7f52273890af03041464accf7d1f8ba57e3e,cb8ca9965d086e9fa0bff401312ed5f26037e49204922c59a46e220224df4ca0
"2","30","1","10101001","31058"
"2","100","1","10101002","20001"
"4","20","1","10101003","101011"
"4","20","2","10101003","101071"
"4","20","3","10101003","101101"
"4","20","4","10101003","101131"
"4","20","5","10101003","101161"
"4","20","6","10101003","101191"
"4","20","7","10101003","101251"
"4","20","8","10101003","101281"
"4","20","9","10101003","101371"
"4","20","10","10101003","101401"
"4","20","11","10101003","101431"
"4","20","12","10101003","101521"
"4","20","13","10101003","101551"
"4","20","14","10101003","101581"
"4","20","15","10101003","101611"
"2","1","1","10101004","24027"
"12","300000","1","10101005","94002"
"2","30","1","10101006","31059"
"2","300","2","10101006","25011"
"2","300","3","10101006","25012"
"2","300","4","10101006","25013"
"2","300","5","10101006","25014"
"2","300","6","10101006","25015"
"2","145","1","10101007","31010"
"5","1000","1","10101008","0"
"5","1000","1","10101009","0"
"2","30","1","10101010","31060"
"8","300","1","10101011","91002"
"4","20","1","10101012","102011"
"4","20","2","10101012","102071"
"4","20","3","10101012","102162"
"4","20","4","10101012","102191"
"4","20","5","10101012","102221"
"4","20","6","10101012","102251"
"4","20","7","10101012","102281"
"4","20","8","10101012","102311"
"4","20","9","10101012","102341"
"4","20","10","10101012","102371"
"4","20","11","10101012","102431"
"4","20","12","10101012","102461"
"4","20","13","10101012","102491"
"4","20","14","10101012","102493"
"4","20","15","10101012","102551"
"4","20","16","10101012","102581"
"4","20","17","10101012","102611"
"4","20","18","10101012","102612"
"2","1","1","10101013","21023"
"2","100","1","10101014","20002"
"2","1","1","10101015","24027"
"2","2500","1","10101016","25011"
"2","2500","2","10101016","25012"
"2","2500","3","10101016","25013"
"2","2500","4","10101016","25014"
"2","2500","5","10101016","25015"
"2","30","1","10101017","31002"
"2","100","2","10101017","50003"
"2","100","1","10101018","31058"
"2","1000","1","10101019","50003"
"2","100","1","10101020","20003"
"5","7500","1","10101021","0"
"2","100","2","10101021","20004"
"12","10000000","3","10101021","94002"
"2","100","1","10101022","31059"
"4","100","1","10101023","150002"
"4","100","2","10101023","150001"
"5","35000","1","10101024","0"
"2","2500","1","10101025","25011"
"2","2500","2","10101025","25012"
"2","2500","3","10101025","25013"
"2","2500","4","10101025","25014"
"2","2500","5","10101025","25015"
"2","145","1","10101026","31028"
"2","5000","1","10102001","25011"
"2","5000","2","10102001","25012"
"2","5000","3","10102001","25013"
"2","5000","4","10102001","25014"
"2","5000","5","10102001","25015"
"5","30000","1","10102002","0"
"4","6","1","10102003","140000"
"2","50","2","10102003","31058"
"2","50","3","10102003","31059"
"2","300","1","10102004","20004"
"12","10000000","2","10102004","94002"
"4","100","1","10102005","150003"
"4","100","2","10102005","150002"
"4","100","3","10102005","150001"
"2","100","1","10102006","31002"
"12","10000000","1","10102007","94002"
"2","120","1","10102008","31058"
"2","5000","2","10102008","25011"
"2","5000","3","10102008","25012"
"2","5000","4","10102008","25013"
"2","5000","5","10102008","25014"
"2","5000","6","10102008","25015"
"2","300","1","10102009","20004"
"12","10000000","2","10102009","94002"
"2","10000","1","10102010","25011"
"2","10000","2","10102010","25012"
"2","10000","3","10102010","25013"
"2","10000","4","10102010","25014"
"2","10000","5","10102010","25015"
"4","100","6","10102010","150003"
"4","100","7","10102010","150002"
"4","100","8","10102010","150001"
"5","40000","1","10102011","0"
"2","10000","1","10102012","25011"
"2","10000","2","10102012","25012"
"2","10000","3","10102012","25013"
"2","10000","4","10102012","25014"
"2","10000","5","10102012","25015"
"4","100","6","10102012","150003"
"4","100","7","10102012","150002"
"4","100","8","10102012","150001"
"2","145","1","10102013","31043"
"2","120","1","10103001","31002"
"12","30000000","1","10103002","94002"
"5","40000","1","10103003","0"
"2","500","2","10103003","20004"
"12","30000000","3","10103003","94002"
"2","120","1","10103004","31059"
"2","10000","2","10103004","25011"
"2","10000","3","10103004","25012"
"2","10000","4","10103004","25013"
"2","10000","5","10103004","25014"
"2","10000","6","10103004","25015"
"2","1","1","10103005","21024"
"4","100","1","10103006","150004"
"4","300","2","10103006","150003"
"4","300","3","10103006","150002"
"2","120","1","10103007","31010"
"4","3","1","10103008","140000"
"2","50","2","10103008","31010"
"5","40000","1","10103009","0"
"2","100","2","10103009","20005"
"12","30000000","3","10103009","94002"
"2","120","1","10103010","31028"
"4","3","1","10103011","140000"
"2","50","2","10103011","31028"
"2","145","1","10103012","31011"
"2","120","1","10104001","31043"
"4","3","1","10104002","140000"
"2","50","2","10104002","31043"
"5","15000","1","10104003","0"
"2","100","2","10104003","20005"
"2","200","3","10104003","22003"
"4","200","1","10104004","150004"
"4","200","2","10104004","150003"
"4","200","3","10104004","150002"
"2","150","1","10104005","31058"
"2","200","1","10104006","20005"
"2","150","1","10104007","31059"
"2","3000","1","10104008","50003"
"5","40000","1","10104009","0"
"2","100","1","10104010","25001"
"2","100","1","10104011","90005"
"2","200","1","10104012","32058"
"2","50","2","10104012","31058"
"2","100","1","10104013","20005"
"2","200","2","10104013","22003"
"12","30000000","3","10104013","94002"
"2","145","1","10104014","31049"
"2","120","1","10105001","31049"
"4","3","1","10105002","140000"
"2","50","2","10105002","31049"
"4","300","1","10105003","150004"
"4","300","2","10105003","150003"
"4","300","3","10105003","150002"
"5","20000","1","10105004","0"
"2","150","1","10105005","31002"
"2","100","1","10105006","31002"
"12","50000000","2","10105006","94002"
"2","100","1","10105007","25001"
"5","20000","1","10105008","0"
"2","515","2","10105008","31001"
"2","515","3","10105008","31003"
"2","200","1","10105009","32059"
"2","50","2","10105009","31059"
"5","20000","1","10105010","0"
"2","145","1","10105011","31036"
"2","500","1","10106001","20005"
"4","500","1","10106002","150004"
"4","500","2","10106002","150003"
"4","500","3","10106002","150002"
"5","20000","1","10106003","0"
"2","420","2","10106003","31060"
"4","3","3","10106003","140000"
"2","200","1","10106004","32060"
"2","50","2","10106004","31060"
"2","100","3","10106004","25001"
"4","1000","1","10106005","150004"
"2","500","2","10106005","20005"
"2","1","3","10106005","21025"
"2","120","1","10106006","31011"
"4","3","1","10106007","140000"
"2","50","2","10106007","31011"
"2","1","1","10106008","21905"
"5","20000","1","10106009","0"
"2","145","1","10106010","31029"
"2","1","1","10107001","41058"
"4","1000","1","10107002","150004"
"2","1000","2","10107002","20005"
"2","1","1","10107003","21905"
"5","20000","1","10107004","24018"
"2","1","1","10107005","21905"
"2","1","1","10107006","21905"
"2","1","1","10107007","24027"
"5","20000","1","10107008","0"
"2","1","1","10107009","27021"
"2","1","1","10201001","24027"
"2","1","1","10201002","21905"
"5","20000","1","10201003","0"
"2","200","1","10201004","31011"
"2","200","2","10201004","31028"
"2","200","3","10201004","31043"
"2","200","1","10201005","31049"
"2","200","2","10201005","31010"
"4","9","3","10201005","140000"
"5","20000","1","10201006","0"
"2","1","1","10201007","21905"
"2","145","1","10201008","31009"
"2","1","1","10202001","24027"
"2","1","1","10202002","21905"
"2","195","1","10202003","31064"
"4","3","2","10202003","140000"
"5","20000","1","10202004","0"
"2","500","2","10202004","20005"
"12","30000000","3","10202004","94002"
"2","370","1","10202005","31009"
"2","370","2","10202005","31036"
"2","370","3","10202005","31029"
"2","1","1","10202006","21905"
"5","20000","1","10202007","0"
"4","9","1","10202008","140000"
"2","145","1","10202009","31018"
"2","1","1","10203001","24027"
"5","20000","1","10203002","0"
"2","1","1","10203003","21905"
"2","370","1","10203004","31018"
"5","20000","1","10203005","0"
"2","1","1","10203006","21905"
"4","3","1","10203007","140000"
"5","20000","1","10203008","0"
"2","145","1","10203009","31037"
