b23d75db0c560c1a52c1864ddd79c5ec33ee0433bd0d3a6bde3e4d715f658fd3,9eef828e516d8c3fe12c09d5f793a18585c0c0bb3517d712a32866ea24d99b68,be9fcd2fe83ae4c3aa5d833012020b82136e4fd338540facd14a31703735f697,7a1b0fa5fd8bd65356d9513a84f94d06d027a8c4fa68fbcc145de77f904665a8,6bee2f3c7233dddd4ecf557da11c7d4b28b665a7f672e7920cc5252e75b54655,b22aebc4ca46f19c8bf8544d894f17d24418f870f0457c7b55b58195fc8def17
"150","150","10","0","1","1"
"250","400","10","0","2","1"
"400","800","10","0","3","1"
"150","150","20","0","1","2"
"250","400","20","0","2","2"
"400","800","20","0","3","2"
"500","1300","20","1","4","2"
"800","800","30","0","1","3"
"1000","1800","30","0","2","3"
"1200","3000","30","0","3","3"
"1400","4400","30","1","4","3"
"1600","6000","30","2","5","3"
"800","800","40","0","1","4"
"1000","1800","40","0","2","4"
"1200","3000","40","0","3","4"
"1400","4400","40","1","4","4"
"1600","6000","40","2","5","4"
