8df90e35b0ff197d284e738dc20cee4d0c3d609dc2b1cd9dac0c4a8ed2ff1b25,e51b08522e8565ae0fea8fe66b213da79f8ff7d89b7947951504fa6df83343b2,df1c23cbd273caf8b3ec643943a3ceeb577207c29c4865dfa2a8428abd256895,b9c395a1fc2b3a82fbaed549134ec2af16f4af8bb58d3d5eccb6904fcaadab2c,83751dc4f3e4f980cb74856fdef4a2c08c78d315afe00bba7de6c26d258f4735,f17d60e646a4909bce47316abdf3720a503863478ed8efc7d6902f941e0740fb,86a8796e6691d96b246f5bdbdf8373418fa60ada7f7bda24f574412cf253c4b8
"9999999","50","0","1","0","50","1"
"9999999","80","0","2","0","20","2"
"2000","30","0","3","0","70","3"
"5000","40","30","3","0","30","4"
"10000","40","40","3","20","0","5"
"15000","30","40","3","30","0","6"
"20000","25","40","3","35","0","7"
"25000","20","40","3","40","0","8"
"30000","15","40","3","45","0","9"
"35000","10","40","3","50","0","10"
"40000","10","35","3","55","0","11"
"45000","5","35","3","60","0","12"
"50000","5","30","3","65","0","13"
"55000","0","30","3","70","0","14"
"60000","0","25","3","75","0","15"
"65000","0","20","3","80","0","16"
"70000","0","15","3","85","0","17"
"75000","0","10","3","90","0","18"
"80000","0","5","3","95","0","19"
"9999999","0","0","3","100","0","20"
