32bbab0e58df49f1ccc255124f7159de316df526ff2f765672f4772a8bc61b9d,6ba95d95593b195746f3135e38f9d2e5ab0971cdf422ba011428dc575d118686,21b6903b70e5984049801e0e215b4012dff2bad68489a80ca499c7aa0734e14a,d6fb1eda551fc3285565016690ff31acdeef9d3d34acab57addaa1e79b8ebd46,9dc5f0385dd9c4b314f0c3b6d6068db615e26e66a5f70520ab980ec3dc2ee25b,8bbcca69014e2c44ce022dccb0adda99cdb543b76d85849f911337e52c808a8e,8031798c6a1001398cbfb711ffbba61a0bbdfdca32d9538f1fbe6bda2c944daa,06c9f222fbe78bcffe3d14886e4beee86858415c411b91daf469017dea336bb5,0e164d8097439d606510666e0232562ab1f71387fe95458af63140f72417d540,945f015ccd95b5ec066110930ffdb9995261edb301527c689a83d9c7b16b2a60,ee2a78e27b00df0f97b85c941cbaee802b672785bb51d1737579b4edde0c1c01
"イベント「ミサトサマーエール！　夢追う真夏のナイン」の\nスペシャルエピソードが解放されました。","1","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","5046601","2020/07/31 12:00:00","ストーリーへ","10046","イベントスペシャルエピソード","5046601","2020/08/31 11:59:59","1004601"
"イベント「ハッピー・チェンジ・エンジェルズ」の\nエンディングを読むと、特別なエピソードが解放されます。","2","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","5048","2020/09/14 21:00:00","ストーリーへ","10048","イベントスペシャルエピソード","0","2020/09/30 11:59:59","1004801"
"イベント「ハッピー・チェンジ・エンジェルズ」で\nラフィからお手紙が届きました！","3","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","5048","2020/09/14 21:00:00","ストーリーへ","10048","イベントスペシャルエピソード","0","2020/09/30 11:59:59","1004802"
"イベント「新春グルメプリンセス！　一投にかけた乙女たち」\nのスペシャルエピソードが解放されました。","4","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","5056","2021/01/14 21:00:00","ストーリーへ","10056","イベントスペシャルエピソード","5056601","2021/01/31 11:59:59","1005601"
"イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","3","エクストラストーリーから\n特別なストーリーをご覧いただけます。","5061","2021/02/28 12:00:00","ストーリーへ","10061","イベントスペシャルエピソード","5061601","2021/03/18 14:59:59","1006101"
"イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","5","","10061","2021/03/14 21:00:00","ストーリーへ","10061","イベントスペシャルエピソード","5061602","2021/03/18 14:59:59","1006102"
"イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","3","エクストラストーリーから\n特別なストーリーをご覧いただけます。","5061","2021/03/18 15:00:00","ストーリーへ","10061","イベントスペシャルエピソード","5061601","2021/03/31 11:59:59","1006103"
"ミニゲーム「大激戦！しりとりドラゴンズ」\nで新しいストーリーが解放されました","6","閲覧には「みんなのゲームテーブル」で\n「大激戦！しりとりドラゴンズ」を購入し\nEXTRAをプレイする必要があります","1004","2021/04/30 12:00:00","ストーリーへ","10066","ミニゲーム ストーリー解放","5027704","2021/05/31 11:59:59","1006601"
"「夏休みの絵日記」に\nイオ先生からの添削コメントが追加されました。","5","「夏休みの絵日記」表紙からの切り替えで\n添削コメントをご覧いただけます。","10070","2021/07/14 21:00:00","イベントへ","10070","イオからのコメント追加","5070601","2021/07/18 14:59:59","1007001"
"イベント「ミサトサマーエール！　夢追う真夏のナイン」の\nスペシャルエピソードが解放されました。","1","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","5046601","2021/08/18 12:00:00","ストーリーへ","10073","イベントスペシャルエピソード","5046601","2021/08/31 11:59:59","1007301"
