654215aea528f717b114f7f2d65ac4ad52a0451e3a27263a46d3f7d13c611c37,1acaa2f5969bbbfb7cc663ad72ac0d4a57a8f8e57fa70661f76c7281b0abcc5e,24a6a260603150a459ab7fbaa5f3d96a51e6a028b38e6d9cfa5aa14ccb5ba7dc
"6","32001","エレクトロ・ギガス"
"7","32001","壊乱の黒鎧騎士"
"8","32001","ライライ"
"9","32001","ニードルクリーパー"
"10","32001","白陽・黒月の守護像"
"6","32002","エレクトロ・ギガス"
"7","32002","壊乱の黒鎧騎士"
"8","32002","ライライ"
"9","32002","ニードルクリーパー"
"10","32002","白陽・黒月の守護像"
"6","32003","ハイ・ガルグ"
"7","32003","カース・オラム"
"8","32003","ワイルドグリフォン"
"9","32003","ジャッカルシーフ"
"10","32003","黒月・白陽の守護像"
"6","32004","マスター・ウキキー"
"7","32004","キリングオルカ"
"8","32004","ランドスロース"
"9","32004","マッドベア"
"10","32004","ラースドラゴン"
"6","32005","イワノヅチ"
"7","32005","水瑚麟"
"8","32005","ワイバーン"
"9","32005","マダムプリズム"
"10","32005","ラースドラゴン"
"6","32006","ロード・イビリィ"
"7","32006","紅極鳥"
"8","32006","ライライ"
"9","32006","オークチーフ"
"10","32006","ラースドラゴン"
"6","32007","エレクトロ・ギガス"
"7","32007","クリスタルゴーレム"
"8","32007","ランドスロース"
"9","32007","ソードコブラ"
"10","32007","アルティマガーディアン"
"6","32008","マスター・ウキキー"
"7","32008","カース・オラム"
"8","32008","ゴブリンライダー"
"9","32008","ライデン"
"10","32008","アルティマガーディアン"
"6","32009","イワノヅチ"
"7","32009","紅極鳥"
"8","32009","ワイバーン"
"9","32009","トライロッカー"
"10","32009","アルティマガーディアン"
"6","32010","マスター・ウキキー"
"7","32010","ゴブリンメイスター"
"8","32010","フロストハウンド"
"9","32010","スカイワルキューレ"
"10","32010","ゴブリンロード"
"6","32011","壊乱の黒鎧騎士"
"7","32011","オクタスキッド"
"8","32011","ゴブリングレート"
"9","32011","ティタノタートル"
"10","32011","ゴブリンロード"
"6","32012","ハイ・ガルグ"
"7","32012","カース・オラム"
"8","32012","ワイルドグリフォン"
"9","32012","オブシダンワイバーン"
"10","32012","ゴブリンロード"
"6","32013","エレクトロ・ギガス"
"7","32013","クリスタルゴーレム"
"8","32013","タフガイスト"
"9","32013","フラワーシュバリエ"
"10","32013","ゴブリンロード"
"6","32014","マスター・ウキキー"
"7","32014","紅極鳥"
"8","32014","ライライ"
"9","32014","ソードコブラ"
"10","32014","ゴブリンロード"
"6","32015","ハイ・ガルグ"
"7","32015","オクタスキッド"
"8","32015","フロストハウンド"
"9","32015","オブシダンワイバーン"
"10","32015","黒月・白陽の守護像"
"6","32016","エレクトロ・ギガス"
"7","32016","カース・オラム"
"8","32016","グレーターゴーレム"
"9","32016","レインスピリット"
"10","32016","黒月・白陽の守護像"
"6","32017","ロード・イビリィ"
"7","32017","クリスタルゴーレム"
"8","32017","ゴブリンライダー"
"9","32017","バジリスク・アロス"
"10","32017","黒月・白陽の守護像"
