d98e520d00708c44f4725c34d749cbaa01f035190d2630ce85de4a078e98b72e,9bab438197466d90e39e7aecb6830bc8088c09d4e53f67987e68472638af891d,62d1389e707070ea6b088e754fbcf00390ecc71f20d394af10a8df441242ac40,fa9426ae95bc93ea4ac67dceff1413371092a250cebcea4010c2347668935c70,811e508a9188797ce3716328e73106b7e0a8df600910ec976068399e728d6816,180b7bd82bf46133d7cc815bbaea2e9d50f7cb2b0bf296902ed3b777f378cf00,fb447469b6617976b3bf128b8bb9857a0adfaec1f45ed799ef6b0ba5b9983103,b4f43050c203430ea9a09ec64585983c2bcc68c735da67b8e8063a533b7ed34f,127db38526e5e2f55e8724c9a8d3dcfa19bef35fd409fcea3920386fec375139,9ce00f5aed7ba8b8299d4bb16aef9afbcdefae04dd05c1f508be5abad8dfba3a,6c9d77359f757b08e9fdba50a8bb3c382566a1e3290aa36f2e79154478bf7553
"01_uek_cmn_idol_def_N","105831","1.3","1","1","1","-496","1010001","0","100","-157"
"01_uek_cmn_idol_def_N","105931","1.3","1","1","1","-355","1010002","0","110","-178"
"01_uek_cmn_idol_def_N","112631","1.3","1","1","1","410","1010003","1","100","-124"
"01_uek_cmn_idol_def_N","112531","1.3","1","1","1","389","1010004","1","110","-258"
"01_uek_cmn_idol_def_N","106031","1.3","1","1","1","-415","1010005","0","120","-234"
"01_uek_cmn_idol_def_N","112431","1.3","1","1","1","262","1010006","1","120","-235"
"","01_uek_01_peko","0","1","3","105831","01_uek_cmn_pose03","1010007","0.2","0","1"
"","01_uek_01_kokkoro","0","1","3","105931","01_uek_talk_normal","1010008","0.2","0","1"
"","01_uek_01_kyaru","0","1","3","106031","01_uek_cmn_pose02","1010009","0.2","0","1"
"","01_uek_01_mio","0","1","3","112631","01_uek_cmn_pose03","1010010","0.2","0","1"
"","01_uek_01_rin","0","1","3","112531","01_uek_cmn_pose02","1010011","0.2","0","1"
"","01_uek_01_uduki","0","1","3","112431","01_uek_cmn_pose01","1010012","0.2","0","1"
"","","","1","93","3","","1010013","","",""
"","01_uek_cmn_pose03","0.2","1","3","112631","","1010014","","1","0"
"","01_uek_cmn_pose01","0.2","1","3","112431","","1010015","","1","0"
"","01_uek_cmn_pose03","0.2","1","3","105831","","1010016","","1","0"
"","01_uek_talk_normal","0.2","1","3","105931","01_uek_cmn_idol_def_N","1010017","0.1","0","1"
"","01_uek_cmn_pose02","0.2","1","3","106031","01_uek_cmn_idol_def_N","1010018","0.1","0","1"
"","01_uek_cmn_pose02","0.2","1","3","112531","01_uek_cmn_idol_def_N","1010019","0.1","0","1"
"","うわぁ～…！\n大きくなりすぎて\nやばいですね☆","","1","11","105831","","1010020","","10",""
"","","","1","91","0","","1010021","","",""
"","うえきちゃんが\nどこまで続くのか\n分からないほどです","","1","11","105931","","1010022","","10",""
"","","","1","91","0","","1010023","","",""
"","こういうのってさ\n上がどうなってるか\n見てみたいよね！","","1","11","112631","","1010024","","10",""
"","","","1","91","0","","1010025","","",""
"","確かにね…それに\nこうなった理由も\n分かるかも","","1","11","112531","","1010026","","10",""
"","","","1","91","0","","1010027","","",""
