5d2750c64c9d11e91c0a462e5a3c03cb08e27fa87136bc2b0c50daf68434cc65,f5a032539e67d0f0b8ec1182c6e5a2dbee7a8e604e666301b8653a68fd519b1b,c7fa73cc3bfaa5eb07b8f45fc2fb6f00cf77d67197493c6bd46fd20c334c342a,a01917ce25b502ac92f17c79088830bec10f7c15dee6c64d2354b03aba0b8b7b,1061438447d90b7251e7910828c651744ef88f31493bfeaa3112bc5ef3e9cd62,df009468a13071e5f8d928133685f2382d3756f0c891e1a2bd7024e00a5dfef8,d6983002178836c7c7488718fcec64015fa36ecc9a2fba54dc51c292f7fc71f1,02e10f31672c4692cbad9dad63c75550bcbf6989e0d201421388f88089fa8d7a,2cb9d7ec48ce6fc64148a5a6ccc5614aae5383bb1dd93c05d63aea807430835b,46c32a9ad21ddacfc1e19dde7f4675e47bd248596ce77e2a787b02ac737c9a97
"1","1","1","20","0","100","1","パーツを20個獲得しよう","10000","3"
"2","1","2","25","0","100","1","パーツを25個獲得しよう","10001","3"
"3","1","2","30","0","100","1","パーツを30個獲得しよう","10002","3"
"4","1","3","35","0","100","1","パーツを35個獲得しよう","10003","3"
"5","1","3","40","0","100","1","パーツを40個獲得しよう","10004","3"
"6","1","4","45","0","100","1","パーツを45個獲得しよう","10005","3"
"7","1","4","50","0","100","1","パーツを50個獲得しよう","10006","3"
"101","2","3","1500","0","101","1","総戦力を1500以上にしよう","20000","2"
"102","2","3","2000","0","101","1","総戦力を2000以上にしよう","20001","2"
"103","2","3","2500","0","101","1","総戦力を2500以上にしよう","20002","2"
"104","2","3","3000","0","101","1","総戦力を3000以上にしよう","20003","2"
"105","2","3","3500","0","101","1","総戦力を3500以上にしよう","20004","2"
"106","2","4","4000","0","101","1","総戦力を4000以上にしよう","20005","2"
"107","2","4","4500","0","101","1","総戦力を4500以上にしよう","20006","2"
"108","2","4","5000","0","101","1","総戦力を5000以上にしよう","20007","2"
"109","2","4","6000","0","101","1","総戦力を6000以上にしよう","20008","2"
"110","2","4","7000","0","101","1","総戦力を7000以上にしよう","20009","2"
"111","2","5","8000","0","101","1","総戦力を8000以上にしよう","20010","2"
"112","2","5","9000","0","101","1","総戦力を9000以上にしよう","20011","2"
"600","2","5","10000","0","101","1","総戦力を10000以上にしよう","20012","2"
"201","3","2","100","0","200","2","バトルポイントを累計100pt獲得しよう","30000","4"
"202","3","2","200","0","200","2","バトルポイントを累計200pt獲得しよう","30001","4"
"203","3","2","300","0","200","2","バトルポイントを累計300pt獲得しよう","30002","4"
"204","3","2","400","0","200","2","バトルポイントを累計400pt獲得しよう","30003","4"
"205","3","2","500","0","200","2","バトルポイントを累計500pt獲得しよう","30004","4"
"206","3","3","600","0","200","2","バトルポイントを累計600pt獲得しよう","30005","4"
"207","3","3","700","0","200","2","バトルポイントを累計700pt獲得しよう","30006","4"
"208","3","3","800","0","200","2","バトルポイントを累計800pt獲得しよう","30007","4"
"209","3","3","900","0","200","2","バトルポイントを累計900pt獲得しよう","30008","4"
"210","3","3","1000","0","200","2","バトルポイントを累計1000pt獲得しよう","30009","4"
"401","5","7","5","0","400","4","フブキから5個パーツを獲得しよう","50000","1"
"402","5","7","10","0","400","4","フブキから10個パーツを獲得しよう","50001","1"
"403","5","7","15","0","400","4","フブキから15個パーツを獲得しよう","50002","1"
"404","5","7","20","0","400","4","フブキから20個パーツを獲得しよう","50003","1"
"405","5","7","25","0","400","4","フブキから25個パーツを獲得しよう","50004","1"
"406","5","7","30","0","400","4","フブキから30個パーツを獲得しよう","50005","1"
"407","5","7","35","0","400","4","フブキから35個パーツを獲得しよう","50006","1"
"408","5","7","40","0","400","4","フブキから40個パーツを獲得しよう","50007","1"
"409","5","7","45","0","400","4","フブキから45個パーツを獲得しよう","50008","1"
"700","5","6","50","0","400","4","フブキから50個パーツを獲得しよう","50009","1"
"999","6","7","800","30009","209","2","バトルポイントを800pt獲得しよう（何度でも）","60000","4"
"799","7","6","14","0","300","3","ステージ14をクリアしよう","70000","3"
"800","7","8","50","0","301","3","ステージ50をクリアしよう","70001","3"
