a0d45f907772fc75ab916f2e33d014666c72bbda4848522efdf80f2ff3050cc1,d8f339dcb12aa0d8f276cb20050263b0b6a69b748bf4ab073c6218e64678e582,f1ec85060eba902ffd65d5b3044116716ba6652deb9b88d1035497e99e86c8e4,bc09ac39b1b96391cefc063c2e67dc2a11195966f8a3ad4b51bc098b6fbcf789,3543d2653b9d7476aa3e36c2b6fa3c6aa20adacaf13c6517f4e5681e130d933c,71f79fcfb8cc7f3b6adaabb06fa366be0d0232be34082095a4ed77376f31ec66,c65ecfc908f3d88007779680039b3e39ee8cf89bd003a40335943be5e8225c07,b6d29c707b606aec193890686fe7a0a8d61b8eb257cc54a7537b43ee17e82f7e,3c11ba9cfbb19dcb8fb292579c0c3c0113c0e5f9ba2bfc6e451ce05810b14525,a735216e83ff852d99f00d111ad79b804b11c6bc0396696d1f22336ba696e988,02d11001bde16ad79f6c43e6128d35e020fa7c4a902a0b28e11f8d154a03b2f4,e393b56d0e6f9fa2982e846f10caad0c9ab03de40cb4871a92fadc8069f96502,1449c90ca59521d013e4a4f6e895b0bb96bc92cce9c1bf74c26e0426e32e5542,1be5d8e934cdd3a00ddfe4f95225e858a4e87e2918413a62567542833fc6e931,3d5bdbf98de603e7f0a2eb14d6678071ec377400780f52fdab6c23d608712589
"101691001","110690103","0","0","0","0","0","0","0","0","0","0","0","1","101691011"
"101701001","110700103","0","0","0","0","0","0","0","0","0","0","0","1","101701011"
"101711001","110710103","0","0","0","0","0","0","0","0","0","0","0","1","101711011"
"101721001","110720103","0","0","0","0","0","0","0","0","0","0","0","1","101721011"
"101731001","110730103","0","0","0","0","0","0","0","0","0","0","0","1","101731011"
"101741001","110740103","0","0","0","0","0","0","0","0","0","0","0","1","101741011"
"101751001","110750103","0","0","0","0","0","0","0","0","0","0","0","1","101751011"
"101761001","110760103","0","0","0","0","0","0","0","0","0","0","0","1","101761011"
"101771001","110770103","0","0","0","0","0","0","0","0","0","0","0","1","101771011"
"102311001","610132007","0","61013201","0","0","0","0","0","0","0","16","0","1","610132504"
"102311002","610132008","0","61013201","0","0","0","0","0","0","0","16","0","1","610132504"
"102311003","610132009","0","61013201","0","0","0","0","0","0","0","16","0","1","610132504"
"102312001","610134007","0","61013401","0","0","0","0","0","0","0","16","0","1","610134504"
"102312002","610134008","0","61013401","0","0","0","0","0","0","0","16","0","1","610134504"
"102312003","610134009","0","61013401","0","0","0","0","0","0","0","16","0","1","610134504"
"102401001","610136004","0","61013601","0","0","0","0","0","0","0","16","0","1","610136404"
"102401002","610136005","0","61013601","0","0","0","0","0","0","0","16","0","1","610136405"
"102401003","610136006","0","61013601","0","0","0","0","0","0","0","16","0","1","610136406"
"102401004","610136007","0","61013601","0","0","0","0","0","0","0","16","0","1","610136504"
"102401005","610136008","0","61013601","0","0","0","0","0","0","0","16","0","1","610136505"
"102401006","610136009","0","61013601","0","0","0","0","0","0","0","16","0","1","610136506"
"102401007","610137007","0","61013601","0","0","0","0","0","0","0","16","0","1","610137504"
"102401008","610137008","0","61013601","0","0","0","0","0","0","0","16","0","1","610137504"
"102401009","610137009","0","61013601","0","0","0","0","0","0","0","16","0","1","610137504"
"102402001","610140007","0","61014001","0","0","0","0","0","0","0","16","0","1","610140504"
"102402002","610140008","0","61014001","0","0","0","0","0","0","0","16","0","1","610140504"
"102402003","610140009","0","61014001","0","0","0","0","0","0","0","16","0","1","610140504"
"102403001","610142004","0","61014201","0","0","0","0","0","0","0","16","0","1","610142404"
"102403002","610142005","0","61014201","0","0","0","0","0","0","0","16","0","1","610142405"
"102403003","610142006","0","61014201","0","0","0","0","0","0","0","16","0","1","610142406"
"102403004","610142007","0","61014201","0","0","0","0","0","0","0","16","0","1","610142504"
"102403005","610142008","0","61014201","0","0","0","0","0","0","0","16","0","1","610142505"
"102403006","610142009","0","61014201","0","0","0","0","0","0","0","16","0","1","610142506"
"102404001","610144004","0","61014401","0","0","0","0","0","0","0","16","0","1","610144404"
"102404002","610144005","0","61014401","0","0","0","0","0","0","0","16","0","1","610144405"
"102404003","610144006","0","61014401","0","0","0","0","0","0","0","16","0","1","610144406"
"102404004","610144007","0","61014401","0","0","0","0","0","0","0","16","0","1","610144504"
"102404005","610144008","0","61014401","0","0","0","0","0","0","0","16","0","1","610144505"
"102404006","610144009","0","61014401","0","0","0","0","0","0","0","16","0","1","610144506"
"102405001","610146004","0","61014601","0","0","0","0","0","0","0","16","0","1","610146404"
"102405002","610146005","0","61014601","0","0","0","0","0","0","0","16","0","1","610146405"
"102405003","610146006","0","61014601","0","0","0","0","0","0","0","16","0","1","610146406"
"102405004","610146007","0","61014601","0","0","0","0","0","0","0","16","0","1","610146504"
"102405005","610146008","0","61014601","0","0","0","0","0","0","0","16","0","1","610146505"
