718825dda5773a1bd2374c19a3a4645e637a3a028abc4cd0e1dc03580c83a635,6bc2a2f8b1e6b190b931d85536f0a3f3512c4fb00a4577250883d7ab053655a7,abc1ed31cc6b28f3d3c4d67ac4df43ea672954aec6dd9021b9b7f28a625300f7,d2fc7f2874a20672a01764c45cf2ffa66cf7060aa8daee6d5680c958981db13d,5f1a00e6919e076422447bbeaa7194dfad07584d0cbea1dabd7665cf97afef57
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と水属性以外の属性ボーナスを無効化する。","火属性ボーナスアップ","10101","1"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と水属性以外の属性ボーナスを無効化する。","水属性ボーナスアップ","10102","1"
"damage_limit","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","10103","1"
"def_lower_limit","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","10104","1"
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と水属性以外の属性ボーナスを無効化する。","火属性ボーナスアップ","10201","2"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と水属性以外の属性ボーナスを無効化する。","水属性ボーナスアップ","10202","2"
"damage_limit","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","10203","2"
"def_lower_limit","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","10204","2"
"damage_cut","すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","10205","2"
"damage_up","すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","10206","2"
"def_up","すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","10207","2"
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と水属性以外の属性ボーナスを無効化する。","火属性ボーナスアップ","10301","3"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と水属性以外の属性ボーナスを無効化する。","水属性ボーナスアップ","10302","3"
"damage_limit","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","10303","3"
"def_lower_limit","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","10304","3"
"damage_cut","すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","10305","3"
"damage_up","すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","10306","3"
"def_up","すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","10307","3"
"life_steal_down","すべてのキャラのＨＰ吸収をダウンさせる。","ＨＰ吸収ダウン","10308","3"
"tp_down_cut","すべてのモンスターがＴＰダウンカット状態になる。","ＴＰダウンカット","10309","3"
"hp_recovery_down","すべてのキャラのＨＰ回復量をダウンさせる。","ＨＰ回復量ダウン","10310","3"
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と水属性以外の属性ボーナスを無効化する。","火属性ボーナスアップ","10401","4"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と水属性以外の属性ボーナスを無効化する。","水属性ボーナスアップ","10402","4"
"damage_limit","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","10403","4"
"def_lower_limit","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","10404","4"
"damage_cut","すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","10405","4"
"damage_up","すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","10406","4"
"def_up","すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","10407","4"
"critical_down","すべてのキャラの物理/魔法クリティカルをダウンさせる。","クリティカルダウン","10408","4"
"life_steal_down","すべてのキャラのＨＰ吸収をダウンさせる。","ＨＰ吸収ダウン","10409","4"
"tp_down_cut","すべてのモンスターがＴＰダウンカット状態になる。","ＴＰダウンカット","10410","4"
"hp_recovery_down","すべてのキャラのＨＰ回復量をダウンさせる。","ＨＰ回復量ダウン","10411","4"
