390d86820965cec43be3a5465c16879ce6da897f5f5cb88b5a805cc6fa6553b4,a378f0567d9941b62cc4ad9abc8dd0fda813d280840508a31cc207cb3e3b2f63,6bbe0747a3d6cf111d6b51dfedc6edae8c6012dfe7d446c4411dadc52b1549e9,1b8581bba15c3cf52811f6f4dfa48a7daffca2c75e64922fe4a2cfcdf7adfff3,118b3c9f87815082253c6f2a06f155b7070b650241af9b8e751cc2b6cc8b43a9,5940ea9ee6a4c81543b8575d59bc45b6ff17557d7cc08071de08e6d94495f394,e62a2b387ee42a8dd113669fd573e5101d6996008130c89c8049ca4e9f6f0c18,d5d8c182e65bcba62fe6210a1bd859ad2372625c2de32e7dcb6d6b0990a2c0f1,21cd853247660ee793655e5dc01fe7d4da72f0d60e54d0b638d0e19a758d69e1,77913e3f3ccd376d91b21babd9ec675d9c51ca10f328feede6689df0d876ae0b,cf2a7180d1468b7986f025513afc162b5bb765b859db680e1355de5d6a055ea5
"1.3","-496","-157","0","1","01_uek_cmn_idol_def_N","1","105831","100","1","1010001"
"1.3","-355","-178","0","1","01_uek_cmn_idol_def_N","1","105931","110","1","1010002"
"1.3","410","-124","1","1","01_uek_cmn_idol_def_N","1","112631","100","1","1010003"
"1.3","389","-258","1","1","01_uek_cmn_idol_def_N","1","112531","110","1","1010004"
"1.3","-415","-234","0","1","01_uek_cmn_idol_def_N","1","106031","120","1","1010005"
"1.3","262","-235","1","1","01_uek_cmn_idol_def_N","1","112431","120","1","1010006"
"0","01_uek_cmn_pose03","1","0.2","3","","105831","01_uek_01_peko","0","1","1010007"
"0","01_uek_talk_normal","1","0.2","3","","105931","01_uek_01_kokkoro","0","1","1010008"
"0","01_uek_cmn_pose02","1","0.2","3","","106031","01_uek_01_kyaru","0","1","1010009"
"0","01_uek_cmn_pose03","1","0.2","3","","112631","01_uek_01_mio","0","1","1010010"
"0","01_uek_cmn_pose02","1","0.2","3","","112531","01_uek_01_rin","0","1","1010011"
"0","01_uek_cmn_pose01","1","0.2","3","","112431","01_uek_01_uduki","0","1","1010012"
"","","","","93","","3","","","1","1010013"
"0.2","","0","","3","","112631","01_uek_cmn_pose03","1","1","1010014"
"0.2","","0","","3","","112431","01_uek_cmn_pose01","1","1","1010015"
"0.2","","0","","3","","105831","01_uek_cmn_pose03","1","1","1010016"
"0.2","01_uek_cmn_idol_def_N","1","0.1","3","","105931","01_uek_talk_normal","0","1","1010017"
"0.2","01_uek_cmn_idol_def_N","1","0.1","3","","106031","01_uek_cmn_pose02","0","1","1010018"
"0.2","01_uek_cmn_idol_def_N","1","0.1","3","","112531","01_uek_cmn_pose02","0","1","1010019"
"","","","","11","","105831","うわぁ～…！\n大きくなりすぎて\nやばいですね☆","10","1","1010020"
"","","","","91","","0","","","1","1010021"
"","","","","11","","105931","うえきちゃんが\nどこまで続くのか\n分からないほどです","10","1","1010022"
"","","","","91","","0","","","1","1010023"
"","","","","11","","112631","こういうのってさ\n上がどうなってるか\n見てみたいよね！","10","1","1010024"
"","","","","91","","0","","","1","1010025"
"","","","","11","","112531","確かにね…それに\nこうなった理由も\n分かるかも","10","1","1010026"
"","","","","91","","0","","","1","1010027"
"","","","","11","","106031","ま、興味はあるし\n付き合ってあげるわ","10","1","1010028"
"","","","","91","","0","","","1","1010029"
"","","","","11","","112431","はい♪みなさんで\n頂上を目指して\n頑張りましょう！","10","1","1010030"
