78a5c4a6e15b19e1a70c395b5a03065286c152737c6ab69196aeaea7b3848685,c09d220898a9a3f60cd4406bcb87ac137aa2a5ae904a99f5819e4685ffaecace,d03ae312d7fbe3e6e1019195f737bc55028fd8c070153aefe047f51c76808123
"0","1","0"
"40","2","5"
"60","3","14"
"80","4","24"
"100","5","39"
"120","6","59"
"140","7","84"
"160","8","114"
"180","9","149"
"200","10","188"
"220","11","233"
"240","12","283"
"260","13","338"
"280","14","397"
"300","15","462"
"320","16","532"
"340","17","606"
"360","18","686"
"380","19","770"
"400","20","860"
"420","21","954"
"440","22","1054"
"460","23","1158"
"480","24","1267"
"500","25","1382"
"520","26","1501"
"540","27","1626"
"560","28","1755"
"580","29","1889"
"600","30","2028"
"620","31","2172"
"640","32","2322"
"660","33","2476"
"680","34","2635"
"700","35","2799"
"720","36","2968"
"740","37","3142"
"760","38","3321"
"780","39","3505"
"800","40","3694"
"820","41","3888"
"840","42","4087"
"860","43","4291"
"880","44","4500"
"900","45","4713"
"920","46","4932"
"940","47","5156"
"960","48","5385"
"980","49","5618"
"1000","50","5857"
"1020","51","6101"
"1040","52","6349"
"1060","53","6603"
"1080","54","6862"
"1100","55","7125"
"1120","56","7394"
"1140","57","7667"
"1160","58","7946"
"1180","59","8229"
"1200","60","8517"
"1220","61","8811"
"1240","62","9109"
"1260","63","9412"
"1280","64","9721"
"1300","65","10034"
"1320","66","10352"
"1340","67","10675"
"1360","68","11004"
"1380","69","11337"
"1400","70","11675"
"1420","71","12018"
"1440","72","12366"
"1460","73","12719"
"1480","74","13077"
"1500","75","13440"
"1520","76","13808"
"1540","77","14181"
"1560","78","14559"
"1580","79","14942"
"1600","80","15330"
"1620","81","15723"
"1640","82","16120"
"1660","83","16523"
"1680","84","16931"
"1700","85","17344"
"1720","86","17761"
"1740","87","18184"
"1760","88","18612"
"1780","89","19044"
"1800","90","19482"
"1820","91","19924"
"1840","92","20372"
"1860","93","20824"
"1880","94","21282"
"1900","95","21744"
"1920","96","22212"
"1940","97","22684"
"1960","98","23161"
"1980","99","23644"
"2000","100","24131"
"2020","101","24623"
"2040","102","25121"
"2060","103","25623"
"2080","104","26130"
"2100","105","26642"
"2120","106","27159"
"2140","107","27681"
"2160","108","28208"
"2180","109","28741"
"2200","110","29278"
"2220","111","29820"
"2240","112","30367"
"2260","113","30919"
"2280","114","31475"
"2300","115","32037"
"2320","116","32604"
"2340","117","33176"
"2360","118","33753"
"2380","119","34335"
"2400","120","34921"
"2420","121","35513"
"2440","122","36110"
"2460","123","36711"
"2480","124","37318"
"2500","125","37930"
"2520","126","38546"
"2540","127","39168"
"2560","128","39794"
"2580","129","40426"
"2600","130","41062"
"2620","131","41704"
"2640","132","42350"
"2660","133","43002"
"2680","134","43658"
"2700","135","44319"
"2720","136","44986"
"2740","137","45657"
"2760","138","46333"
"2780","139","47014"
"2800","140","47701"
"2820","141","48392"
"2840","142","49088"
"2860","143","49789"
"2880","144","50495"
"2900","145","51206"
"2920","146","51922"
"2940","147","52643"
"2960","148","53369"
"2980","149","54100"
"3000","150","54836"
"3020","151","55577"
"3040","152","56323"
"3060","153","57074"
"3080","154","57830"
"3100","155","58590"
"3120","156","59356"
"3140","157","60127"
"3160","158","60903"
"3180","159","61683"
"3200","160","62469"
"3220","161","63260"
"3240","162","64055"
"3260","163","64856"
"3280","164","65661"
"3300","165","66472"
"3320","166","67287"
"3340","167","68108"
"3360","168","68933"
"3380","169","69764"
"3400","170","70599"
"3420","171","71439"
"3440","172","72285"
"3460","173","73135"
"3480","174","73990"
"3500","175","74851"
"3520","176","75716"
"3540","177","76586"
"3560","178","77461"
"3580","179","78341"
"3600","180","79226"
"3620","181","80116"
"3640","182","81011"
"3660","183","81911"
"3680","184","82816"
"3700","185","83726"
"3720","186","84641"
"3740","187","85561"
"3760","188","86486"
"3780","189","87416"
"3800","190","88351"
"3820","191","89291"
"3840","192","90235"
"3860","193","91185"
"3880","194","92140"
"3900","195","93100"
"3920","196","94064"
"3940","197","95034"
"3960","198","96009"
"3980","199","96988"
