a3bc1d749edba795b9c4b9bb448ba3b82ae38332ef67055c56b9f36ebb66e0e6,3cb8051347664e2e6b85d9189ad6aa7fb961bad07f074de7e4ad1b96b54266aa,894922ea8c3ae765973d8586b633c42f58e4f54392ce39050a697633924da28c,9f16294ecb353404e2623d47eb7a08f51d2d439b713d28c29c5b62a9dac075a2,7ce8d491bbe0d3421341ad59fe9e8c6d7f8394085e6b99940955854a6d577cf1,56242fd2caa71eea7251750a402736ac7ab6b43be61f6ca74f961274e9385675,66b94e722e02722e22a239e6580217792d59ce224c528701b16455d830a8c9fd,62d75e89c53e1d172bea456d72fec2ff088dbfd4f33894a9ec1d07e7b6560b7c,37ad482a5f7286ac2528c3eac193f2ce97e86a2f24dca5388099a7d3e46dd277,e559829c434d86b3f0222c3ceb1d92043ee10716c285651b9668b75097081ef9
"1001","1","ライラエル","0","","最大50％割引確定のショップを開く（1品100％割引あり）","126501","10001","","1"
"1002","2","モニカ","0","","最大1000マイルを入手する","105301","10001","","2"
"1003","1","クローチェ","0","","料理を{0}つ入手する","126401","1","","3"
"1004","3","マツリ","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","100501","1","ダイスの目を{0}回振りなおせる\n（あと{1}回）","4"
"1005","2","ナナカ","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","101301","2","ダイスの目を{0}回振りなおせる\n（あと{1}回）","4"
"1006","2","マコト","0","","出目が{0}のダイスを同時に振って\nどちらか選択できる","104301","4","出目が{0}のダイスを同時に振って\nどちらか選択できる","5"
"1007","3","エリコ","0","","出目が{0}のダイスを同時に振って\nどちらか選択できる","102701","3","出目が{0}のダイスを同時に振って\nどちらか選択できる","5"
"1008","1","アンナ","0","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","100901","7","出目の合計が{0}以上になるまで\nダイスを追加で振れる","6"
"1009","1","ミツキ","0","","最大50％割引確定のショップを開く（1品100％割引あり）","105101","10001","","1"
"1010","2","イオ","0","","最大1000マイルを入手する","101801","10001","","2"
"1011","2","ネフィ＝ネラ","0","","ダイスの表と裏\nどちらを適用するか選択できる","129701","0","ダイスの表と裏\nどちらを適用するか選択できる","8"
"1012","3","スズナ","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","101601","1","ダイスの目を{0}回振りなおせる\n（あと{1}回）","4"
"1013","2","ルカ","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","105601","2","ダイスの目を{0}回振りなおせる\n（あと{1}回）","4"
"1014","3","ミミ","0","","出目が{0}のダイスを同時に振って\nどちらか選択できる","102001","3","出目が{0}のダイスを同時に振って\nどちらか選択できる","5"
"1015","1","アネモネ","0","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","129601","7","出目の合計が{0}以上になるまで\nダイスを追加で振れる","6"
"1016","2","ミソギ","1","","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","100401","1","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる","10"
"1017","3","リンド","1","","出たダイスの目が{0}だった場合、\n+{1}進める","127701","2","出たダイスの目が{0}だった場合、\n+{1}進める","13"
"1018","2","ヴルム","1","","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","127801","1","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","10"
"1019","1","ミフユ","0","","最大50％割引確定のショップを開く（1品100％割引あり）","104801","10001","","1"
"1020","2","ジュン","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","104701","2","ダイスの目を{0}回振りなおせる\n（あと{1}回）","4"
"1021","1","ミサキ","0","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","105001","7","出目の合計が{0}以上になるまで\nダイスを追加で振れる","6"
"1022","1","アキノ","0","","最大2000マイルを入手する","103201","10002","","2"
"1023","1","クルル","0","","福引券を{0}枚入手する","130901","1","","12"
"1024","1","スズメ","0","","料理を{0}つ入手する","102501","1","","3"
