4079a71a5171ef5eb5c0aa774daed024df2c91d069b2278e6a7a733e54656ee2,919077e7bf675d0065b6a0f9354d023e31bcca8648c066957255967122d90964,9a1d900f9ae1e8474fef93c56e53855c120f47e0180f21651d1d8faaaf34a401,7c73607ed7631be1e02c879a41434ce779c5210f7d846ff2a4c5acd280532968
"1","8","スロウ","1"
"2","8","ヘイスト","2"
"3","8","麻痺","3"
"4","8","凍結","4"
"5","8","束縛","5"
"6","8","睡眠","6"
"7","8","スタン","7"
"8","8","石化","8"
"9","8","拘留","9"
"0","9","拘留(ダメージ)","10"
"1","9","毒","11"
"2","9","火傷","12"
"3","9","呪い","13"
"0","11","魅了","14"
"-1","12","暗闇","15"
"-1","13","沈黙","16"
"-1","30","即死","17"
"-1","3","ノックバック","18"
"1","11","混乱","19"
"4","9","猛毒","20"
"-1","56","千里眼","21"
"-1","59","回復阻害","22"
"-1","61","恐慌","23"
"-1","60","刻印付与","24"
"-1","62","畏怖","25"
"-1","69","トナカイ化","26"
"10","8","気絶","27"
"5","9","呪詛","28"
"-1","70","ＨＰ変化","29"
"11","8","時間停止","30"
"-1","76","ＨＰ回復量減少","31"
"-1","78","弱体被ダメージ上昇","32"
"1","79","行動時毒ダメージ","33"
"14","8","スタン（別枠）","34"
"7","9","毒（別枠）","35"
"8","9","呪い（別枠）","36"
"2","11","混乱（別枠）","37"
"13","8","結晶化","38"
"1","83","スロウ(加算可能)","39"
"2","83","ヘイスト(加算可能)","40"
"3","49","バフ消去","41"
"10","49","バリア消去","42"
"9","9","黒炎","43"
"2","99","ヘイストフィールド","44"
"1","99","スロウフィールド","45"
"20","49","バフ消去（指定）","46"
"5","101","殴り刻印（攻撃ヒット）","47"
"10","79","行動時界雷ダメージ","48"
"9","112","状態異常時間延長","49"
"1","116","執着状態","50"
"15","117","アラクネ拘束","51"
"3","11","操糸","52"
