0b2a59f8d04dbd86013c2413ae31e51f899dfb744afc066c9a1baa5467e7a056,a4eda5368b14a5ffc961beb0a3e04f19e50d8331dec6d051491be6835b7b312d,d0a37421879f8da0516450553edcf51b9dd0be873aff494b00f52b4e3259d6e9,99e2cdb7898a9d9578d510be1b72be061792da40d4822c58429e6009388e81a1,ee79d169b8e7db8a08a76a32313e6fb457a8c39ec4f147e48440c85f73b4e1ad,70ee2ed5b1b9c4ab63c2eb5a6fa004daa1a1d3fa372627067f4a33d2ed148974,a7572bcb7d70cb53a92d2702763d83d6f08a5ed6989e5d01032e1f1123eb513d,2eaeb437917caa4d8f444ec0b87055fa332147fe78d925e8321b072a44f0265e,88a42930e34fbb408cdbd09b1de1257d3d2a216fa63116de9ce2f44db42e54de,5f193ddee9e34fdebb0baed7c5cee97f83bdf5f39bef4834dc22cf2864d3971d,c77f4bf9f8177e41e9155b9b5a1dffe105b1352267ea711feb3a2835177a3eb4
"285001001","25021","25015","2","2","8","31","8","10","91002","1"
"285001002","25021","25015","2","2","8","31","8","10","91002","2"
"285001003","25021","25015","2","2","8","32","8","10","91002","3"
"285001004","25021","25015","2","2","8","32","8","10","91002","4"
"285001005","25021","25015","2","2","8","33","8","10","91002","5"
"285001006","25021","25015","2","2","9","33","8","10","91002","6"
"285001007","25021","25015","2","2","9","34","8","10","91002","7"
"285001008","25021","25015","2","2","9","35","8","10","91002","8"
"285001009","25021","25015","2","2","9","35","8","10","91002","9"
"285001010","25021","25015","2","2","10","37","8","30","91002","10"
"285001011","25021","25015","2","2","10","41","8","10","91002","11"
"285001012","25021","25015","2","2","11","43","8","10","91002","12"
"285001013","25021","25015","2","2","11","46","8","10","91002","13"
"285001014","25021","25015","2","2","12","48","8","10","91002","14"
"285001015","25021","25015","2","2","12","50","8","10","91002","15"
"285001016","25021","25015","2","2","13","53","8","10","91002","16"
"285001017","25021","25015","2","2","14","55","8","10","91002","17"
"285001018","25021","25015","2","2","14","58","8","10","91002","18"
"285001019","25021","25015","2","2","15","60","8","10","91002","19"
"285001020","25021","25015","2","2","15","62","8","30","91002","20"
"285001021","25021","25015","2","2","16","68","8","10","91002","21"
"285001022","25021","25015","2","2","16","70","8","10","91002","22"
"285001023","25021","25015","2","2","16","72","8","10","91002","23"
"285001024","25021","25015","2","2","17","75","8","10","91002","24"
"285001025","25021","25015","2","2","18","77","8","10","91002","25"
"285001026","25021","25015","2","2","18","79","8","10","91002","26"
"285001027","25021","25015","2","2","19","82","8","10","91002","27"
"285001028","25021","25015","2","2","19","84","8","10","91002","28"
"285001029","25021","25015","2","2","19","86","8","10","91002","29"
"285001030","25021","25015","2","2","20","89","8","30","91002","30"
"285001031","25021","25015","2","2","20","94","8","10","91002","31"
"285001032","25021","25015","2","2","21","96","8","10","91002","32"
"285001033","25021","25015","2","2","21","99","8","10","91002","33"
"285001034","25021","25015","2","2","22","101","8","10","91002","34"
"285001035","25021","25015","2","2","22","103","8","10","91002","35"
"285001036","25021","25015","2","2","23","106","8","10","91002","36"
"285001037","25021","25015","2","2","23","108","8","10","91002","37"
"285001038","25021","25015","2","2","24","111","8","10","91002","38"
"285001039","25021","25015","2","2","25","113","8","10","91002","39"
"285001040","25021","25015","2","2","25","115","8","30","91002","40"
"285001041","25021","25015","2","2","26","121","8","10","91002","41"
