6dc6ef531450dcd3d61c1543979e99901174d51284498e6a13af7bb0b8a37313,e4383af6985356e8e4835ba365515d157efe5e0070c1b7647237d18157ae0392,8c770acca6a3cdb193775bcf7b82d5980675d3695f0e4b319ffd521e77426935,2bd80d7f815dc79bbcfebf0a31a62aa8de706c7b152d3b06a6dd1ea32a7bde0d,98dea087deca53c0964787bc61855e804b13c41f3b727776bacd6d18160c31d5,cc9c2974fff288591f26703a906f38b79ab099acf7cba14de782b4daf26e3312,061d2fcaa5aee60aa57bcaa782d5ba9da0613b8d4e05672861274ec87416f717,1d6074855de5d0e65f02f5d91e26b02e53905f971ced0e37779f255d1c7ccbbe
"111","3","5","1","48","4","2","1"
"121","3","5","1","96","4","2","1"
"131","3","5","1","144","4","2","1"
"141","3","5","1","192","4","2","1"
"151","3","5","1","240","4","2","1"
"211","0","0","2","84","0","0","1"
"221","0","0","2","168","0","0","1"
"231","0","0","2","252","0","0","1"
"241","0","0","2","336","0","0","1"
"251","0","0","2","420","0","0","1"
"311","0","0","5","36","0","0","3"
"321","0","0","5","72","0","0","3"
"331","0","0","5","108","0","0","3"
"341","0","0","5","144","0","0","3"
"351","0","0","5","180","0","0","3"
"411","0","0","4","84","0","0","4"
"421","0","0","4","168","0","0","4"
"431","0","0","4","252","0","0","4"
"441","0","0","4","336","0","0","4"
"451","0","0","4","420","0","0","4"
"511","0","0","4","84","0","0","2"
"521","0","0","4","168","0","0","2"
"531","0","0","4","252","0","0","2"
"541","0","0","4","336","0","0","2"
"551","0","0","4","420","0","0","2"
"611","0","0","2","84","0","0","4"
"621","0","0","2","168","0","0","4"
"631","0","0","2","252","0","0","4"
"641","0","0","2","336","0","0","4"
"651","0","0","2","420","0","0","4"
"711","0","0","1","56","0","0","5"
"721","0","0","1","112","0","0","5"
"731","0","0","1","168","0","0","5"
"741","0","0","1","224","0","0","5"
"751","0","0","1","280","0","0","5"
"811","0","0","101","1","0","0","2"
"911","0","0","2","84","0","0","3"
"921","0","0","2","168","0","0","3"
"931","0","0","2","252","0","0","3"
"941","0","0","2","336","0","0","3"
"951","0","0","2","420","0","0","3"
"1011","0","0","101","1","0","0","1"
"1111","0","0","5","36","0","0","2"
"1121","0","0","5","72","0","0","2"
"1131","0","0","5","108","0","0","2"
"1141","0","0","5","144","0","0","2"
"1151","0","0","5","180","0","0","2"
"1211","0","0","4","84","0","0","5"
"1221","0","0","4","168","0","0","5"
"1231","0","0","4","252","0","0","5"
"1241","0","0","4","336","0","0","5"
"1251","0","0","4","420","0","0","5"
"1311","0","0","2","86","0","0","1"
"1321","0","0","2","172","0","0","1"
"1331","0","0","2","258","0","0","1"
"1341","0","0","2","344","0","0","1"
"1351","0","0","2","430","0","0","1"
"1411","0","0","1","44","0","0","3"
"1421","0","0","1","88","0","0","3"
"1431","0","0","1","132","0","0","3"
"1441","0","0","1","176","0","0","3"
"1451","0","0","1","220","0","0","3"
"1511","0","0","5","36","0","0","4"
"1521","0","0","5","72","0","0","4"
"1531","0","0","5","108","0","0","4"
"1541","0","0","5","144","0","0","4"
"1551","0","0","5","180","0","0","4"
"1611","0","0","101","1","0","0","5"
"1711","0","0","100","1","0","0","2"
"1811","0","0","4","84","0","0","3"
"1821","0","0","4","168","0","0","3"
"1831","0","0","4","252","0","0","3"
"1841","0","0","4","336","0","0","3"
"1851","0","0","4","420","0","0","3"
"1911","0","0","3","36","0","0","4"
"1921","0","0","3","72","0","0","4"
"1931","0","0","3","108","0","0","4"
"1941","0","0","3","144","0","0","4"
"1951","0","0","3","180","0","0","4"
"2011","0","0","4","84","0","0","1"
"2021","0","0","4","168","0","0","1"
"2031","0","0","4","252","0","0","1"
"2041","0","0","4","336","0","0","1"
"2051","0","0","4","420","0","0","1"
"2111","0","0","100","1","0","0","3"
"2211","0","0","2","84","0","0","5"
"2221","0","0","2","168","0","0","5"
"2231","0","0","2","252","0","0","5"
"2241","0","0","2","336","0","0","5"
"2251","0","0","2","420","0","0","5"
"2311","0","0","1","44","0","0","1"
"2321","0","0","1","88","0","0","1"
"2331","0","0","1","132","0","0","1"
"2341","0","0","1","176","0","0","1"
"2351","0","0","1","220","0","0","1"
"2411","0","0","2","84","0","0","2"
"2421","0","0","2","168","0","0","2"
"2431","0","0","2","252","0","0","2"
"2441","0","0","2","336","0","0","2"
"2451","0","0","2","420","0","0","2"
"2511","0","0","4","86","0","0","5"
"2521","0","0","4","172","0","0","5"
"2531","0","0","4","258","0","0","5"
"2541","0","0","4","344","0","0","5"
"2551","0","0","4","430","0","0","5"
"2611","3","5","100","1","4","2","1"
"2621","3","5","100","2","4","2","1"
"2631","3","5","100","3","4","2","1"
"2711","0","0","3","36","0","0","1"
"2721","0","0","3","72","0","0","1"
"2731","0","0","3","108","0","0","1"
"2741","0","0","3","144","0","0","1"
"2751","0","0","3","180","0","0","1"
"2811","0","0","4","86","0","0","4"
"2821","0","0","4","172","0","0","4"
"2831","0","0","4","258","0","0","4"
"2841","0","0","4","344","0","0","4"
"2851","0","0","4","430","0","0","4"
"2911","0","0","7","10","0","0","5"
"2921","0","0","7","20","0","0","5"
"2931","0","0","7","30","0","0","5"
"2941","0","0","7","40","0","0","5"
"2951","0","0","7","50","0","0","5"
"3011","0","0","3","36","0","0","2"
"3021","0","0","3","72","0","0","2"
"3031","0","0","3","108","0","0","2"
"3041","0","0","3","144","0","0","2"
"3051","0","0","3","180","0","0","2"
"3111","0","0","1","46","0","0","3"
"3121","0","0","1","92","0","0","3"
"3131","0","0","1","138","0","0","3"
"3141","0","0","1","184","0","0","3"
"3151","0","0","1","230","0","0","3"
"3211","0","0","4","88","0","0","4"
"3221","0","0","4","176","0","0","4"
"3231","0","0","4","264","0","0","4"
"3241","0","0","4","352","0","0","4"
"3251","0","0","4","440","0","0","4"
"3311","0","0","4","86","0","0","1"
"3321","0","0","4","172","0","0","1"
"3331","0","0","4","258","0","0","1"
"3341","0","0","4","344","0","0","1"
"3351","0","0","4","430","0","0","1"
"3411","0","0","2","86","0","0","2"
"3421","0","0","2","172","0","0","2"
"3431","0","0","2","258","0","0","2"
"3441","0","0","2","344","0","0","2"
"3451","0","0","2","430","0","0","2"
"3511","0","0","5","38","0","0","3"
"3521","0","0","5","76","0","0","3"
"3531","0","0","5","114","0","0","3"
"3541","0","0","5","152","0","0","3"
"3551","0","0","5","190","0","0","3"
"3611","0","0","2","86","0","0","4"
"3621","0","0","2","172","0","0","4"
"3631","0","0","2","258","0","0","4"
"3641","0","0","2","344","0","0","4"
"3651","0","0","2","430","0","0","4"
"3711","0","0","4","88","0","0","5"
"3721","0","0","4","176","0","0","5"
"3731","0","0","4","264","0","0","5"
"3741","0","0","4","352","0","0","5"
"3751","0","0","4","440","0","0","5"
"3811","0","0","1","44","0","0","2"
"3821","0","0","1","88","0","0","2"
"3831","0","0","1","132","0","0","2"
"3841","0","0","1","176","0","0","2"
"3851","0","0","1","220","0","0","2"
"3911","0","0","4","86","0","0","3"
"3921","0","0","4","172","0","0","3"
"3931","0","0","4","258","0","0","3"
"3941","0","0","4","344","0","0","3"
"3951","0","0","4","430","0","0","3"
"4011","0","0","3","36","0","0","5"
"4021","0","0","3","72","0","0","5"
"4031","0","0","3","108","0","0","5"
"4041","0","0","3","144","0","0","5"
"4051","0","0","3","180","0","0","5"
"4111","0","0","7","10","0","0","2"
"4121","0","0","7","20","0","0","2"
"4131","0","0","7","30","0","0","2"
"4141","0","0","7","40","0","0","2"
"4151","0","0","7","50","0","0","2"
