0b8d399873f753f0d4e1c97d8125c9ff15be9b4110247377b050f9289077d086,92565f6652462691227002b6f4d9d79fb23b566fd536f1752446b87c08ecb246,d1dfcbe465b98382f22f3f879982abea6cb8f7fbb5db1f73c70b9f7b4381cc26,2dbc05ef0e1c16000e84df1145affef3c16289326139a3d4bea9a4ecb79b19b4,42df9254cdd3fe5cac1b2fdb756f1a4670b09ebb3f41b94163329914b9170f5e
"0","30","20","999","1"
"24","30","20","999","2"
"32","30","21","999","3"
"40","30","21","999","4"
"48","30","22","999","5"
"64","30","22","999","6"
"80","30","23","999","7"
"96","30","23","999","8"
"120","30","24","999","9"
"168","30","24","999","10"
"224","30","25","999","11"
"280","30","25","999","12"
"344","30","26","999","13"
"420","30","26","999","14"
"502","30","27","999","15"
"584","30","28","999","16"
"666","30","30","999","17"
"748","30","35","999","18"
"830","30","40","999","19"
"930","30","45","999","20"
"1040","30","50","999","21"
"1178","30","55","999","22"
"1316","30","60","999","23"
"1458","30","70","999","24"
"1604","30","80","999","25"
"1755","30","85","999","26"
"1910","30","85","999","27"
"2070","30","86","999","28"
"2235","30","87","999","29"
"2405","30","88","999","30"
"2579","30","89","999","31"
"2760","30","90","999","32"
"2945","30","91","999","33"
"3136","30","92","999","34"
"3333","30","93","999","35"
"3535","30","94","999","36"
"3744","30","95","999","37"
"3974","30","96","999","38"
"4226","30","97","999","39"
"4504","30","98","999","40"
"4810","30","99","999","41"
"5152","30","100","999","42"
"5535","30","101","999","43"
"5965","30","102","999","44"
"6446","30","103","999","45"
"7004","30","104","999","46"
"7651","30","105","999","47"
"8401","30","106","999","48"
"9272","30","107","999","49"
"10282","30","108","999","50"
"11454","30","109","999","51"
"12813","30","110","999","52"
"14389","30","111","999","53"
"16159","30","112","999","54"
"17929","30","113","999","55"
"19699","30","114","999","56"
"21469","30","115","999","57"
"23239","30","116","999","58"
"25009","30","117","999","59"
"26779","30","118","999","60"
"28549","30","119","999","61"
"30319","30","120","999","62"
"32089","30","121","999","63"
"33859","30","122","999","64"
"35629","30","123","999","65"
"38284","30","124","999","66"
"40939","30","125","999","67"
"43594","30","126","999","68"
"46249","30","127","999","69"
"48904","30","128","999","70"
"51559","30","129","999","71"
"54214","30","130","999","72"
"56869","30","131","999","73"
"59524","30","132","999","74"
"62179","30","133","999","75"
"64834","30","134","999","76"
"68374","30","135","999","77"
"71914","30","136","999","78"
"75454","30","137","999","79"
"78994","30","138","999","80"
"82534","30","139","999","81"
"86074","30","140","999","82"
"89614","30","141","999","83"
"93154","30","142","999","84"
"96694","30","143","999","85"
"100234","30","144","999","86"
"103774","30","145","999","87"
"107314","30","146","999","88"
"110854","30","147","999","89"
"114394","30","148","999","90"
"117934","30","149","999","91"
"121474","30","150","999","92"
"125014","30","151","999","93"
"128554","30","152","999","94"
"132094","30","153","999","95"
"135634","30","154","999","96"
"139174","30","155","999","97"
"142714","30","156","999","98"
"146254","30","157","999","99"
"149794","30","158","999","100"
"153334","30","159","999","101"
"157759","30","160","999","102"
"162184","30","161","999","103"
"166609","30","162","999","104"
"171034","30","163","999","105"
"175459","30","164","999","106"
"179884","30","165","999","107"
"184309","30","166","999","108"
"188734","30","167","999","109"
"193159","30","168","999","110"
"197584","30","169","999","111"
"202009","30","170","999","112"
"206434","30","171","999","113"
"210859","30","172","999","114"
"215284","30","173","999","115"
"219709","30","174","999","116"
"224134","30","175","999","117"
"228559","30","176","999","118"
"232984","30","177","999","119"
"237409","30","178","999","120"
"241834","30","179","999","121"
"246259","30","180","999","122"
"250684","30","181","999","123"
"255109","30","182","999","124"
"259534","30","183","999","125"
"263959","30","184","999","126"
"268384","30","185","999","127"
"272809","30","186","999","128"
"277234","30","187","999","129"
"281659","30","188","999","130"
"286084","30","189","999","131"
"290509","30","190","999","132"
"294934","30","191","999","133"
"299359","30","192","999","134"
"303784","30","193","999","135"
"308209","30","194","999","136"
"312634","30","195","999","137"
"317059","30","196","999","138"
"321484","30","197","999","139"
"325909","30","198","999","140"
"330334","30","199","999","141"
"334759","30","200","999","142"
"339184","30","201","999","143"
"343609","30","202","999","144"
"348034","30","203","999","145"
"352459","30","204","999","146"
"356884","30","205","999","147"
"361309","30","206","999","148"
"365734","30","207","999","149"
"370159","30","208","999","150"
"374584","30","209","999","151"
"379009","30","210","999","152"
"383434","30","211","999","153"
"387859","30","212","999","154"
"392284","30","213","999","155"
"396709","30","214","999","156"
"401134","30","215","999","157"
"405559","30","216","999","158"
"409984","30","217","999","159"
"414409","30","218","999","160"
"418834","30","219","999","161"
"423259","30","220","999","162"
"427684","30","221","999","163"
"432109","30","222","999","164"
"436534","30","223","999","165"
"440959","30","224","999","166"
"445384","30","225","999","167"
"449809","30","226","999","168"
"454234","30","227","999","169"
"458659","30","228","999","170"
"463084","30","229","999","171"
"467509","30","230","999","172"
"471934","30","231","999","173"
"476359","30","232","999","174"
