0616756d670db53e3cbe48f1b117befda7c6b1f6049ed2561e36b294a9d7a4d2,be0e878e80f1a6307520f143e323c8a3c8a59e4e261192bfb78a6e36812eac3d,3bff20ac509b86c72f2207b1e832ade47ab89ddb8f16bd55cd06552ed2d9259c,21ab76b328b314f00eac4fd355aba94ad587784cc2960273733fcc1c06f0f661,b95b42ad59af27d9e4a939f91a0cc04da6e6d7d1ba034d2d0f083de876aa3319
"片手剣","red","#D23232","101","90009"
"両手剣","red","#D23232","102","90009"
"短剣","red","#D23232","103","90009"
"槍","red","#D23232","104","90009"
"斧","red","#D23232","105","90009"
"弓","red","#D23232","106","90009"
"拳","red","#D23232","107","90009"
"盾","red","#D23232","108","90009"
"杖","red","#D23232","109","90009"
"本","red","#D23232","110","90009"
"服","blue","#476FD8","201","90010"
"鎧","blue","#476FD8","202","90010"
"白ローブ","blue","#476FD8","203","90010"
"黒ローブ","blue","#476FD8","204","90010"
"指輪","yellow","#E5681E","301","90011"
"腕輪","yellow","#E5681E","302","90011"
"ネックレス","yellow","#E5681E","303","90011"
"宝珠","yellow","#E5681E","304","90011"
"イヤリング","yellow","#E5681E","305","90011"
