b9a4c2a0d3b9093922aec821c74a9efaaa04063fa8b6357a34703935bd7adeac,3b86f48cd1b0a3d5a5a84d1f47bc1cf98afe0296ff3807b3ad22eca6b6ef007f,5d8085c16f4426925c6dcd38b28d6669f156415503301353f78ec584c8d60a6a,d483ed8795c4d48715f567cdeeecadb0ca4d4257b94c73a98a84a58effba32d3,a89109c4de10255901bd3a2a564aab8b113d83dc32708e8804f18032a49f5bae,3594e76c71b39064bf69781e1875d3def9c60133db5aae88f28a156389b8df56,469315bf7136d3d70c77c6660460dc99e19986d392e8a41cc7d9505c0f6e2d99,75a4ac33c657ed44f0548b08d9dbf00f95317d90b079e0705a2754701e873239,df1c906a2ea34ea3f00e696ec6d04704c6377f781a55226e13f26cd4ae4404e8,5ebc2db31e05511c0868850f49222199e1ea708d3635d7a2d266408958985740,d36c2847b75d2da6fd38231aaa9e927596aad3b572f9b29d0b1d27d1a29679f1
"122711","lsv_idle_normal","0","-495","1009801","1","102","-200","1","1.95","1009801001"
"122811","lsv_idle_normal","1","-480","1009801","1","100","100","1","1.95","1009801002"
"122911","lsv_idle_normal","1","-510","1009801","1","101","270","1","1.95","1009801003"
"333","lsv_white_loop","0","0","1009801","5","0","0","1","1","1009801004"
"1","","0","0","1009801","6","1","1","333","0","1009801005"
"1","","0","0","1009801","6","1","1","122711","0","1009801006"
"1","","0","0","1009801","6","1","1","122811","0","1009801007"
"1","","0","0","1009801","6","1","1","122911","0","1009801008"
"0","","","","1009801","93","","","1","","1009801009"
"1","","0","0.4","1009801","6","1","1","333","0.8","1009801010"
"lsv_jump1","","0.2","1","1009801","3","0","lsv_idle_normal","122711","0.2","1009801011"
"lsv_jump1","","0.2","1","1009801","3","0","lsv_idle_normal","122811","0.2","1009801012"
"lsv_jump1","","0.2","1","1009801","3","0","lsv_idle_normal","122911","0.2","1009801013"
"","","","","1009801","93","","","0.3","","1009801014"
"-200","","","0","1009801","2","-235","0.75","122711","","1009801015"
"100","","","0","1009801","2","-220","0.75","122811","","1009801016"
"270","","","0","1009801","2","-250","0.75","122911","","1009801017"
"1","","0","1","1009801","6","1","1","122711","0.4","1009801018"
"1","","0","1","1009801","6","1","1","122811","0.4","1009801019"
"1","","0","1","1009801","6","1","1","122911","0.4","1009801020"
"0","","","","1009801","93","","","2","","1009801021"
