a581dba2140b107f7a3f867928f10a0bacf33c683b2589c397277eea85cc006c,27610513fce19e13888ff749ec307cfbfd12b38d2518648228ffeda16ce2fa82,f7f6be411ec4885e00cdf1d27b251fca0064da7447aad6399a2671c049f87613,6bdd7aac322550bef69debf31a1a3c1219dfca052aa52f182075f9091d262723,5693b07139648a270809618cdd8f5087ca5d8a98895a383f3323fa629b31b832,4ace847080fd5094187edb76ec30594c386eba70b93c47bde434666f27678770,2c015d3c928292c88f994e4b0676ebb4ccb57c4076a5243439d4a0776a792537,5b87ddf1e033ab4e4ed7f3e478347b2ab8ff947c6fc6d6aca358d9ee26d543ce,d721d194dad6eb53038fb6980b2a7b7910bc4d28940b88b4e3e7b776a96bf6f6,5d0abc830bbf3fd2966d37b94895e2c669b972dc1f4ad0ba6e58917344f4a36d,cd5175f51ea6642007ebd9baffaabbc26705ead81e5b6722556f9f7ac1bfa03c
"","","bgm_M321","4514","bgm_M321_2C","","25","","","4514001",""
"0","2","1","4514","105811","wac_birthday_idle_normal","1","-70","250","4514002","-1000"
"1","2","1","4514","106011","wac_birthday_idle_doya","1","-270","256","4514003","200"
"1","2","1","4514","105911","wac_birthday_idle_wish","1","-310","258","4514004","320"
"1","2","1","4514","106431","wac_birthday_idle_smile","1","-290","257","4514005","440"
"","","105811","4514","300","","13","","","4514006",""
"","","106011","4514","300","","13","","","4514007",""
"","1","600","4514","600","","31","1","0","4514008","0"
"","0","602","4514","602","","31","1","0","4514009","0"
"","0","603","4514","603","","31","1","0","4514010","0"
"","1","604","4514","604","","31","1","30","4514011","60"
"","1","611","4514","611","","31","1","0","4514012","0"
"","0","700","4514","700","","31","1","0","4514013","0"
"","0","701","4514","701","","31","1","0","4514014","0"
"","0","702","4514","702","","31","1","0","4514015","0"
"","0","800","4514","800","","31","1","0","4514016","0"
"","1","900","4514","900","","31","1","30","4514017","60"
"","","1","4514","","","93","","","4514018",""
"0.2","0.2","105911","4514","wac_birthday_reaction_01","","3","1","0","4514019","wac_birthday_reaction_03"
"","","0.1","4514","","","93","","","4514020",""
"0.2","0.2","106011","4514","wac_birthday_reaction_05","","3","1","0","4514021","wac_birthday_reaction_04"
"0.2","0.2","106431","4514","wac_birthday_reaction_02","","3","1","0","4514022","wac_birthday_reaction_03"
"","","0.3","4514","","","93","","","4514023",""
"","0.2","105811","4514","wac_birthday_run_01","","3","","1","4514024",""
"","","105811","4514","0","","2","","-70","4514025","3"
"","","2.5","4514","","","93","","","4514026",""
"","","602","4514","1","","32","","","4514027",""
"","","0.6","4514","","","93","","","4514028",""
"","","600","4514","0","","32","","","4514029",""
"","","611","4514","0","","32","","","4514030",""
"","","604","4514","0","","32","","","4514031",""
"","","701","4514","1","","32","","","4514032",""
"","","900","4514","0","","33","","0","4514033","0.01"
"0.2","0.2","105811","4514","wac_birthday_blowout_02","","3","1","0","4514034","wac_birthday_wish_02"
"","","105811","4514","-200","","2","","-330","4514035","0.01"
"","0.2","106011","4514","wac_birthday_idle_doya","","3","","1","4514036",""
"","","106011","4514","180","","2","","-320","4514037","0.01"
"","0.2","105911","4514","wac_birthday_idle_wish","","3","","1","4514038",""
"","","105911","4514","300","","2","","-360","4514039","0.01"
"","0.2","106431","4514","wac_birthday_idle_smile","","3","","1","4514040",""
"","","106431","4514","420","","2","","-340","4514041","0.01"
"","","0","4514","","","93","","","4514042",""
"","","800","4514","1","","32","","","4514043",""
"","","0.7","4514","","","93","","","4514044",""
"","","702","4514","1","","32","","","4514045",""
"","","0.5","4514","","","93","","","4514046",""
"","","se_common","4514","se_sys_login_birthday_blow_candle","","23","","0","4514047",""
"","","701","4514","0","","32","","","4514048",""
"","","0.4","4514","","","93","","","4514049",""
"","","se_common","4514","se_sys_login_birthday_cracker","","23","","0","4514050",""
"","","700","4514","1","","32","","","4514051",""
"","","se_common","4514","se_sys_login_birthday_calendar_applause","","23","","0","4514052",""
"0.2","0.2","106011","4514","wac_birthday_clap","","3","1","0","4514053","wac_birthday_idle_doya"
"","","0.1","4514","","","93","","","4514054",""
"0.2","0.2","105911","4514","wac_birthday_clap_to_wish","","3","1","0","4514055","wac_birthday_idle_wish"
"","","0.1","4514","","","93","","","4514056",""
"0.2","0.2","106431","4514","wac_birthday_clap","","3","1","0","4514057","wac_birthday_idle_smile"
"","","2","4514","","","93","","","4514058",""
"","","1","4514","","","131","","","4514059",""
"","","vo_wac_04514","4514","vo_wac_04514_000","","21","","0","4514060","0"
"0","0","105811","4514","これって、誕生日ケーキですか！？\nありがとうございます♪\nとってもおいしそう……\nさっそくパクっといっちゃいますね♪","0.5","11","1","10","4514061","1"
"","","0","4514","","","91","","","4514062",""
"","0.2","105811","4514","wac_birthday_idle_kyapi","","3","","1","4514063",""
"","0.2","106011","4514","wac_birthday_talk_normal","","3","","1","4514064",""
"","","vo_wac_04514","4514","vo_wac_04514_001","","21","","0","4514065","0"
"0","0","106011","4514","ちょちょ、ストーーーップ！！\nまだろうそく外してないわよ！？\nほんと相変わらずね、あんたってば……\nふふっ、おめでと。","0.5","11","1","10","4514066","1"
"","","0","4514","","","91","","","4514067",""
"","0.2","106011","4514","wac_birthday_idle_doya","","3","","1","4514068",""
"","0.2","105811","4514","wac_birthday_talk_kyapi","","3","","1","4514069",""
"","","vo_wac_04514","4514","vo_wac_04514_002","","21","","0","4514070","0"
"0","0","105811","4514","えへへ、ありがとうございます♪\nいっぱい味わって食べますね！\nみんなに祝ってもらえて\n今日は最高の記念日です♪","0.5","11","1","10","4514071","1"
"","","0","4514","","","91","","","4514072",""
"","0.2","105811","4514","wac_birthday_talk_wish","","3","","1","4514073",""
"","","vo_wac_04514","4514","vo_wac_04514_003","","21","","0","4514074","0"
"0","0","105811","4514","今日も、明日も、この先の未来も\n素敵な食卓を囲んでいけますように♪\nもちろんあなたも一緒ですよ！\nこれからもよろしくお願いしますね！","0.5","11","1","10","4514075","1"
"","","0","4514","","","91","","","4514076",""
"","","0","4514","","","22","","","4514077",""
"","","bgm_M321","4814","bgm_M321_2C","","25","","","4814001",""
"0","2","1","4814","102011","wac_birthday_idle_normal","1","-70","250","4814002","-1000"
"1","2","1","4814","103611","wac_birthday_idle_doya","1","-270","256","4814003","230"
"1","2","1","4814","100411","wac_birthday_idle_kyapi","1","-310","257","4814004","410"
"","","102011","4814","300","","13","","","4814005",""
"","","103611","4814","300","","13","","","4814006",""
"","1","600","4814","600","","31","1","0","4814007","0"
"","0","602","4814","602","","31","1","0","4814008","0"
"","0","603","4814","603","","31","1","0","4814009","0"
"","1","604","4814","604","","31","1","30","4814010","60"
"","1","611","4814","611","","31","1","0","4814011","0"
"","0","700","4814","700","","31","1","0","4814012","0"
"","0","701","4814","701","","31","1","0","4814013","0"
"","0","702","4814","702","","31","1","0","4814014","0"
"","0","800","4814","800","","31","1","0","4814015","0"
"","1","901","4814","901","","31","1","30","4814016","60"
"","","1","4814","","","93","","","4814017",""
"0.2","0.2","100411","4814","wac_birthday_reaction_02","","3","1","0","4814018","wac_birthday_reaction_03"
"","","0.1","4814","","","93","","","4814019",""
"0.2","0.2","103611","4814","wac_birthday_reaction_01","","3","1","0","4814020","wac_birthday_reaction_04"
"","","0.3","4814","","","93","","","4814021",""
"","0.2","102011","4814","wac_birthday_run_01","","3","","1","4814022",""
"","","102011","4814","0","","2","","-70","4814023","3"
"","","2.5","4814","","","93","","","4814024",""
"","","602","4814","1","","32","","","4814025",""
"","","0.6","4814","","","93","","","4814026",""
"","","600","4814","0","","32","","","4814027",""
"","","611","4814","0","","32","","","4814028",""
"","","604","4814","0","","32","","","4814029",""
"","","701","4814","1","","32","","","4814030",""
