fb3b9b7105d071279f3d513d2bda1860fe8d29aa630ddb3b873a686aaf443fa2,55efd98a85a121c5eb552401a500005a5f0faeb4ff572360dd7e3752f65dd24f,1aaaabe54f5d534230e666c8c21af568c7631c39a85cf93d3044e9e2a3d57fe1,f3cc988035ecb35d71edbc96fa4b4a2f7025e5b5ab93eb73de2f64d348158ee7,aeb19fc3d27f2266fc9be8fddcdf7c14b36c60b5cf969200dc95e9747d9a4f8e
"1","70","bgm_M125","81000104","0"
"2","110","bgm_M125","81000104","0"
"3","130","bgm_M125","81000104","0"
"4","150","bgm_M125","81000104","0"
"5","170","bgm_M125","81000104","0"
"6","190","bgm_M125","81000104","0"
"7","210","bgm_M125","81000104","0"
"8","230","bgm_M125","81000104","0"
"9","250","bgm_M125","81000104","0"
"10","270","bgm_M125","81000104","0"
"11","290","bgm_M125","81000104","0"
"12","310","bgm_M125","81000104","0"
"13","330","bgm_M125","81000104","0"
"14","350","bgm_M125","81000104","73140350"
"15","360","bgm_M125","81000104","73150360"
"16","370","bgm_M125","81000104","73160370"
"17","380","bgm_M125","81000104","73170380"
"18","390","bgm_M125","81000104","73180390"
"19","400","bgm_M125","81000104","73190400"
"20","410","bgm_M125","81000104","73200410"
"21","420","bgm_M125","81000104","73210420"
"22","430","bgm_M125","81000104","73220430"
"23","440","bgm_M125","81000104","73230440"
"24","450","bgm_M125","81000104","73240450"
"25","460","bgm_M125","81000104","73250460"
"26","470","bgm_M125","81000104","73260470"
"27","480","bgm_M125","81000104","73270480"
"28","490","bgm_M125","81000104","73280490"
"29","500","bgm_M125","81000104","73290500"
"30","510","bgm_M125","81000104","73300510"
"31","520","bgm_M125","81000104","73310520"
"32","530","bgm_M125","81000104","73320530"
"33","540","bgm_M125","81000104","73330540"
"34","550","bgm_M125","81000104","73340550"
"35","560","bgm_M125","81000104","73350560"
"36","570","bgm_M125","81000104","73360570"
"37","580","bgm_M125","81000104","73370580"
"38","590","bgm_M125","81000104","73380590"
"39","600","bgm_M125","81000104","73390600"
"40","610","bgm_M125","81000104","73400610"
"41","620","bgm_M125","81000104","73410620"
"42","630","bgm_M125","81000104","73420630"
"43","640","bgm_M125","81000104","73430640"
"44","650","bgm_M125","81000104","73440650"
"45","660","bgm_M125","81000104","73450660"
"46","670","bgm_M125","81000104","73460670"
"47","680","bgm_M125","81000104","73470680"
"48","690","bgm_M125","81000104","73480690"
"49","700","bgm_M125","81000104","73490700"
"50","710","bgm_M125","81000104","73500710"
"51","720","bgm_M125","81000104","73510720"
"52","730","bgm_M125","81000104","73520730"
"53","740","bgm_M125","81000104","73530740"
"54","750","bgm_M125","81000104","73540750"
"55","760","bgm_M125","81000104","73550760"
