6ecafaf0df054762be57d9d26dc7b9db99d50363f409d2c5d2fee71f5c333d68,04e958ad14174fc4c513a066a20e912bef94c9e9b79e3068b3530812f0ddc088,43f38c88910600ad9da152dc15398f5ca972cc4deac72a1429269094e40dc7f6
"101","50183","1"
"102","50183","2"
"103","50183","3"
"104","50183","4"
"1","50183","5"
"2","50183","6"
"3","50183","7"
"4","50183","8"
"5","50183","9"
"6","50183","10"
"105","50217","1"
"101","50217","2"
"102","50217","3"
"103","50217","4"
"104","50217","5"
"1","50217","6"
"2","50217","7"
"3","50217","8"
"4","50217","9"
"5","50217","10"
"6","50217","11"
"105","50248","1"
"101","50248","2"
"102","50248","3"
"103","50248","4"
"104","50248","5"
"1","50248","6"
"2","50248","7"
"3","50248","8"
"4","50248","9"
"5","50248","10"
"6","50248","11"
"105","50278","1"
"101","50278","2"
"102","50278","3"
"103","50278","4"
"104","50278","5"
"1","50278","6"
"2","50278","7"
"3","50278","8"
"4","50278","9"
"5","50278","10"
"6","50278","11"
"105","50309","1"
"101","50309","2"
"102","50309","3"
"103","50309","4"
"104","50309","5"
"1","50309","6"
"2","50309","7"
"3","50309","8"
"4","50309","9"
"5","50309","10"
"6","50309","11"
