2fdf07718ecd7806896a4c38b2bb15db1fa3871538589229c351211b194f4fb1,afaa03d26507242c7ef1e30ec530a1447c97c73a26880c911bb446a521ff951f,ff24a91c2b99636d7ddfbd1ac52ed5b2582b72982f1645dd498785347863d992,8eb95bb679e68ecf8dde776290ee989d97a6efb6b3f8790ea2c3d5e40fc124a5,e24b7bb4e9777f94c6f1f0196068beef266e432e2d18b70ee7c2a395219abe88,4b13bc570f79306d2b99f583a29a66100746bf3317694818a7d469f61225c584
"20001201","2000102","2000101","20001115","0","20001"
"0","2000103","2000102","0","2000101","20001"
"0","0","2000103","0","2000102","20001"
"20002201","2000202","2000201","20002115","0","20002"
"0","2000203","2000202","0","2000201","20002"
"0","0","2000203","0","2000202","20002"
"20003201","2000302","2000301","20003115","0","20003"
"0","2000303","2000302","0","2000301","20003"
"0","0","2000303","0","2000302","20003"
"20004201","2000402","2000401","20004115","0","20004"
"0","2000403","2000402","0","2000401","20004"
"0","0","2000403","0","2000402","20004"
"20005201","2000502","2000501","20005115","0","20005"
"0","2000503","2000502","0","2000501","20005"
"0","0","2000503","0","2000502","20005"
"20006201","2000602","2000601","20006115","0","20006"
"0","2000603","2000602","0","2000601","20006"
"0","0","2000603","0","2000602","20006"
"20007201","2000702","2000701","20007115","0","20007"
"0","2000703","2000702","0","2000701","20007"
"0","0","2000703","0","2000702","20007"
"20008201","2000802","2000801","20008115","0","20008"
"0","2000803","2000802","0","2000801","20008"
"0","0","2000803","0","2000802","20008"
"20009201","2000902","2000901","20009115","0","20009"
"0","2000903","2000902","0","2000901","20009"
"0","0","2000903","0","2000902","20009"
"20010201","2001002","2001001","20010115","0","20010"
"0","2001003","2001002","0","2001001","20010"
"0","0","2001003","0","2001002","20010"
"20011201","2001102","2001101","20011115","0","20011"
"0","2001103","2001102","0","2001101","20011"
"0","0","2001103","0","2001102","20011"
"20012201","2001202","2001201","20012115","0","20012"
"0","2001203","2001202","0","2001201","20012"
"0","0","2001203","0","2001202","20012"
"20013201","2001302","2001301","20013115","0","20013"
"0","2001303","2001302","0","2001301","20013"
"0","0","2001303","0","2001302","20013"
"20014201","2001402","2001401","20014115","0","20014"
"0","2001403","2001402","0","2001401","20014"
"0","0","2001403","0","2001402","20014"
"20015201","2001502","2001501","20015115","0","20015"
"0","2001503","2001502","0","2001501","20015"
"0","0","2001503","0","2001502","20015"
"20016201","2001602","2001601","20016115","0","20016"
"0","2001603","2001602","0","2001601","20016"
"0","0","2001603","0","2001602","20016"
"20017201","2001702","2001701","20017115","0","20017"
"0","2001703","2001702","0","2001701","20017"
"0","0","2001703","0","2001702","20017"
"20018201","2001802","2001801","20018115","0","20018"
"0","2001803","2001802","0","2001801","20018"
"0","0","2001803","0","2001802","20018"
"20019201","2001902","2001901","20019115","0","20019"
"0","2001903","2001902","0","2001901","20019"
"0","0","2001903","0","2001902","20019"
"20020201","2002002","2002001","20020115","0","20020"
"0","2002003","2002002","0","2002001","20020"
"0","0","2002003","0","2002002","20020"
"20021201","2002102","2002101","20021115","0","20021"
"0","2002103","2002102","0","2002101","20021"
"0","0","2002103","0","2002102","20021"
"20022201","2002202","2002201","20022115","0","20022"
"0","2002203","2002202","0","2002201","20022"
"0","0","2002203","0","2002202","20022"
"20023201","2002302","2002301","20023115","0","20023"
"0","2002303","2002302","0","2002301","20023"
"0","0","2002303","0","2002302","20023"
"20024201","2002402","2002401","20024115","0","20024"
"0","2002403","2002402","0","2002401","20024"
"0","0","2002403","0","2002402","20024"
"20025201","2002502","2002501","20025115","0","20025"
"0","2002503","2002502","0","2002501","20025"
"0","0","2002503","0","2002502","20025"
"20026201","2002602","2002601","20026115","0","20026"
"0","2002603","2002602","0","2002601","20026"
"0","0","2002603","0","2002602","20026"
"20027201","2002702","2002701","20027115","0","20027"
"0","2002703","2002702","0","2002701","20027"
"0","0","2002703","0","2002702","20027"
"20028201","2002802","2002801","20028115","0","20028"
"0","2002803","2002802","0","2002801","20028"
"0","0","2002803","0","2002802","20028"
"20029201","2002902","2002901","20029115","0","20029"
"0","2002903","2002902","0","2002901","20029"
"0","0","2002903","0","2002902","20029"
"20030201","2003002","2003001","20030115","0","20030"
"0","2003003","2003002","0","2003001","20030"
"0","0","2003003","0","2003002","20030"
"20031201","2003102","2003101","20031115","0","20031"
"0","2003103","2003102","0","2003101","20031"
"0","0","2003103","0","2003102","20031"
"20032201","2003202","2003201","20032115","0","20032"
"0","2003203","2003202","0","2003201","20032"
"0","0","2003203","0","2003202","20032"
"20033201","2003302","2003301","20033115","0","20033"
"0","2003303","2003302","0","2003301","20033"
"0","0","2003303","0","2003302","20033"
"20034201","2003402","2003401","20034115","0","20034"
"0","2003403","2003402","0","2003401","20034"
"0","0","2003403","0","2003402","20034"
"20035201","2003502","2003501","20035115","0","20035"
"0","2003503","2003502","0","2003501","20035"
"0","0","2003503","0","2003502","20035"
"20036201","2003602","2003601","20036115","0","20036"
"0","2003603","2003602","0","2003601","20036"
"0","0","2003603","0","2003602","20036"
"20037201","2003702","2003701","20037115","0","20037"
"0","2003703","2003702","0","2003701","20037"
"0","0","2003703","0","2003702","20037"
"20038201","2003802","2003801","20038115","0","20038"
"0","2003803","2003802","0","2003801","20038"
"0","0","2003803","0","2003802","20038"
"20039201","2003902","2003901","20039115","0","20039"
"0","2003903","2003902","0","2003901","20039"
"0","0","2003903","0","2003902","20039"
"20040201","2004002","2004001","20040115","0","20040"
"0","2004003","2004002","0","2004001","20040"
"0","0","2004003","0","2004002","20040"
"20041201","2004102","2004101","20041115","0","20041"
"0","2004103","2004102","0","2004101","20041"
"0","0","2004103","0","2004102","20041"
"20042201","2004202","2004201","20042115","0","20042"
"0","2004203","2004202","0","2004201","20042"
"0","0","2004203","0","2004202","20042"
"20043201","2004302","2004301","20043115","0","20043"
"0","2004303","2004302","0","2004301","20043"
"0","0","2004303","0","2004302","20043"
"20044201","2004402","2004401","20044115","0","20044"
"0","2004403","2004402","0","2004401","20044"
"0","0","2004403","0","2004402","20044"
"20045201","2004502","2004501","20045115","0","20045"
"0","2004503","2004502","0","2004501","20045"
"0","0","2004503","0","2004502","20045"
"20046201","2004602","2004601","20046115","0","20046"
"0","2004603","2004602","0","2004601","20046"
"0","0","2004603","0","2004602","20046"
"20047201","2004702","2004701","20047115","0","20047"
"0","2004703","2004702","0","2004701","20047"
"0","0","2004703","0","2004702","20047"
"20048201","2004802","2004801","20048115","0","20048"
"0","2004803","2004802","0","2004801","20048"
"0","0","2004803","0","2004802","20048"
"20049201","2004902","2004901","20049115","0","20049"
"0","2004903","2004902","0","2004901","20049"
"0","2004904","2004903","0","2004902","20049"
"20050201","2005002","2005001","20050115","0","20050"
"0","2005003","2005002","0","2005001","20050"
"0","0","2005003","0","2005002","20050"
"20051201","2005102","2005101","20051115","0","20051"
"0","2005103","2005102","0","2005101","20051"
"0","0","2005103","0","2005102","20051"
"20052201","2005202","2005201","20052115","0","20052"
"0","2005203","2005202","0","2005201","20052"
"0","0","2005203","0","2005202","20052"
"20053201","2005302","2005301","20053115","0","20053"
"0","2005303","2005302","0","2005301","20053"
"0","0","2005303","0","2005302","20053"
"20054201","2005402","2005401","20054115","0","20054"
"0","2005403","2005402","0","2005401","20054"
"0","0","2005403","0","2005402","20054"
"20055201","2005502","2005501","20055115","0","20055"
"0","2005503","2005502","0","2005501","20055"
"0","0","2005503","0","2005502","20055"
"20056201","2005602","2005601","20056115","0","20056"
"0","2005603","2005602","0","2005601","20056"
"0","0","2005603","0","2005602","20056"
"20057201","2005702","2005701","20057115","0","20057"
"0","2005703","2005702","0","2005701","20057"
"0","0","2005703","0","2005702","20057"
"20058201","2005802","2005801","20058115","0","20058"
"0","2005803","2005802","0","2005801","20058"
"0","0","2005803","0","2005802","20058"
"20059201","2005902","2005901","20059115","0","20059"
"0","2005903","2005902","0","2005901","20059"
"0","0","2005903","0","2005902","20059"
"20060201","2006002","2006001","20060115","0","20060"
"0","2006003","2006002","0","2006001","20060"
"0","0","2006003","0","2006002","20060"
