e3cbb8a446403a97b0c367a1760fb0c0ea925e995ed00bc9d658e1814ca6aeeb,5ad8cda4abd6f14bd65cc529293cada65575c30786687f10873082ed33a1220b,a68cf0e33d4a993a3e284580135dd468d8ee879daf434c59d6bfafa0bf938f5c,bf9529df9e3112bfc5bf16f0ff2e1277631e7e350893ff5a4598a60473402561
"11","0","1","1"
"12","0","1","1"
"13","11002002","1","1"
"14","11003005","1","1"
"15","11002012","1","1"
"16","0","2","1"
"201","0","0","201"
"203","0","0","2000"
"204","0","0","2000"
"205","0","0","2000"
"206","0","0","206"
"207","0","0","207"
"301","0","0","301"
