6da83004240a873e32cec988c97d8398bdce8f7321799ca340852bf614b6b8f6,916b430b6018218637f06327ee4043b54368454d80ea2a3d08b0d41ccf040c80,b653066e8616fe5c87012f40e5cb2bee027d1bb5ae7731ab3957c4b2452a05c5,cf34fca744026a01d5910edfa6f20a45f12dbef6086744712f73c5456bef6e10,23a4a97f6ae0e88e9d1eb1cb57229f368c495ae2baf3509940e2f69f93315eb2,6f83b968f1ac838a089e89ba72e2bd08b5dbd6cc62af4af35dbca24c35c57ecd
"10","150","1","0","150","1"
"10","400","2","0","250","1"
"10","800","3","0","400","1"
"20","150","1","0","150","2"
"20","400","2","0","250","2"
"20","800","3","0","400","2"
"20","1300","4","1","500","2"
"30","800","1","0","800","3"
"30","1800","2","0","1000","3"
"30","3000","3","0","1200","3"
"30","4400","4","1","1400","3"
"30","6000","5","2","1600","3"
"40","800","1","0","800","4"
"40","1800","2","0","1000","4"
"40","3000","3","0","1200","4"
"40","4400","4","1","1400","4"
"40","6000","5","2","1600","4"
"0","0","0","0","0","5"
