d61fd580bcbc2e2a0f3fdac5d58a940f2dabdedd51f9b4f86c9236a6db61b180,91318d5bb1eeef9408ce69e961eb9a500d9dd487de095294d890ebdcc19013a8,015ac106719e0dd625d7f70b67c0fbb412181e5c5a2e842ac866a94767ead35f,0c09060d5fdb175dbb511ada149a17f75a8c6c54159595a68a3b99ed0e7d358e,ae8e62cf68d32206b50adbe4e3608772546e5d2505fda1274576e4a587671f4a,710b55dcd6b2792960f5d08edfb7c58efeb28eb5d76f1731e56812f0e68e2679,ffe5a9dd3b1c1570b6ce2ebcdbe71fae46d6ebd27d177e3b24989c46d6b71eaf
"1","3","105","1","105","2","105"
"2","3","105","1","120","2","120"
"3","3","100","1","120","2","100"
"4","3","105","1","120","2","120"
"5","3","105","1","120","2","105"
"6","3","100","1","105","2","100"
"7","3","120","1","105","2","100"
"8","3","100","1","105","2","100"
"9","3","105","1","120","2","120"
"10","3","120","1","105","2","100"
"11","3","100","1","100","2","105"
"12","3","105","1","120","2","120"
"13","3","105","1","105","2","105"
"14","3","105","1","105","2","120"
"15","3","120","1","120","2","120"
"16","3","100","1","100","2","100"
"17","3","120","1","120","2","105"
"18","3","120","1","105","2","120"
"19","3","105","1","100","2","105"
"20","3","100","1","105","2","105"
"21","3","100","1","100","2","105"
"22","3","120","1","120","2","120"
"23","3","105","1","100","2","100"
"24","3","120","1","120","2","120"
"25","3","105","1","120","2","105"
"26","3","100","1","100","2","100"
"27","3","100","1","100","2","100"
"28","3","100","1","100","2","100"
"29","3","120","1","120","2","120"
"30","3","105","1","105","2","120"
