dd89a3d3635a83ac69910e12c7802b883833aa59c6d8200d49c525f62a36a22c,34af3dd9df4d5bcdecab5a128cdf4076c4a642bacaff015df04ab86ba62407e3,b980f89c08eef43ae9ea00715efe2b656562174cf2a7c6fc91ec25c11833b1ab,7c98475a477be8f093af19f3d0cf51ce22f80c421736587a433137f4c3ce395e,5dfe0fa327f57fdcb0deebc30630f89253059fee1549193f83580f0b790fd48c,6622bcbbb2ce16cb4880ed731a8bc8bc5c1dfcbfa5e6e3d297b1124af433dc47,940f2b9f1198c30af11bb891a4c66617f8eb92933a8b09f39ad9605776ae2a90,f13ed643a0ebf23afa7523313ea505a170e18f43397b138e91f7f0555d8a3cf4,dcc9fb8c27cde88e7882408f49729449cd1c3c6b291930a1d20aeae6965a0a8d,0938629496b453aa07b227d64b29950a85f7ec10e73fe9cbde257f3b43677761,91fa945c68f64700682a05bae722f4cd9f631219339419cb1aeed7942ca3a1fc
"0","10116","1","イワアライグマの生態メモ①","0","10143105","0","10116111","0","1","207300"
"0","10116","2","イワアライグマの生態メモ②","0","0","0","10116112","0","1","207300"
"0","10116","3","イワアライグマの生態メモ③","0","0","0","10116113","0","1","207300"
"0","10116","4","イワアライグマの生態メモ④","0","0","0","10116114","0","1","207300"
"1","10116","5","洗い物のお師匠さま","8","0","91002","10116115","75","1","207300"
"0","10116","1","ワッパダヌキの生態メモ①","0","0","0","10116121","0","1","207000"
"0","10116","2","ワッパダヌキの生態メモ②","0","0","0","10116122","0","1","207000"
"0","10116","3","ワッパダヌキの生態メモ③","0","0","0","10116123","0","1","207000"
"0","10116","4","ワッパダヌキの生態メモ④","0","0","0","10116124","0","1","207000"
"1","10116","5","小さな再会と一化かし","8","0","91002","10116125","75","1","207000"
"0","10116","1","ゴブリングレートの生態メモ①","0","0","0","10116131","0","1","305700"
"0","10116","2","ゴブリングレートの生態メモ②","0","0","0","10116132","0","1","305700"
"0","10116","3","ゴブリングレートの生態メモ③","0","0","0","10116133","0","1","305700"
"0","10116","4","ゴブリングレートの生態メモ④","0","0","0","10116134","0","1","305700"
"1","10116","5","学びはまず形から","8","0","91002","10116135","75","1","305700"
"0","10116","1","スリーピィオウルの生態メモ①","0","10143105","0","10116211","0","2","206900"
"0","10116","2","スリーピィオウルの生態メモ②","0","0","0","10116212","0","2","206900"
"0","10116","3","スリーピィオウルの生態メモ③","0","0","0","10116213","0","2","206900"
"0","10116","4","スリーピィオウルの生態メモ④","0","0","0","10116214","0","2","206900"
"1","10116","5","天にも昇る寝心地","8","0","91002","10116215","75","2","206900"
"0","10116","1","ライライの生態メモ①","0","0","0","10116221","0","2","304600"
"0","10116","2","ライライの生態メモ②","0","0","0","10116222","0","2","304600"
"0","10116","3","ライライの生態メモ③","0","0","0","10116223","0","2","304600"
"0","10116","4","ライライの生態メモ④","0","0","0","10116224","0","2","304600"
"1","10116","5","それぞれの在り方を大切に","8","0","91002","10116225","75","2","304600"
"0","10116","1","ニャットの生態メモ①","0","0","0","10116231","0","2","215300"
"0","10116","2","ニャットの生態メモ②","0","0","0","10116232","0","2","215300"
"0","10116","3","ニャットの生態メモ③","0","0","0","10116233","0","2","215300"
"0","10116","4","ニャットの生態メモ④","0","0","0","10116234","0","2","215300"
"1","10116","5","あなたが教えてくれたこと","8","0","91002","10116235","75","2","215300"
