439defd73601e3839d5cc5941dbcd8b8184e9c5d1c18cd7470381497b6ea8f4c,6d36c72020f920f5a1beb16bdb6dbed2bc179b5ae20c1d7a9c08b2d78481c4fe,44b581020587d2f1be731dd5e969eb7c7919231e777a9d461fc965920449f3ad,d1aa9e7f968b1ae90b5946a821602d7a7c7bd11472bc568d64c7c9e89a96e619,8dbc6424c5d9b3c41a8ed0d9baa541bdc6b1f43b4bc77e5cf8432de136c3faf4,f0c13f6500c1aa245e1a515adb550f27d69ea37e1cfb4e485868170b2d339059,77ab68c29ac5dcf50b3110106d6c23d57f6f3e77f5d4199945a8bf691e434e3c,192ace3142773caa0aae9730022b82bc4ec59bc49e63de44662f3850c6e77586,51e0c354e0eea2fdc5ae7b29eff3000c7e0774dd15a03a36b8c909868c9fffe1,4813f99aa382c2a29b8bcebd5d3eeb4836dd25d0369d4e02866f8cb891e75b17,9c1279b05461e02b85181222d0ed57fe054a79ece8c04a3491a6c1a78740fdd5,8940890469fddc913dfb516f8e22e1858ecec5651c3f7e57315354ab388b810c
"101","0","1","0","11041","0","104","2","0","1","0","4"
"201","0","2","1","10141","0","14","3","0","2","0","2"
"301","0","3","2","11031","0","103","2","0","3","0","2"
"401","0","4","3","11021","0","102","1","0","4","0","1"
"501","0","5","4","11041","0","104","2","0","5","0","4"
"601","0","6","5","10011","0","1","3","0","6","0","1"
"701","0","7","6","11011","0","101","4","0","7","0","3"
"801","0","8","7","11001","0","100","3","0","8","0","1"
"901","0","9","8","11041","0","104","2","0","9","0","4"
"1001","0","10","9","10011","0","1","3","0","10","0","2"
"1101","0","11","10","10511","0","51","4","0","11","0","1"
"1201","0","12","11","10521","0","52","3","0","12","0","2"
"1301","0","13","12","11041","0","104","2","0","13","0","4"
"1401","0","14","13","11031","0","103","1","0","14","0","1"
"1501","0","15","14","11021","0","102","2","0","15","0","1"
"1601","0","16","15","10011","0","1","3","0","16","0","1"
"1701","0","17","16","11041","0","104","2","0","17","0","4"
"1801","0","18","17","10501","0","50","3","0","18","0","2"
"1901","0","19","18","11011","0","101","4","0","19","0","3"
"2001","0","20","19","11001","0","100","3","0","20","0","2"
"2101","0","21","20","11041","0","104","2","0","21","0","4"
"2201","0","22","21","10011","0","1","1","0","22","0","3"
"2301","0","23","22","11001","0","100","3","0","23","0","2"
"2401","0","24","23","11011","0","101","2","0","24","0","2"
"2501","0","25","24","11041","0","104","3","0","25","0","4"
"2601","0","26","25","10501","0","50","4","0","26","0","3"
"2701","0","27","26","10521","0","52","3","0","27","0","3"
"2801","0","28","27","10501","0","50","1","0","28","0","1"
"2901","0","29","28","11041","0","104","2","0","29","0","4"
"3001","0","30","29","10511","0","51","1","0","30","0","3"
"3101","0","31","30","11001","0","100","2","0","31","0","2"
"3201","0","32","31","11011","0","101","3","0","32","0","1"
"3301","0","33","32","11041","0","104","4","0","33","0","4"
"3401","0","34","33","11001","0","100","3","0","34","0","3"
"3501","0","35","34","11041","0","104","2","0","35","0","4"
"3601","0","36","35","11031","0","103","3","0","36","0","2"
"3701","0","37","36","11021","0","102","2","0","37","0","1"
"3801","0","38","37","10501","0","50","1","0","38","0","2"
"3901","0","39","38","11021","0","102","3","0","39","0","3"
"4001","0","40","39","11041","0","104","4","0","40","0","4"
"4101","0","41","40","11001","0","100","3","0","41","0","1"
"4201","0","42","41","10521","0","52","2","0","42","0","3"
"4301","0","43","42","11041","0","104","1","0","43","0","4"
"4401","0","44","43","11031","0","103","2","0","44","0","1"
"4501","0","45","44","11041","0","104","1","0","45","0","4"
"4601","0","46","45","11011","0","101","3","0","46","0","3"
"4701","0","47","46","11021","0","102","4","0","47","0","1"
"4801","0","48","47","11041","0","104","2","0","48","0","4"
"4901","0","49","48","11031","0","103","3","0","49","0","2"
"5001","0","50","49","11041","0","104","2","0","50","0","4"
"5101","0","51","50","11011","0","101","1","0","51","0","2"
"5201","0","52","51","11021","0","102","2","0","52","0","3"
"5301","0","53","52","11041","0","104","3","0","53","0","4"
"5401","0","54","53","10521","0","52","4","0","54","0","1"
"5501","0","55","54","11031","0","103","3","0","55","0","3"
"5601","0","56","55","11041","0","104","4","0","56","0","4"
"5701","0","57","56","11001","0","100","2","0","57","0","1"
"5801","0","58","57","11011","0","101","3","0","58","0","3"
"5901","0","59","58","11031","0","103","4","0","59","0","2"
"6001","0","60","59","11041","0","104","3","0","60","0","4"
"6101","0","61","60","11021","0","102","1","0","61","0","1"
"6201","0","62","61","10501","0","50","2","0","62","0","3"
"6301","0","63","62","11041","0","104","1","0","63","0","4"
"6401","0","64","63","11031","0","103","2","0","64","0","2"
"6501","0","65","64","11021","0","102","3","0","65","0","1"
"6601","0","66","65","11041","0","104","2","0","66","0","4"
"6701","0","67","66","10521","0","52","3","0","67","0","1"
"6801","0","68","67","11021","0","102","2","0","68","0","2"
"6901","0","69","68","11041","0","104","4","0","69","0","4"
"7001","0","70","69","11031","0","103","3","0","70","0","2"
"7101","0","71","70","11011","0","101","2","0","71","0","3"
"7201","0","72","71","11001","0","100","3","0","72","0","2"
"7301","0","73","72","11041","0","104","1","0","73","0","4"
"7401","0","74","73","11031","0","103","1","0","74","0","1"
"7501","0","75","74","11021","0","102","3","0","75","0","3"
"7601","0","76","75","10501","0","50","4","0","76","0","1"
"7701","0","77","76","11041","0","104","3","0","77","0","4"
"7801","0","78","77","11011","0","101","2","0","78","0","2"
"7901","0","79","78","11001","0","100","3","0","79","0","3"
"8001","0","80","79","11041","0","104","2","0","80","0","4"
"8101","0","81","80","10521","0","52","1","0","81","0","3"
"8201","0","82","81","11011","0","101","2","0","82","0","1"
"8301","0","83","82","10501","0","50","4","0","83","0","3"
"8401","0","84","83","11031","0","103","3","0","84","0","1"
"8501","0","85","84","11041","0","104","2","0","85","0","4"
"8601","0","86","85","11001","0","100","3","0","86","0","2"
"8701","0","87","86","11021","0","102","2","0","87","0","2"
"8801","0","88","87","11031","0","103","1","0","88","0","2"
"8901","0","89","88","11041","0","104","3","0","89","0","4"
"9001","0","90","89","11021","0","102","2","0","90","0","1"
"9101","0","91","90","11041","0","104","3","0","91","0","4"
"9201","0","92","91","10501","0","50","4","0","92","0","3"
"9301","0","93","92","11041","0","104","3","0","93","0","4"
"9401","0","94","93","11021","0","102","2","0","94","0","1"
"9501","0","95","94","11031","0","103","2","0","95","0","2"
"9601","0","96","95","11041","0","104","3","0","96","0","4"
"9701","0","97","96","11041","0","104","2","0","97","0","4"
"9801","0","98","97","11011","0","101","2","0","98","0","2"
"9901","0","99","98","11041","0","104","3","0","99","0","4"
"10001","0","100","99","11021","0","102","1","0","100","0","1"
"10101","0","101","100","11031","0","103","3","0","101","0","3"
"10201","0","102","101","11041","0","104","4","0","102","0","4"
"10301","0","103","102","10501","0","50","2","0","103","0","3"
"10401","0","104","103","11001","0","100","3","0","104","0","1"
"10501","0","105","104","11041","0","104","4","0","105","0","4"
"10601","0","106","105","11031","0","103","2","0","106","0","2"
"10701","0","107","106","11041","0","104","1","0","107","0","4"
"10801","0","108","107","11031","0","103","3","0","108","0","2"
"10901","0","109","108","11001","0","100","3","0","109","0","3"
"11001","0","110","109","11041","0","104","1","0","110","0","4"
"11101","0","111","110","11011","0","101","2","0","111","0","3"
"11201","0","112","111","11041","0","104","4","0","112","0","4"
"11301","0","113","112","11021","0","102","3","0","113","0","1"
"11401","0","114","113","11041","0","104","2","0","114","0","4"
