07d700cfad2cd254c5d60f2e384761e1b78948b446fa6f13cfaebb6c0f69dad5,3879eedbae860e81a9345f70a9637128fa45b5b24a2e82e8780ceb2815f411a7,12029eaa2b3c160ab8596821c00874ff0ce7c2fbb302ee7f8064c12c6e45fee0,43e832b082e76477e5af71d03471289ebf0e9f1385af240a3cd767d849f3049e,723d02c95202ee51b1e8414ad52f4f72d4cb0004b49be070aa984765f2ca890b
"990001","-4.5","1","-7","30010001"
"990001","-21.5","1","12","30010003"
"990001","-21.5","1","-3","30010004"
"1","-21.6","1","-5.8","30010007"
"1","-21.6","1","-4.4","30010008"
"1","-8.6","1","-16.7","30010029"
"1","-13","1","-7","30010038"
"990002","2.9","1","-5.5","30010047"
"1","-17.6","1","-8.9","30010055"
"1","-19","1","-6.6","30010056"
"1","-18.4","1","-5","30010060"
"3","-20.4","1","0.6","30010061"
"3","-17.2","1","-3.9","30010062"
"1","-14.9","1","-4.1","30010063"
"1","-17","1","2.2","30010066"
"1","-18.5","1","2.2","30010068"
"1","-15.4","1","2.2","30010070"
"3","-21.7","1","-9.6","30010071"
"1","-21.6","1","-11.9","30010073"
"3","-20","1","-12","30010074"
"3","-21.7","1","-1.9","30010077"
"3","-13.8","1","-4.9","30010079"
"2","-3.6","1","-17","30010081"
"2","-4.7","1","-15","30010083"
"3","-16.8","1","-13.9","30010085"
"3","-11.5","1","-7.1","30010089"
"2","-8.7","1","-8.1","30010091"
"2","-8.7","1","-5.7","30010094"
"2","-4.7","1","-16.3","30010100"
"2","-0.2","1","-13.8","30010104"
"2","2.3","1","-13.9","30010106"
"2","1","1","-15.2","30010107"
"2","2.1","1","-16.6","30010109"
"2","-0.1","1","-16.5","30010110"
"2","-2","1","-20","30010112"
"2","-0.8","1","-20","30010113"
"2","2","1","-20","30010115"
"2","3.7","1","-20","30010116"
"3","0.6","1","-19.9","30010117"
"3","-2.9","1","-18.2","30010119"
"3","-3","1","-19.5","30010120"
"991002","-2.5","1","-15","30010125"
"991001","-2.5","1","-16.7","30010126"
"991001","-21.4","1","-8.5","30010130"
"3","4.8","1","-18.4","30010134"
"3","5.8","1","-17","30010136"
"2","6.9","1","-17.1","30010137"
"3","8","1","-17","30010138"
"2","9.5","1","-17","30010139"
"2","5.3","1","-13.5","30010145"
"2","5.3","1","-12.1","30010146"
"3","8.7","1","-15.5","30010147"
"2","8.8","1","-14.3","30010148"
"3","8.8","1","-13","30010149"
"2","10.2","1","-12.3","30010150"
"2","8.4","1","-10.8","30010152"
"2","10.2","1","-10.7","30010155"
"1","-16.1","1","-6.2","30010156"
"2","6.8","1","-7.3","30010160"
"3","7.9","1","-6.4","30010161"
"1","6.4","1","-6","30010162"
"3","2","1","-6","30010163"
"1","4.6","1","-6","30010164"
"1","3","1","-2.8","30010166"
"1","5.3","1","-2.2","30010168"
"3","5.3","1","-0.5","30010169"
"1","-12.2","1","-4.9","30010170"
"3","-10.9","1","-4.9","30010171"
"1","8","1","-3.8","30010173"
"2","8.7","1","-2.6","30010174"
"1","8","1","-1.5","30010175"
"2","8.7","1","-0.3","30010176"
"1","7.9","1","0.9","30010177"
"2","3.3","1","-1.9","30010178"
"2","-0.8","1","-1.6","30010181"
"1","0.4","1","1","30010182"
"2","0.4","1","2.4","30010183"
"1","0.4","1","3.6","30010184"
"1","1.3","1","6.4","30010186"
"3","1.3","1","8","30010187"
"1","1.3","1","9.5","30010188"
"2","4.9","1","5.4","30010189"
"1","5.8","1","6.4","30010190"
"2","4.9","1","7.5","30010191"
"2","5.8","1","8.6","30010192"
"1","5.7","1","3.8","30010193"
"3","0.4","1","11.1","30010194"
"2","0.2","1","14","30010195"
"3","1.4","1","15","30010196"
"2","2.4","1","14.1","30010197"
"1","3.5","1","15.1","30010198"
