016fb0d12657300dfc8ccbba2465260814ed2ffcf355c2c0c538d615777af989,a87eb3a334d3867dc5283bb5ffb023f1a43ffe96b5ad7109129948e0f902fd9f
"1","40"
"2","40"
"3","40"
"4","60"
"5","60"
"6","60"
"7","100"
"8","100"
"9","100"
"10","100"
"11","100"
"12","100"
"13","100"
"14","100"
"15","150"
"16","150"
"17","150"
"18","150"
"19","150"
"20","150"
"21","150"
"22","150"
"23","180"
"24","180"
"25","180"
"26","180"
"27","180"
"28","180"
"29","180"
"30","180"
"31","200"
"32","200"
"33","200"
"34","200"
"35","200"
"36","250"
"37","250"
"38","250"
"39","250"
"40","250"
