0af40cc8f54b24beb122ca6250cad5d31efff71f5c7218e393edab093d855977,de4cd414869604c2458cb5618d045acc3b31c29cc1b69255ec8b3bb018e1bec4,35df50771d8824b9117f28172d27f3adde869f906ac3ef45757966b5cc2b9e88,65a93139bd029dd4a87dd241b76236edd0d3d363d8e164b700bd167e15a3344e,3ad392f0a54ce9290ced5d3d31cfcf0542f62e127dbe7e96354f110eff6d03df,cbe4310213ef1dfebae2c9214ea41e06e1830fc0d2409caeca23776a5a401a39
"1","1","10009106","0","1","10009101"
"1","1","10009112","0","2","10009101"
"1","1","10010110","0","3","10010101"
"2","1","1001901","0","4","10019101"
"1","1","10021112","0","5","10021101"
"1","1","10025109","0","6","10025101"
"3","2","5025001","500810","7","10025"
"1","1","20009106","0","8","20009101"
"1","1","20009112","0","9","20009101"
"1","1","20010110","0","10","20010101"
"3","2","5042001","501001","12","10042"
"2","1","2001501","0","13","20015101"
"3","2","5044001","501031","14","10044"
"1","1","20016112","0","15","20016101"
"3","2","5046002","501103","16","10046"
"1","1","10049109","0","17","10049101"
"1","1","10066112","0","19","10066101"
"3","2","5066005","501291","20","10066"
"3","2","5042001","501001","21","10069"
"3","2","5044001","501031","22","10071"
"3","2","5068001","501341","23","10068"
"3","2","5070004","501353","24","10070"
"3","2","5070005","500016","25","10070"
"3","2","5072004","501364","26","10072"
"3","2","5072006","501365","27","10072"
"3","2","5046002","501103","28","10073"
"3","2","5074001","501383","29","10074"
"1","1","10076112","0","30","10076101"
"3","2","5076005","505036","31","10076"
"3","2","5078004","501451","32","10078"
"3","2","5080005","501463","33","10080"
"1","1","10082105","0","34","10082101"
"1","1","10082108","0","35","10082102"
"1","1","10082111","0","36","10082103"
"3","2","5082002","501160","37","10082"
"3","2","5082004","501031","38","10082"
"3","2","5082005","501483","39","10082"
"3","2","5084001","500368","40","10084"
"3","2","5084002","510306","41","10084"
"3","2","5084003","500039","42","10084"
"3","2","5085002","500368","43","10085"
"3","2","5085003","510203","44","10085"
"3","2","5085004","500272","45","10085"
"3","2","5085005","501501","46","10085"
"3","2","5088005","501810","47","10088"
"3","2","5042001","501001","50","20025"
"3","2","5090002","501541","51","10090"
"3","2","5044001","501031","55","20026"
"1","1","10093112","0","56","10093101"
"3","2","5066005","501291","57","10093"
"3","2","5046002","501103","58","20027"
"3","2","5092001","501031","59","10092"
"3","2","5092004","501551","60","10092"
"3","2","5094001","501593","61","10094"
"3","2","5068001","501341","62","10095"
"3","2","5025001","500810","67","20018"
"3","2","5096002","501613","68","10096"
"3","2","5070004","501353","73","10097"
"3","2","5070005","500016","74","10097"
"3","2","5098000","501031","75","10098"
"1","1","10098104","0","76","10098101"
"1","1","10098111","0","77","10098102"
"3","2","5072004","501364","78","10099"
"3","2","5072006","501365","79","10099"
"3","2","5100003","500837","80","10100"
"3","2","5074001","501383","82","10101"
"3","2","5074001","501383","83","10101"
"3","2","5102002","501873","84","10102"
"1","1","10103112","0","85","10103101"
"3","2","5076005","505036","86","10103"
"3","2","5108002","501911","88","10108"
"3","2","5104003","500133","89","10104"
"3","2","5078004","501451","90","10105"
"3","2","5110005","501931","93","10110"
"3","2","5111005","500013","94","10111"
"3","2","5080005","501463","95","10107"
"1","1","10109105","0","96","10109101"
"1","1","10109108","0","97","10109102"
"1","1","10109111","0","98","10109103"
"3","2","5082002","501160","99","10109"
"3","2","5082004","501031","100","10109"
"3","2","5082005","501483","101","10109"
"3","2","5084001","500368","103","10112"
