756aa5d5dcdaabb0927037c48443c16b785859280d4f74093316bf8a78a2c77b,7784ea13e9f5c62b8d31f2553f57c8f83c0d4f65e347a0066d99d70b868ed135,e30f336ace2cb799f408b8efb7c6d8d810b88c4940ab0d945d299d2e7f8500ec,d783170741e1ccc717e07f7a744bb0e28c72f18f729e67255aa7531e89f4dec3
"10203","2025/03/31 12:00:00","1020301","104001"
"10203","2025/03/31 12:00:00","1020302","126401"
"10203","2025/04/15 15:00:00","1020303","134701"
"10203","2025/03/31 12:00:00","1020304","126501"
"10203","2025/03/31 12:00:00","1020305","127801"
"10204","2025/05/15 15:00:00","1020401","132501"
"10204","2025/05/03 19:00:00","1020402","132301"
"10204","2025/04/30 12:00:00","1020403","100901"
"10204","2025/04/30 12:00:00","1020404","102701"
"10204","2025/04/30 12:00:00","1020405","101301"
"10204","2025/04/30 12:00:00","1020406","105101"
"10204","2025/04/30 12:00:00","1020407","105601"
"10205","2025/06/10 12:00:00","1020501","134901"
"10205","2025/05/31 12:00:00","1020502","105401"
"10205","2025/05/31 12:00:00","1020503","113901"
"10205","2025/05/31 12:00:00","1020504","117401"
"10205","2025/05/31 12:00:00","1020505","134801"
"10205","2025/05/31 12:00:00","1020506","106501"
"10205","2025/05/31 12:00:00","1020507","104501"
"10205","2025/05/31 12:00:00","1020508","129701"
"10206","2025/06/30 12:00:00","1020601","129001"
"10206","2025/06/30 12:00:00","1020602","106401"
"10206","2025/06/30 12:00:00","1020603","126101"
"10207","2025/07/31 12:00:00","1020701","129601"
"10207","2025/07/31 12:00:00","1020702","126001"
"10207","2025/07/31 12:00:00","1020703","106001"
"10207","2025/07/31 12:00:00","1020704","103001"
"10207","2025/07/31 12:00:00","1020705","129701"
"10207","2025/07/31 12:00:00","1020706","125801"
"10208","2025/08/31 12:00:00","1020801","135501"
"10208","2025/09/08 12:00:00","1020802","135601"
"10208","2025/08/31 12:00:00","1020803","100101"
"10208","2025/08/31 12:00:00","1020804","100301"
"10209","2025/10/10 12:00:00","1020901","135901"
"10209","2025/09/30 12:00:00","1020902","135801"
"10209","2025/09/30 12:00:00","1020903","133101"
"10209","2025/09/30 12:00:00","1020904","133001"
"10209","2025/09/30 12:00:00","1020905","100701"
"10210","2025/10/31 12:00:00","1021001","136001"
"10210","2025/10/31 12:00:00","1021002","101401"
"10210","2025/11/14 12:00:00","1021003","136201"
"10210","2025/10/31 12:00:00","1021004","134901"
"10210","2025/10/31 12:00:00","1021005","129701"
"10210","2025/10/31 12:00:00","1021006","134701"
"10210","2025/10/31 12:00:00","1021007","134801"
"10211","2025/11/30 12:00:00","1021101","118201"
"10211","2025/11/30 12:00:00","1021102","100201"
"10211","2025/11/30 12:00:00","1021103","101201"
"10211","2025/11/30 12:00:00","1021104","104301"
"10212","2025/12/31 12:00:00","1021201","104901"
"10212","2025/12/31 12:00:00","1021202","106801"
"10212","2025/12/31 12:00:00","1021203","101101"
"10213","2025/12/31 12:00:00","1021301","133101"
"10213","2025/12/31 12:00:00","1021302","129701"
"10213","2025/12/31 12:00:00","1021303","105801"
"10213","2025/12/31 12:00:00","1021304","126501"
"10214","2026/02/28 12:00:00","1021401","103801"
"10214","2026/02/28 12:00:00","1021402","130101"
"10214","2026/02/28 12:00:00","1021403","104801"
"10214","2026/02/28 12:00:00","1021404","103401"
