66b0b587295119667d286212dc98a727a2f4dd223faec2096bd652622ce78ea6,91c9bde0c2fc9458b0bd5cabb43ab2c4849af943a45ced137459319b0ce17b5b,e0a60509f57ffa7039eb09c04deb9def0531c14e319e9f099dab505b94aa194d,173dd66aa3df0d6adf04d7c400cd400d6bf6e5459a73a6d4d2279643d98b21cf,157ac251614da2ea879f20a948d5b75344380bc8740c523c704102c1ad1216b8,b8ce63471bb9192d69d789d5461f8065ebd069d485bbfd9213f998be6498c79e,3da19e3f2c012d3cc0d220423631dd6ee6fccd7e107ddd7ab20b6409ce49b4bc,ff157e9479870a4374ee80d081b6d05dec914a99e2a75e4570d3798e98719ce1
"10012","1","0","0","0","1001201","0","10012103"
"10012","2","0","0","0","1001202","0","10012107"
"10012","3","0","0","0","1001203","0","10012109"
"10012","4","0","0","0","1001204","1001201","10012114"
"10012","5","0","0","0","1001204","1001202","10012114"
"10012","6","0","0","0","1001204","1001203","10012114"
"20012","7","0","0","0","2001201","0","20012103"
"20012","8","0","0","0","2001202","0","20012107"
"20012","9","0","0","0","2001203","0","20012109"
"20012","10","0","0","0","2001204","2001201","20012114"
"20012","11","0","0","0","2001204","2001202","20012114"
"20012","12","0","0","0","2001204","2001203","20012114"
