576841684e298aae133771a25b101e0a94cd25b7bc1c2da1ce7dc3cd07b142b2,7d0493514b7da027e2f379f8fb3b7120afbee470a693cec98cff72aa75b897af,39db02c7a2a69d41d9723341a62b77e86fa655ba4201e55a1c24c0b7d93fce76,8f3aeed1ea4b6601c0dd92d1d678f4e65484e14bc6edbd43d67ee2d1f6ff0003,c97a31130459bec9d4b9c8637ec76caa2616beb141e43bc03318d6a4c3969166,805f3f8078007ca4fceaaedf6be113081b87ca943739f94cb3cae1f7785bd45c,4d15bc4ce9c67d95316806679e45fd963ec83a5534e47125274068f52019c791,9886e2e61b99f525783f748b78be7f100e488e6cc3fd8bb5118e478e060da2f6,0896d8333c31b8d72ce917a3e91ed9727a5d065f7e246e8cbee379af27f0da74,850740e1c19fb627fc965baf62280fcb611bd6a97417779e86e84b0d9d7a74b0,db488eb31b1ca1cd39f047aec9fa6c7864cd92e5ce110788d63a947925175e32,a62ad60f24ab0ba38a409d1d13251dc7d3231ca1542293044fc961d9e1fd2490,a25a7a0d95188a8c824e204c42f464626d3668ef76145411dfcc972fafe955c7,b9c820eadf5f8c157e69769c9dd53a671bd8aa281763dcacb35d7b8a76f6d786,262c303c9c030b6f0553538536bc816aff81da8ae6f457e55e414cbba04c78f0,3edec9a60ddbdc1f07181e4070a3aa259c3d506ce8bb53263bc6af54d4d25990,0947a9bb0ea5a59dd8dbfe9274efa0ac93341ef60cb12035c68949c969c0387f,608a922a04470c41c60cbbc13026d9c194fb775e2dee8e80c508aa18aac25b5f,4e8650ddf149c00c8240bf48e410f0b7babec0d6a0a5911edbfe5797000fffef,fdc8152f36162747c4c57c9c3be595d289c7265afa18ba30883c20824de93f21,74c36bfc8684229a936c8f855bf0e1238a9401002f0626c3313e21ab8aad9ed8
"1000","NONE","2500","1000","NONE","0","0","SummerEnemyC","NONE","1800","SpeedTerritoryA","NONE","SummerEnemyA","BeachJumpOverTrap","3100","NONE","0","0","600","AccelBoardA","0"
"1001","NONE","2000","800","NONE","0","0","SpeedTerritoryA","NONE","1300","WaterMelon","NONE","SummerEnemyB","AccelBoardA","3000","NONE","0","0","500","AccelBoardA","0"
"1002","NONE","1600","1000","NONE","0","0","SpeedTerritoryA_NoColl","NONE","1300","EnemyB_NoColl","NONE","Balloon","BeachTrap_NoCall","2000","NONE","0","0","400","SummerEnemyA_NoColl","0"
"1003","NONE","3000","1500","NONE","0","0","EnemyB","NONE","2300","BeachJumpOverTrap","NONE","BeachJumpOverTrap","AccelBoardA","3300","NONE","0","0","700","AccelBoardA","0"
"1004","NONE","2700","1300","NONE","0","0","BeachJumpOverTrap","NONE","1900","SpeedTerritoryA","NONE","BeachJumpOverTrap","NONE","0","NONE","0","0","800","SummerEnemyA","0"
"1005","NONE","2600","1500","NONE","0","0","SpeedTerritoryA","NONE","2000","AccelBoardA","NONE","BeachJumpBoard","SummerEnemyB","3300","NONE","0","0","300","SummerJumpOverEnemyC","0"
"1006","BeachTrap","2500","1300","NONE","0","0","BeachTrap","NONE","1800","BeachJumpOverTrap","NONE","SummerEnemyA","AccelBoardA","3000","NONE","3700","0","700","BeachTrap","0"
"1007","NONE","2400","1300","NONE","0","0","BeachJumpOverTrap","NONE","1800","SummerEnemyB","NONE","AccelBoardA","BeachJumpOverTrap","3100","NONE","0","0","500","SummerEnemyB","0"
"1008","SummerEnemyB","2700","1100","NONE","0","0","SummerEnemyB","NONE","2300","AccelBoardA","NONE","AccelBoardA","BeachJumpOverTrap","3400","NONE","3700","0","500","BeachJumpBoard","0"
"1009","SpeedTerritoryA","2900","1000","NONE","0","0","SummerEnemyA_NoColl","NONE","2000","BeachJumpOverTrap","NONE","Balloon","BeachJumpOverTrap","3300","NONE","3700","0","400","BeachTrap_NoCall","0"
"1010","NONE","3000","1400","NONE","0","0","BeachJumpOverTrap","NONE","2200","EnemyB","NONE","BeachJumpOverTrap","BeachJumpOverTrap","3500","NONE","0","0","400","SpeedTerritoryA","0"
"1011","AccelBoardA","2400","900","NONE","0","0","BeachJumpBoard","NONE","1500","BeachJumpOverTrap","NONE","SummerEnemyD","SummerEnemyA","2800","NONE","3300","0","400","SpeedTerritoryA","0"
"1012","NONE","2850","1200","NONE","0","0","SpeedTerritoryA_NoColl","NONE","2200","BeachJumpBoard","NONE","Balloon","EnemyB","3750","NONE","0","0","300","SpeedTerritoryA_NoColl","0"
"1013","NONE","2600","1400","NONE","0","0","BeachTrap","NONE","2100","SummerEnemyD","NONE","SpeedTerritoryA","BeachTrap","3300","NONE","0","0","900","AccelBoardA","0"
"1014","AccelBoardA","2200","1400","SummerJumpOverEnemyB","0","0","BeachTrap","NONE","1800","SummerJumpOverEnemyB","NONE","WaterMelon","BeachJumpOverTrap","2600","NONE","3000","0","400","SpeedTerritoryA","3500"
"1015","NONE","2500","1100","NONE","0","0","SpeedTerritoryA_NoColl","NONE","1900","BeachTrap_NoCall","NONE","Balloon","SummerEnemyB","3700","NONE","0","0","600","SummerEnemyA_NoColl","0"
"1016","NONE","3300","1400","NONE","0","0","AccelBoardA","NONE","2300","BeachTrap","NONE","AccelBoardA","NONE","0","NONE","0","0","600","EnemyB","0"
