3df2c7c120109e6e48278aeeee607f5b9e74eff1f8220e1948b043f74349bced,9d50f17513e24051057098e60a57119f6739bf0676bd3dc68818c39a4242155c,fa74e61bfc3c6664d2d87fce1fa981a6a49dc4b15a739f650db8d5a9f42a587e,93bdb4c788904b5f6eeee53a93abb40338bd2b3cd3fa8c104bd32f3b6c2bf8c1,b8908740d622242478cca8d840c59764fc14024f6c6c37813afd89a40dd64052,fed28dc706865997832ab97efb90bca8e4a5361a1a57a3ef9463964183021d7f
"1","おまかせ","1","2020-02-15 15:00:00","","1"
"2","デフォルト","2","2020-02-15 15:00:00","","2"
"3","アニバーサリー","3","2020-02-15 15:00:00","","3"
"4","ピンク","4","2020-02-15 15:00:00","","1"
"5","レッド","5","2020-02-15 15:00:00","","1"
"6","イエロー","6","2020-02-15 15:00:00","","1"
"7","グリーン","7","2020-02-15 15:00:00","","1"
"8","ライトブルー","8","2020-02-15 15:00:00","","1"
"9","ブルー","9","2020-02-15 15:00:00","","1"
"10","パープル","10","2020-02-15 15:00:00","","1"
"11","グレー","11","2020-02-15 15:00:00","","1"
