c1ea739bc01be5ab446da25ac10a37a18e3497cb0a503b4f79ed8b0b9bd61959,0ca75d6ec93109e2cd2004a5f51a3dadeaf682f14bb04f4966c8b966436fceab,727d9b301ac15fbba42c2ca32293c5b2d2c93fded4c3200f06f6d46d0b832429,fe912d449a983ee537ae7cad1600e79447f47d358e9013bc26f090294089bdd5,e7c3680de9f476112930a9743351e7db5e5559728a823ffc25c2bd5debc0fe25,5e3ebc668b552ee49f3c9945537fb7fad4f895986c77ab073d9dc05315babdbd
"2025/01/31 12:00:00","123001","3002","10201501","バトル開始後90秒間味方全体の物理\n防御力特大アップ","10201001"
"2025/01/31 12:00:00","123001","3004","10201501","バトル開始後90秒間味方全体の魔法\n防御力特大アップ","10201002"
"2025/01/31 12:00:00","106901","3011","10201501","バトル開始後90秒間敵全体の物理防\n御力特大ダウン","10201003"
"2025/01/31 12:00:00","106901","3011","10201501","バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","10201004"
"2025/01/31 12:00:00","107101","3001","10201501","バトル開始後90秒間物理攻撃力極大\nアップ","10201005"
"2025/01/31 12:00:00","107101","3010","10201501","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","10201006"
"2025/01/31 12:00:00","107001","3003","10201501","バトル開始後90秒間魔法攻撃力極大\nアップ","10201007"
"2025/01/31 12:00:00","107001","3010","10201501","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","10201008"
"2025/01/31 12:00:00","106801","3001","10201501","バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","10201009"
"2025/01/31 12:00:00","106801","3014","10201501","バトル開始後味方全体のＴＰ大回復","10201010"
"2025/01/31 12:00:00","111501","3001","10201501","バトル開始後90秒間物理攻撃力極大\nアップ","10201011"
"2025/01/31 12:00:00","111501","3010","10201501","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","10201012"
"2025/01/31 12:00:00","123801","3001","10201501","バトル開始後90秒間物理攻撃力極大\nアップ","10201013"
"2025/01/31 12:00:00","123801","3010","10201501","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","10201014"
"2025/02/10 12:00:00","133901","3001","10201501","バトル開始後90秒間物理攻撃力極大\nアップ","10201015"
"2025/02/10 12:00:00","133901","3010","10201501","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","10201016"
"2025/01/31 12:00:00","115001","3005","10201501","バトル開始後90秒間味方全体に継続\nＨＰ回復状態付与","10201017"
"2025/01/31 12:00:00","115001","3013","10201501","バトル開始後味方全体の行動不能\n2回無効","10201018"
"2025/01/31 12:00:00","126601","3003","10201501","バトル開始後90秒間味方全体の魔法\n攻撃力特大アップ","10201019"
"2025/01/31 12:00:00","126601","3014","10201501","バトル開始後味方全体のＴＰ大回復","10201020"
"2025/02/20 12:00:00","133801","3010","10201501","バトル開始後90秒間味方全体のＴＰ\n上昇中アップ","10201021"
"2025/02/20 12:00:00","133801","3010","10201501","バトル開始後90秒間味方全体の行動\n速度大アップ（重複可能）","10201022"
"2025/01/31 12:00:00","121201","3001","10201501","バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","10201023"
"2025/01/31 12:00:00","121201","3014","10201501","バトル開始後味方全体のＴＰ大回復","10201024"
"2025/01/31 12:00:00","133701","3003","10201501","バトル開始後90秒間魔法攻撃力極大\nアップ","10201025"
"2025/01/31 12:00:00","133701","3010","10201501","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","10201026"
"2025/01/31 12:00:00","123001","3002","10201551","バトル開始後90秒間味方全体の物理\n防御力特大アップ","10201027"
"2025/01/31 12:00:00","123001","3004","10201551","バトル開始後90秒間味方全体の魔法\n防御力特大アップ","10201028"
"2025/01/31 12:00:00","106901","3011","10201551","バトル開始後90秒間敵全体の物理防\n御力特大ダウン","10201029"
"2025/01/31 12:00:00","106901","3011","10201551","バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","10201030"
