888173db46b8ed4d416ba2c39d3f0ab476e6679d1ee3dbe6dfe95b3dc45d6987,3a94785bca16d9c24186b4db17a66c66219a54b1e18bf9df20ba0192f23d7ec7,1b16e32bf881d0c0ed21f4e544174daf8d95c59df2d14d42e3f6ef32489f9476,29a78e1b50beeca59c42c201779605740fc4e405cb0f180b34ba70c5b0ab59b5,0dfb03cab72bb2401cd6067e887d8b270b30eabc858b5471fbd571072566827e,83f1fd3a1ad5c29df289f723601335f028259ae4edaf0b5078c17d5bd9857271,46d0d06262a8c52a76c7661f6a1c42e53d57d161bf1ef90826cbb600bdaa20bb
"1","2018/12/24 5:00:00","400","70000","0","2018/12/25 4:59:59","0"
"2","2018/12/25 5:00:00","401","70000","0","2018/12/26 4:59:59","0"
"3","0","410","70001","1","0","0"
"4","0","411","70001","2","0","0"
"5","0","412","70001","3","0","0"
"6","2019/12/24 5:00:00","400","70002","0","2019/12/25 4:59:59","0"
"7","2019/12/25 5:00:00","401","70002","0","2019/12/26 4:59:59","0"
"8","0","413","70003","1","0","0"
"9","0","414","70003","2","0","0"
"10","0","415","70003","3","0","0"
"21","2020/12/24 5:00:00","400","70004","0","2020/12/25 4:59:59","0"
"22","2020/12/25 5:00:00","401","70004","0","2020/12/26 4:59:59","0"
"23","0","416","70005","1","0","0"
"24","0","417","70005","2","0","0"
"25","0","418","70005","3","0","0"
"26","2021/01/30 5:00:00","9002001","80004","3","2021/01/31 4:59:59","0"
"27","2021/01/31 5:00:00","9002002","80004","3","2021/02/01 4:59:59","0"
"28","2021/02/01 5:00:00","9002003","80004","3","2021/02/02 4:59:59","0"
"29","2021/02/02 5:00:00","9002004","80004","3","2021/02/03 4:59:59","0"
"30","2021/02/03 5:00:00","9002005","80004","3","2021/02/04 4:59:59","0"
"31","2021/02/04 5:00:00","9002006","80004","3","2021/02/05 4:59:59","0"
"32","2021/02/05 5:00:00","9002007","80004","3","2021/02/06 4:59:59","0"
"33","2021/02/06 5:00:00","9002008","80004","3","2021/02/07 4:59:59","0"
"34","2021/02/07 5:00:00","9002009","80004","3","2021/02/08 4:59:59","0"
"35","2021/02/08 5:00:00","9002010","80004","3","2021/02/09 4:59:59","0"
"36","2021/02/09 5:00:00","9002011","80004","3","2021/02/10 4:59:59","0"
"37","2021/02/10 5:00:00","9002012","80004","3","2021/02/11 4:59:59","0"
"38","2021/02/11 5:00:00","9002013","80004","3","2021/02/12 4:59:59","0"
"39","2021/02/12 5:00:00","9002014","80004","3","2021/02/13 4:59:59","0"
"40","2021/02/13 5:00:00","9002015","80004","3","2021/02/14 4:59:59","0"
"41","2021/02/14 5:00:00","9002016","80004","3","2021/02/15 4:59:59","0"
"42","2021/02/15 5:00:00","9002017","80004","3","2021/02/16 4:59:59","1"
"43","2021/12/24 5:00:00","400","70006","0","2021/12/25 4:59:59","0"
"44","2021/12/25 5:00:00","401","70006","0","2021/12/26 4:59:59","0"
"45","2022/01/30 5:00:00","9004001","80006","3","2022/01/31 4:59:59","0"
"46","2022/01/31 5:00:00","9004002","80006","3","2022/02/01 4:59:59","0"
"47","2022/02/01 5:00:00","9004003","80006","3","2022/02/02 4:59:59","0"
"48","2022/02/02 5:00:00","9004004","80006","3","2022/02/03 4:59:59","0"
"49","2022/02/03 5:00:00","9004005","80006","3","2022/02/04 4:59:59","0"
"50","2022/02/04 5:00:00","9004006","80006","3","2022/02/05 4:59:59","0"
"51","2022/02/05 5:00:00","9004007","80006","3","2022/02/06 4:59:59","0"
"52","2022/02/06 5:00:00","9004008","80006","3","2022/02/07 4:59:59","0"
"53","2022/02/07 5:00:00","9004009","80006","3","2022/02/08 4:59:59","0"
"54","2022/02/08 5:00:00","9004010","80006","3","2022/02/09 4:59:59","0"
"55","2022/02/09 5:00:00","9004011","80006","3","2022/02/10 4:59:59","0"
"56","2022/02/10 5:00:00","9004012","80006","3","2022/02/11 4:59:59","0"
"57","2022/02/11 5:00:00","9004013","80006","3","2022/02/12 4:59:59","0"
"58","2022/02/12 5:00:00","9004014","80006","3","2022/02/13 4:59:59","0"
"59","2022/02/13 5:00:00","9004015","80006","3","2022/02/14 4:59:59","0"
"60","2022/02/14 5:00:00","9004016","80006","3","2022/02/15 4:59:59","0"
"61","2022/02/15 5:00:00","9004017","80006","3","2022/02/16 4:59:59","1"
"62","0","436","70007","1","0","0"
"63","0","437","70007","2","0","0"
"64","0","438","70007","3","0","0"
"65","2022/08/01 5:00:00","9005001","80007","3","2022/08/02 4:59:59","0"
"66","2022/08/02 5:00:00","9005002","80007","3","2022/08/03 4:59:59","0"
"67","2022/08/03 5:00:00","9005003","80007","3","2022/08/04 4:59:59","0"
"68","2022/08/04 5:00:00","9005004","80007","3","2022/08/05 4:59:59","0"
"69","2022/08/05 5:00:00","9005005","80007","3","2022/08/06 4:59:59","0"
"70","2022/08/06 5:00:00","9005006","80007","3","2022/08/07 4:59:59","0"
"71","2022/08/07 5:00:00","9005007","80007","3","2022/08/08 4:59:59","0"
"72","2022/08/08 5:00:00","9005008","80007","3","2022/08/09 4:59:59","0"
"73","2022/08/09 5:00:00","9005009","80007","3","2022/08/10 4:59:59","0"
"74","2022/08/10 5:00:00","9005010","80007","3","2022/08/11 4:59:59","0"
"75","2022/08/11 5:00:00","9005011","80007","3","2022/08/12 4:59:59","0"
"76","2022/08/12 5:00:00","9005012","80007","3","2022/08/13 4:59:59","0"
"77","2022/08/13 5:00:00","9005013","80007","3","2022/08/14 4:59:59","0"
"78","2022/08/14 5:00:00","9005014","80007","3","2022/08/15 4:59:59","0"
"79","2022/08/15 5:00:00","9005015","80007","3","2022/08/16 4:59:59","1"
"80","2022/12/24 5:00:00","400","70008","0","2022/12/25 4:59:59","0"
"81","2022/12/25 5:00:00","401","70008","0","2022/12/26 4:59:59","0"
"82","0","439","70009","1","0","0"
"83","2023/01/31 5:00:00","9006001","80008","3","2023/02/01 4:59:59","0"
"84","2023/02/01 5:00:00","9006002","80008","3","2023/02/02 4:59:59","0"
"85","2023/02/02 5:00:00","9006003","80008","3","2023/02/03 4:59:59","0"
"86","2023/02/03 5:00:00","9006004","80008","3","2023/02/04 4:59:59","0"
"87","2023/02/04 5:00:00","9006005","80008","3","2023/02/05 4:59:59","0"
"88","2023/02/05 5:00:00","9006006","80008","3","2023/02/06 4:59:59","0"
"89","2023/02/06 5:00:00","9006007","80008","3","2023/02/07 4:59:59","0"
"90","2023/02/07 5:00:00","9006008","80008","3","2023/02/08 4:59:59","0"
"91","2023/02/08 5:00:00","9006009","80008","3","2023/02/09 4:59:59","0"
"92","2023/02/09 5:00:00","9006010","80008","3","2023/02/10 4:59:59","0"
"93","2023/02/10 5:00:00","9006011","80008","3","2023/02/11 4:59:59","0"
"94","2023/02/11 5:00:00","9006012","80008","3","2023/02/12 4:59:59","0"
"95","2023/02/12 5:00:00","9006013","80008","3","2023/02/13 4:59:59","0"
"96","2023/02/13 5:00:00","9006014","80008","3","2023/02/14 4:59:59","0"
"97","2023/02/14 5:00:00","9006015","80008","3","2023/02/15 4:59:59","0"
"98","2023/02/15 5:00:00","9006016","80008","3","2023/02/16 4:59:59","1"
"99","2023/08/01 5:00:00","9007001","80009","3","2023/08/02 4:59:59","0"
"100","2023/08/02 5:00:00","9007002","80009","3","2023/08/03 4:59:59","0"
"101","2023/08/03 5:00:00","9007003","80009","3","2023/08/04 4:59:59","0"
"102","2023/08/04 5:00:00","9007004","80009","3","2023/08/05 4:59:59","0"
"103","2023/08/05 5:00:00","9007005","80009","3","2023/08/06 4:59:59","0"
"104","2023/08/06 5:00:00","9007006","80009","3","2023/08/07 4:59:59","0"
"105","2023/08/07 5:00:00","9007007","80009","3","2023/08/08 4:59:59","0"
"106","2023/08/08 5:00:00","9007008","80009","3","2023/08/09 4:59:59","0"
"107","2023/08/09 5:00:00","9007009","80009","3","2023/08/10 4:59:59","0"
"108","2023/08/10 5:00:00","9007010","80009","3","2023/08/11 4:59:59","0"
"109","2023/08/11 5:00:00","9007011","80009","3","2023/08/12 4:59:59","0"
"110","2023/08/12 5:00:00","9007012","80009","3","2023/08/13 4:59:59","0"
"111","2023/08/13 5:00:00","9007013","80009","3","2023/08/14 4:59:59","0"
"112","2023/08/14 5:00:00","9007014","80009","3","2023/08/15 4:59:59","0"
"113","2023/08/15 5:00:00","9007015","80009","3","2023/08/16 4:59:59","1"
"114","2023/12/24 5:00:00","400","70010","0","2023/12/25 4:59:59","0"
"115","2023/12/25 5:00:00","401","70012","0","2023/12/26 4:59:59","0"
"116","0","440","70011","1","0","0"
"117","2024/01/31 5:00:00","9008001","80010","3","2024/02/01 4:59:59","0"
"118","2024/02/01 5:00:00","9008002","80010","3","2024/02/02 4:59:59","0"
"119","2024/02/02 5:00:00","9008003","80010","3","2024/02/03 4:59:59","0"
"120","2024/02/03 5:00:00","9008004","80010","3","2024/02/04 4:59:59","0"
"121","2024/02/04 5:00:00","9008005","80010","3","2024/02/05 4:59:59","0"
"122","2024/02/05 5:00:00","9008006","80010","3","2024/02/06 4:59:59","0"
"123","2024/02/06 5:00:00","9008007","80010","3","2024/02/07 4:59:59","0"
"124","2024/02/07 5:00:00","9008008","80010","3","2024/02/08 4:59:59","0"
"125","2024/02/08 5:00:00","9008009","80010","3","2024/02/09 4:59:59","0"
"126","2024/02/09 5:00:00","9008010","80010","3","2024/02/10 4:59:59","0"
"127","2024/02/10 5:00:00","9008011","80010","3","2024/02/11 4:59:59","0"
"128","2024/02/11 5:00:00","9008012","80010","3","2024/02/12 4:59:59","1"
"129","2024/02/12 5:00:00","9008013","80010","3","2024/02/13 4:59:59","1"
"130","2024/02/13 5:00:00","9008014","80010","3","2024/02/14 4:59:59","1"
"131","2024/02/14 5:00:00","9008015","80010","3","2024/02/15 4:59:59","1"
"132","2024/02/15 5:00:00","9008016","80010","3","2024/02/16 4:59:59","1"
"133","2024/08/01 5:00:00","9009001","80011","3","2024/08/02 4:59:59","0"
"134","2024/08/02 5:00:00","9009002","80011","3","2024/08/03 4:59:59","0"
"135","2024/08/03 5:00:00","9009003","80011","3","2024/08/04 4:59:59","0"
"136","2024/08/04 5:00:00","9009004","80011","3","2024/08/05 4:59:59","0"
"137","2024/08/05 5:00:00","9009005","80011","3","2024/08/06 4:59:59","0"
"138","2024/08/06 5:00:00","9009006","80011","3","2024/08/07 4:59:59","0"
"139","2024/08/07 5:00:00","9009007","80011","3","2024/08/08 4:59:59","0"
"140","2024/08/08 5:00:00","9009008","80011","3","2024/08/09 4:59:59","0"
"141","2024/08/09 5:00:00","9009009","80011","3","2024/08/10 4:59:59","0"
"142","2024/08/10 5:00:00","9009010","80011","3","2024/08/11 4:59:59","0"
"143","2024/08/11 5:00:00","9009011","80011","3","2024/08/12 4:59:59","0"
"144","2024/08/12 5:00:00","9009012","80011","3","2024/08/13 4:59:59","0"
"145","2024/08/13 5:00:00","9009013","80011","3","2024/08/14 4:59:59","0"
"146","2024/08/14 5:00:00","9009014","80011","3","2024/08/15 4:59:59","0"
"147","2024/08/15 5:00:00","9009015","80011","3","2024/08/16 4:59:59","1"
"148","2024/12/24 5:00:00","400","70014","0","2024/12/25 4:59:59","0"
"149","2024/12/25 5:00:00","401","70015","0","2024/12/26 4:59:59","0"
"150","0","441","70013","1","0","0"
"151","2025/02/08 5:00:00","9010001","80012","3","2025/02/09 4:59:59","0"
"152","2025/02/09 5:00:00","9010002","80012","3","2025/02/10 4:59:59","0"
"153","2025/02/10 5:00:00","9010003","80012","3","2025/02/11 4:59:59","0"
"154","2025/02/11 5:00:00","9010004","80012","3","2025/02/12 4:59:59","0"
"155","2025/02/12 5:00:00","9010005","80012","3","2025/02/13 4:59:59","0"
"156","2025/02/13 5:00:00","9010006","80012","3","2025/02/14 4:59:59","0"
"157","2025/02/14 5:00:00","9010007","80012","3","2025/02/15 4:59:59","0"
"158","2025/02/15 5:00:00","9010008","80012","3","2025/02/16 4:59:59","0"
"159","2025/03/31 12:00:00","442","70016","0","2025/04/23 4:59:59","0"
"160","2025/08/13 5:00:00","9012001","80014","3","2025/08/14 4:59:59","0"
"161","2025/08/14 5:00:00","9012002","80014","3","2025/08/15 4:59:59","0"
"162","2025/08/15 5:00:00","9012003","80014","3","2025/08/16 4:59:59","0"
"163","2025/12/24 5:00:00","400","70017","0","2025/12/25 4:59:59","0"
"164","2025/12/25 5:00:00","401","70018","0","2025/12/26 4:59:59","0"
"165","0","443","70019","1","0","0"
"166","2026/02/12 5:00:00","9013001","80016","3","2026/02/13 4:59:59","0"
"167","2026/02/13 5:00:00","9013002","80016","3","2026/02/14 4:59:59","0"
"168","2026/02/14 5:00:00","9013003","80016","3","2026/02/15 4:59:59","0"
"169","2026/02/15 5:00:00","9013004","80016","3","2026/02/16 4:59:59","0"
"170","2026/08/12 5:00:00","9014001","80018","3","2026/08/13 4:59:59","0"
"171","2026/08/13 5:00:00","9014002","80018","3","2026/08/14 4:59:59","0"
"172","2026/08/14 5:00:00","9014003","80018","3","2026/08/15 4:59:59","0"
"173","2026/08/15 5:00:00","9014004","80018","3","2026/08/16 4:59:59","0"
