d9324192f393b05fcdd5ae6102689d08f3a93e0fe8b951802f3033e8464c0cd9,f3c3820ca69a0bcf3ecdd14dce5d0d38adb854a7b7ce5789991ccb1228d59611,ee44b936f05b5b25f3657d619f171673fbe199ce40cce2be13dd27d115583d6e,bdbcd53abf1a14861aecae9ca2bf3ce090b47bfcf01ef33aef6be5be809b76e0,1d080131d9fda69271a6b6b98ae30ac45d9845fbc66b376d045dc24a3cb1c686,3ed377e1dedd9d8b666c67e343074076e9fdffb435c67ed7c6af7fbea50ba620
"1","1","10009106","0","10009101","1"
"2","1","10009112","0","10009101","1"
"3","1","10010110","0","10010101","1"
"4","1","1001901","0","10019101","2"
"5","1","10021112","0","10021101","1"
"6","1","10025109","0","10025101","1"
"7","2","5025001","500810","10025","3"
"8","1","20009106","0","20009101","1"
"9","1","20009112","0","20009101","1"
"10","1","20010110","0","20010101","1"
"12","2","5042001","501001","10042","3"
"13","1","2001501","0","20015101","2"
"14","2","5044001","501031","10044","3"
"15","1","20016112","0","20016101","1"
"16","2","5046002","501103","10046","3"
"17","1","10049109","0","10049101","1"
"19","1","10066112","0","10066101","1"
"20","2","5066005","501291","10066","3"
"21","2","5042001","501001","10069","3"
"22","2","5044001","501031","10071","3"
"23","2","5068001","501341","10068","3"
"24","2","5070004","501353","10070","3"
"25","2","5070005","500016","10070","3"
"26","2","5072004","501364","10072","3"
"27","2","5072006","501365","10072","3"
"28","2","5046002","501103","10073","3"
"29","2","5074001","501383","10074","3"
"30","1","10076112","0","10076101","1"
"31","2","5076005","505036","10076","3"
"32","2","5078004","501451","10078","3"
"33","2","5080005","501463","10080","3"
"34","1","10082105","0","10082101","1"
"35","1","10082108","0","10082102","1"
"36","1","10082111","0","10082103","1"
"37","2","5082002","501160","10082","3"
"38","2","5082004","501031","10082","3"
"39","2","5082005","501483","10082","3"
"40","2","5084001","500368","10084","3"
"41","2","5084002","510306","10084","3"
"42","2","5084003","500039","10084","3"
"43","2","5085002","500368","10085","3"
"44","2","5085003","510203","10085","3"
"45","2","5085004","500272","10085","3"
"46","2","5085005","501501","10085","3"
"47","2","5088005","501810","10088","3"
"50","2","5042001","501001","20025","3"
"51","2","5090002","501541","10090","3"
"55","2","5044001","501031","20026","3"
"56","1","10093112","0","10093101","1"
"57","2","5066005","501291","10093","3"
"58","2","5046002","501103","20027","3"
"59","2","5092001","501031","10092","3"
"60","2","5092004","501551","10092","3"
"61","2","5094001","501593","10094","3"
"62","2","5068001","501341","10095","3"
"67","2","5025001","500810","20018","3"
"68","2","5096002","501613","10096","3"
"73","2","5070004","501353","10097","3"
"74","2","5070005","500016","10097","3"
"75","2","5098000","501031","10098","3"
"76","1","10098104","0","10098101","1"
"77","1","10098111","0","10098102","1"
"78","2","5072004","501364","10099","3"
"79","2","5072006","501365","10099","3"
"80","2","5100003","500837","10100","3"
"82","2","5074001","501383","10101","3"
"83","2","5074001","501383","10101","3"
"84","2","5102002","501873","10102","3"
"85","1","10103112","0","10103101","1"
"86","2","5076005","505036","10103","3"
"88","2","5108002","501911","10108","3"
"89","2","5104003","500133","10104","3"
"90","2","5078004","501451","10105","3"
"93","2","5110005","501931","10110","3"
"94","2","5111005","500013","10111","3"
"95","2","5080005","501463","10107","3"
"96","1","10109105","0","10109101","1"
"97","1","10109108","0","10109102","1"
"98","1","10109111","0","10109103","1"
"99","2","5082002","501160","10109","3"
"100","2","5082004","501031","10109","3"
"101","2","5082005","501483","10109","3"
"103","2","5084001","500368","10112","3"
"104","2","5084002","510306","10112","3"
"105","2","5084003","500039","10112","3"
"106","2","5085002","500368","10113","3"
"107","2","5085003","510203","10113","3"
"108","2","5085004","500272","10113","3"
"109","2","5085005","501501","10113","3"
"110","1","1011001","0","10110101","2"
"111","1","20037112","0","20037101","1"
"112","2","5066005","501291","20037","3"
"113","2","5088005","501810","10115","3"
"114","2","5114000","500016","10114","3"
"115","2","5114003","501952","10114","3"
"116","2","5068001","501341","20038","3"
"117","2","5090002","501541","10117","3"
"121","2","5070004","501353","20039","3"
"122","2","5070005","500016","20039","3"
"123","2","5116004","500837","10116","3"
"124","2","5092001","501031","10119","3"
"125","2","5092004","501551","10119","3"
"126","2","5118002","500133","10118","3"
"127","2","5118003","500810","10118","3"
"128","2","5118007","500133","10118","3"
"129","2","5072004","501364","20040","3"
"130","2","5072006","501365","20040","3"
"132","2","5124003","501614","10124","3"
"133","2","5074001","501383","20041","3"
"135","2","5094001","501593","10121","3"
"136","2","5122000","502003","10122","3"
"137","2","5122002","502015","10122","3"
"138","2","5096002","501613","10123","3"
"139","2","5076005","505036","20042","3"
"140","2","5078004","501451","20043","3"
"141","2","5098000","501031","10125","3"
"143","2","5100003","500837","10127","3"
"144","2","5080005","501463","20044","3"
"145","2","5128001","502063","10128","3"
"146","2","5102002","501873","10129","3"
"147","1","20045105","0","20045101","1"
"148","1","20045108","0","20045102","1"
"149","1","20045111","0","20045103","1"
"150","2","5082002","501160","20045","3"
"151","2","5082004","501031","20045","3"
"152","2","5082005","501483","20045","3"
"153","2","5084001","500368","20046","3"
"154","2","5084002","510306","20046","3"
"155","2","5084003","500039","20046","3"
"156","2","5085002","500368","20047","3"
"157","2","5085003","510203","20047","3"
"158","2","5085004","500272","20047","3"
"159","2","5085005","501501","20047","3"
"160","2","5130001","500016","10130","3"
"161","2","5130007","500133","10130","3"
"162","2","5104003","500133","10131","3"
"163","2","5136002","500143","10136","3"
"164","2","5136004","500175","10136","3"
"165","2","5137002","501622","10137","3"
"166","2","5137005","500133","10137","3"
"167","2","5088005","501810","20048","3"
"168","2","5134007","500553","10134","3"
"169","2","5108002","501911","10135","3"
"170","2","5110005","501931","10138","3"
"171","2","5111005","500013","10139","3"
"172","2","5090002","501541","20049","3"
"173","1","1013801","0","10138101","2"
"174","2","5114000","500016","10141","3"
"175","2","5114003","501952","10141","3"
"180","2","5140002","502224","10140","3"
"181","2","5092001","501031","20050","3"
"182","2","5092004","501551","20050","3"
"183","2","5142001","501683","10142","3"
"184","2","5116004","500837","10143","3"
"185","2","5118002","500133","10145","3"
"186","2","5118003","500810","10145","3"
"187","2","5118007","500133","10145","3"
"188","2","5094001","501593","20051","3"
"189","2","5096002","501613","20052","3"
"1014601","2","5146001","502283","10146","3"
"1014901","2","5122000","502003","10149","3"
"1014902","2","5122002","502015","10149","3"
"1015101","2","5124003","501614","10151","3"
"1015401","2","5154007","502373","10154","3"
"2005301","2","5098000","501031","20053","3"
"2005401","2","5100003","500837","20054","3"
"2005501","2","5102002","501873","20055","3"
