5ade820dfebc815539dc1f02788f3ac63e4d29c28157c173975d203870a84a53,79680b8a83c71529b7a5d68a399f9eb099154bd209faea27d566eed27f37b306,ebba2c805249625c95bd758ca6d609054f8195f4536f69be2ef5db771e1729cc,af81996f9b8bbd41c2a9f44f6fd09737bf011f8526cb3972904ae1f104e091bd,3076dfb1942c9489c90b696e3abe4d8403e0e5646f727b7eed0ceb6c1b71dbc9,dbd0a146c183aed0b70749bb868be6f1d58124eaee444a3d507ff06064095829,43ca06b37db98177964758f9ae1985f814a7a166f37348a6f5e32b3f6678493d,fe6b43ae9ed97748c6c46e140b4b3836ab0f0c1bafa86b5f64b19a074252f24a,489c60cfb7ea247fb972d3aea2dfaa7f0ced86ff44f47f118c64e1fa5f044afc
"6","3","2","2","1","2","1","3","100101"
"5","2","1","1","3","1","2","3","100201"
"7","3","1","2","1","3","3","2","100301"
"13","3","2","2","1","2","3","2","100401"
"18","1","2","3","2","2","2","3","100501"
"25","2","1","3","1","2","2","3","100601"
"26","2","2","1","3","3","2","3","100701"
"40","1","2","1","3","3","3","2","100801"
"34","3","1","3","1","3","2","2","100901"
"8","2","1","1","3","1","2","3","101001"
"56","2","3","1","2","2","2","3","101101"
"43","3","3","2","1","2","2","1","101201"
"33","1","1","3","1","2","3","3","101301"
"11","1","1","2","3","1","2","2","101401"
"42","2","1","1","3","1","3","2","101501"
"46","1","3","1","2","2","3","3","101601"
"10","1","3","2","1","2","2","3","101701"
"45","1","1","2","3","1","3","2","101801"
"12","3","2","2","2","1","1","3","102001"
"30","2","1","2","1","1","3","3","102101"
"24","2","3","2","1","1","3","1","102201"
"31","3","2","3","1","2","1","3","102301"
"29","1","3","1","3","1","2","2","102501"
"51","2","2","1","3","1","1","3","102601"
"36","3","2","1","2","3","3","1","102701"
"28","1","2","1","2","1","3","2","102801"
"52","2","2","1","2","1","2","3","102901"
"39","1","1","2","2","2","3","3","103001"
"27","3","2","1","3","3","1","2","103101"
"19","3","2","1","3","2","2","1","103201"
"48","3","1","2","2","2","1","3","103301"
"20","2","2","3","2","1","2","1","103401"
"14","1","2","3","3","3","2","1","103601"
"17","1","2","3","1","3","3","2","103701"
"49","2","1","3","3","3","1","2","103801"
"44","2","3","3","2","1","1","1","104001"
"53","1","2","2","3","3","2","2","104201"
"9","3","3","1","1","3","2","2","104301"
"23","3","1","2","3","3","1","2","104401"
"38","2","1","3","2","1","2","2","104501"
"21","2","3","1","3","2","1","2","104601"
"15","1","3","3","1","3","2","2","104701"
"22","2","3","2","1","3","3","1","104801"
"55","3","2","1","2","1","2","2","104901"
"47","1","3","2","2","1","2","3","105001"
"35","1","3","2","3","3","1","1","105101"
"50","2","2","1","2","2","2","3","105201"
"37","3","2","1","1","3","3","2","105301"
"54","2","3","1","2","2","1","3","105401"
"41","3","1","3","2","1","1","2","105501"
"32","2","3","1","1","3","2","3","105601"
"67","2","2","2","1","1","2","3","105701"
"1","2","2","1","2","2","2","3","105801"
"2","2","1","2","3","1","2","2","105901"
"3","1","3","3","2","3","1","2","106001"
"58","3","2","2","1","2","2","3","106101"
"68","3","2","2","1","1","1","3","106301"
"4","2","2","3","1","1","2","3","106401"
"61","1","2","3","1","3","2","3","106501"
"62","1","2","3","3","2","1","3","106601"
"60","1","1","2","2","3","2","2","106701"
"57","1","2","3","1","1","2","1","106801"
"59","2","1","2","3","3","1","1","107001"
"16","2","2","2","1","3","3","1","107101"
"70","2","1","2","2","1","2","2","109201"
"72","2","3","1","2","2","2","3","109301"
"71","1","3","2","1","3","3","2","109401"
"64","2","3","2","1","1","2","2","110801"
"65","1","2","1","2","2","3","2","110901"
"63","1","1","2","3","3","1","3","111001"
"69","2","3","3","2","2","1","2","111401"
"66","1","3","2","3","2","2","1","118001"
