18235a3f77e99d816a5d756c5d3bcf4a73a52289cac0c0833193efe99538026e,b7ac3dda520731cac2ebd0e0ca4a9100688504211dcd1163677145e534a82dd8,113f847cb867d2ddf2c55b74d25ae2a93fc6c80b0c4e6a169cf16576a9180ca5,8301f5f5926c37ca17357215ed3711a357df43697ce2820add87b3e453a23a35,eb5924d823aa6dd7a0379ab6aa3aac7c0adc6a64967ce3d6a633793883a20c92,6482c81e62ea0601e2ceb6753de778a293c8faf6c01769bc2171ad4ae4076f5f,9c54d80c8a489d8f85cebd082fd4211107271aacb6129f91613894becb19f2ee,d1e679432318db57a13fc8e4b581fa5d38574c5b7a6c60efc69d29ea70534f05
"111","0","110001","ガーゴイル（EASY）をクリアしよう","70000","110001","90110001","1"
"112","0","110001","ガーゴイル（NORMAL）をクリアしよう","70000","110002","90110002","1"
"113","0","110001","ガーゴイル（HARD）をクリアしよう","70000","110003","90110003","1"
"114","0","110001","ガーゴイル（VERY HARD）をクリアしよう","70000","110004","90110004","1"
"115","0","110001","ガーゴイル（EXTREME）をクリアしよう","70000","110005","90110005","1"
"121","0","110001","マグスガーゴイル（EASY）をクリアしよう","70000","120001","90120001","1"
"122","0","110001","マグスガーゴイル（NORMAL）をクリアしよう","70000","120002","90120002","1"
"123","0","110001","マグスガーゴイル（HARD）をクリアしよう","70000","120003","90120003","1"
"124","0","110001","マグスガーゴイル（VERY HARD）をクリアしよう","70000","120004","90120004","1"
"125","0","110001","マグスガーゴイル（EXTREME）をクリアしよう","70000","120005","90120005","1"
"131","0","110001","ガードガーゴイル（EASY）をクリアしよう","70000","130001","90130001","1"
"132","0","110001","ガードガーゴイル（NORMAL）をクリアしよう","70000","130002","90130002","1"
"133","0","110001","ガードガーゴイル（HARD）をクリアしよう","70000","130003","90130003","1"
"134","0","110001","ガードガーゴイル（VERY HARD）をクリアしよう","70000","130004","90130004","1"
"135","0","110001","ガードガーゴイル（EXTREME）をクリアしよう","70000","130005","90130005","1"
"141","0","110001","ガーゴイル・バースト（EASY）をクリアしよう","70000","140001","90140001","1"
"142","0","110001","ガーゴイル・バースト（NORMAL）をクリアしよう","70000","140002","90140002","1"
"143","0","110001","ガーゴイル・バースト（HARD）をクリアしよう","70000","140003","90140003","1"
"144","0","110001","ガーゴイル・バースト（VERY HARD）をクリアしよう","70000","140004","90140004","1"
"145","0","110001","ガーゴイル・バースト（EXTREME）をクリアしよう","70000","140005","90140005","1"
"151","0","110001","ガーゴイル・マギ（EASY）をクリアしよう","70000","150001","90150001","1"
"152","0","110001","ガーゴイル・マギ（NORMAL）をクリアしよう","70000","150002","90150002","1"
"153","0","110001","ガーゴイル・マギ（HARD）をクリアしよう","70000","150003","90150003","1"
"154","0","110001","ガーゴイル・マギ（VERY HARD）をクリアしよう","70000","150004","90150004","1"
"155","0","110001","ガーゴイル・マギ（EXTREME）をクリアしよう","70000","150005","90150005","1"
